feature,MI_stage,MI_q,Spearman_q,distribution_instability,final_score,instability_group,selected,rank,max_abs_corr_with_selected
position_control_deviation_axis_y__dominant_freq__rel,0.714731263715567,2.7189072652721804,0.1618415281565283,0.8109907054015941,2.1143190361590705,domain_id,True,1,0.0
force_sensor_y__shape_factor__rel,0.5409412021283084,1.4565273774734568,0.8278470353653967,0.11914505751955756,2.1134141708965513,domain_id,True,2,0.07066832750648633
force_sensor_y__shape_factor__rank,0.5681555091881632,1.3801549100056958,0.8180369544354434,0.3005969061607083,2.1029582427990183,domain_id,False,3,
force_sensor_x__spectral_rolloff95__rank,0.5163412843904769,1.393877092990511,0.738977412027395,0.09113088521107542,1.9687252584531105,domain_id,True,4,0.4410690765280644
force_sensor_y__dominant_freq__rel,0.6431954101668373,2.0243822819977173,0.3506228218566819,1.1384554834030476,1.928381072708745,domain_id,True,5,0.3267311064301243
force_sensor_z__spectral_rolloff95__rel,0.4704337846548734,2.0152935264162006,0.49646166421195176,0.2893109082987017,1.8789198520484562,domain_id,True,6,0.22865530294885678
force_sensor_y__spectral_rolloff95__rel,0.5159094529481902,2.514866632137057,0.17415350370189744,0.6140414708890755,1.7849497530519172,domain_id,True,7,0.38245674004718305
force_sensor_y__zero_crossing_rate__rel,0.5178833889197421,1.130204799258641,0.6400880821744109,0.23898181612112523,1.7663524465419962,domain_id,True,8,0.37973280907150636
position_control_deviation_axis_y__dominant_freq__rank,0.6518826743648272,2.272111643262698,0.05769758546735183,1.4122738818951084,1.7226787693103789,domain_id,True,9,0.7050269420591162
force_sensor_x__spectral_rolloff95__rel,0.6135126102788564,1.6741649322891377,0.225678261225229,0.26917170397108797,1.684036725103903,domain_id,True,10,0.29944816555580384
position_control_deviation_axis_x__dominant_freq__rel,0.5582735556142546,1.7037583221529644,0.19509537244214628,0.20637686732913785,1.5907313204953715,domain_id,True,11,0.09980783389134078
force_sensor_z__dominant_freq__rel,0.47613624815037725,1.0402432929922543,0.521323311727405,0.011219288256186285,1.569437182449237,domain_id,True,12,0.1078521664465363
position_control_deviation_axis_x__spectral_rolloff95__rel,0.579332643629934,1.9925392302503955,0.044728895443466275,0.9938048433874416,1.529899547529454,domain_id,True,13,0.30516734212622687
force_sensor_y__zero_crossing_rate__rank,0.37898417536171514,0.8427305379871144,0.6894670466296867,0.04455441055288797,1.5270552617350055,domain_id,True,14,0.7545317898077952
force_sensor_y__energy__rel,0.35222270927274146,1.0642829431431697,0.6402241579740934,0.054284984499982696,1.5212853095848167,domain_id,True,15,0.47620188666557867
force_sensor_z__mean__rel,0.34756371672624087,0.7798618917940896,0.6684284420578609,0.2201418045717944,1.428643591698026,domain_id,True,16,0.5415034092262373
force_sensor_y__variance__rel,0.32590750401724344,1.002761362338365,0.5772002097701736,0.09075017269305363,1.3966789318716095,domain_id,False,17,
position_control_deviation_axis_y__spectral_rolloff95__rel,0.35317302045623733,1.8767467032562544,0.1908721853216989,0.011258218810184304,1.3746041886975735,domain_id,True,18,0.21712403336407612
