split,n_runs,n_windows,tools,stage_early,stage_middle,stage_late,S0,S1,S2,S3,S4,q_min,q_max,VB_min,VB_max
train,3103,3059,"T1,T3,T4,T6",936,1273,894,193,772,646,858,634,0.0,0.9999999999999936,3.0,158.0
val,1537,1515,"T2,T5",477,628,432,82,388,309,455,303,0.0,0.9999999999999931,3.0,148.0
test,1778,1745,"T7,T8,T9",534,657,587,253,469,388,258,410,0.0,0.9999999999999936,3.0,160.0
