split,n_runs,n_windows,tools,stage_early,stage_middle,stage_late,S0,S1,S2,S3,S4,q_min,q_max,VB_min,VB_max
train,3074,3030,"T4,T6,T7,T9",927,1224,923,152,896,608,861,557,0.0,0.9999999999999936,3.0,160.0
val,1488,1466,"T5,T8",454,565,469,124,413,289,401,261,0.0,0.9999999999999931,3.0,150.0
test,1856,1823,"T1,T2,T3",566,769,521,126,447,498,371,414,0.0,0.9999999999999936,3.0,158.0
