raw_component,fine_state,mean_q_train,macro_stage
2,0,0.14697645357963107,early
1,1,0.343421666605256,middle
4,2,0.4700074346176926,middle
0,3,0.6010133733527554,middle
3,4,0.8599966451050877,late
