raw_component,fine_state,mean_q_train,macro_stage
3,0,0.14052206764728534,early
0,1,0.2991399668215839,middle
2,2,0.39591393966090654,middle
4,3,0.5690331916647153,middle
1,4,0.8279520310280489,late
