raw_component,fine_state,mean_q_train,macro_stage
2,0,0.14067672023788708,early
3,1,0.3335593219625196,middle
0,2,0.4618073154857534,middle
4,3,0.6030203005833273,middle
1,4,0.8331149431247735,late
