split,n_runs,n_windows,tools,stage_early,stage_middle,stage_late,S0,S1,S2,S3,S4,q_min,q_max,VB_min,VB_max
train,3074,3030,"T4,T5,T7,T9",934,1222,918,153,850,659,794,618,0.0,0.9999999999999936,3.0,160.0
val,1488,1466,"T6,T8",447,567,474,104,442,253,411,278,0.0,0.999999999999993,3.0,150.0
test,1856,1823,"T1,T2,T3",566,769,521,123,425,533,318,457,0.0,0.9999999999999936,3.0,158.0
