Metric,Mean,Std,Min,Max,N
Acc,0.4585913437157503,,0.4585913437157503,0.4585913437157503,1
Macro-F1,0.3894776344585395,,0.3894776344585395,0.3894776344585395,1
E-F1,0.62156335679162,,0.62156335679162,0.62156335679162,1
M-F1,0.2777648941832745,,0.2777648941832745,0.2777648941832745,1
L-F1,0.26910465240072395,,0.26910465240072395,0.26910465240072395,1
M-Precision,0.5243709087796359,,0.5243709087796359,0.5243709087796359,1
M-Recall,0.25098980034907536,,0.25098980034907536,0.25098980034907536,1
M_to_E,0.6335802821008657,,0.6335802821008657,0.6335802821008657,1
M_to_L,0.1154299175500589,,0.1154299175500589,0.1154299175500589,1
Rev,11.0,,11.0,11.0,1
Jump,2.0,,2.0,2.0,1
Smooth,0.022675485302590833,,0.022675485302590833,0.022675485302590833,1
q-MAE,0.1498412316304187,,0.1498412316304187,0.1498412316304187,1
q-RMSE,0.2046109761749595,,0.2046109761749595,0.2046109761749595,1
q-R2,-0.06575633560803701,,-0.06575633560803701,-0.06575633560803701,1
Spearman,0.5541473784693353,,0.5541473784693353,0.5541473784693353,1
