Metric,Mean,Std,Min,Max,N
Acc,0.3594371471531106,0.04714689516430293,0.2865329512893982,0.529512893982808,101
Macro-F1,0.2762378385853561,0.05789209049990217,0.176658792079698,0.4542726992764168,101
E-F1,0.5876913295275192,0.051932759078042075,0.4812680115273775,0.7528868360277137,101
M-F1,0.17409472708155985,0.11152532799381526,0.0079840319361277,0.5242346938775511,101
L-F1,0.06692745914698926,0.06315333367770132,0.0,0.2747875354107649,101
M-Precision,0.19121490208315509,0.10125450683293002,0.0115942028985507,0.4511525795828759,101
M-Recall,0.16488087164880869,0.12196617972059814,0.0060882800608828,0.6255707762557078,101
M_to_E,0.8226713082267131,0.12100918474522154,0.3744292237442922,0.9939117199391172,101
M_to_L,0.012447820124478197,0.01517099347745779,0.0,0.0578386605783866,101
Rev,15.316831683168317,4.091285111231694,7.0,27.0,101
Jump,3.297029702970297,3.148156776450136,0.0,15.0,101
Smooth,0.03439320508860515,0.006704081391069226,0.0192615680986746,0.0533029557990768,101
q-MAE,0.17345621188809784,0.013394224589228898,0.1316243501203601,0.2016977496433663,101
q-RMSE,0.22880667965813345,0.016833582164987617,0.1683081207740941,0.2635505658367813,101
q-R2,-0.04651583627853719,0.14690184740016413,-0.381068076021422,0.4367550294216643,101
Spearman,0.7977011353246309,0.10408653551264532,0.2811043478942702,0.9293877767521534,101
