split,n_runs,n_windows,tools,stage_early,stage_middle,stage_late,S0,S1,S2,S3,S4,q_min,q_max,VB_min,VB_max
train,2436,2392,"T1,T2,T7,T9",740,975,721,159,749,694,644,190,0.0,0.9999999999999936,3.0,160.0
val,1198,1176,"T3,T8",360,451,387,91,426,249,334,98,0.0,0.9999999999999932,3.0,152.0
test,2784,2751,"T4,T5,T6",847,1132,805,120,827,1104,543,190,0.0,0.9999999999999931,3.0,149.0
