raw_component,fine_state,mean_q_train,macro_stage
2,0,0.14717219140769294,early
4,1,0.33848008703533916,middle
1,2,0.49317677542061483,middle
3,3,0.6926521778571731,middle
0,4,0.9311036684763345,late
