Ranking_Type,Rank,Split_ID,Test_cases,B12 Acc,B12 Macro-F1,B12 Balanced-Acc,B12 M-F1,B12 M-Rec,B12 E-Rec,B12 L-Rec,B12 Smooth,B12 Predicted_class_count,B11 Macro-F1,B11 M-F1,B10 Macro-F1,B12-B11 Macro-F1,B12-B11 M-F1,B12_select_score
Top10_B12_select_score,8,CAND111,"8,12,13,16",0.666666667,0.595555556,0.601641414,0.666666667,0.909090909,0.333333333,0.5625,0.066956688,3,0.580996169,0.689655172,0.465148378,0.014559387000000035,-0.022988505000000048,0.32216436370999996
Top10_B12_select_score,9,CAND109,"8,11,15,16",0.441176471,0.394975395,0.40493167,0.424242424,0.411764706,0.166666667,0.636363636,0.225961738,3,0.347033055,0.322580645,0.484430082,0.04794234000000003,0.10166177900000001,0.31182507176
Top10_B12_select_score,10,CAND175,"2,3,7,16",0.266666667,0.223484848,0.496666667,0.363636364,0.24,1.0,0.25,0.095781135,3,0.203988414,0.3125,0.242305407,0.019496434000000007,0.05113636399999999,0.2728009673000001
Top10_B12_minus_B11_MacroF1,1,CAND109,"8,11,15,16",0.441176471,0.394975395,0.40493167,0.424242424,0.411764706,0.166666667,0.636363636,0.225961738,3,0.347033055,0.322580645,0.484430082,0.04794234000000003,0.10166177900000001,0.31182507176
Top10_B12_minus_B11_MacroF1,2,CAND010,"2,3,6,10",0.5625,0.541666667,0.658730159,0.625,0.476190476,1.0,0.5,0.034991011,3,0.5,0.5,0.438095238,0.04166666699999999,0.125,0.49531579861999997
Top10_B12_minus_B11_MacroF1,3,CAND186,"3,4,7,9",0.461538462,0.478395062,0.574074074,0.25,0.222222222,1.0,0.5,0.024119966,3,0.438095238,0.142857143,0.341666667,0.040299823999999984,0.10714285700000001,0.36207833927
Top10_B12_minus_B11_MacroF1,4,CAND078,"2,3,7,15",0.571428571,0.53453997,0.564814815,0.588235294,0.555555556,0.888888889,0.25,0.175340217,3,0.506242985,0.5625,0.488095238,0.028296984999999997,0.025735293999999964,0.43347496649000006
Top10_B12_minus_B11_MacroF1,5,CAND087,"3,5,10,12",0.594594595,0.622009804,0.663888889,0.48,0.666666667,0.875,0.45,0.13018916,3,0.595216875,0.416666667,0.43339117,0.026792929000000076,0.06333333299999999,0.4900380758
Top10_B12_minus_B11_MacroF1,6,CAND103,"2,6,11,15",0.375,0.385095034,0.421855922,0.588235294,0.714285714,0.384615385,0.166666667,0.113462988,3,0.359064327,0.533333333,0.483088599,0.026030706999999986,0.054901961,0.38135683415999994
Top10_B12_minus_B11_MacroF1,7,CAND175,"2,3,7,16",0.266666667,0.223484848,0.496666667,0.363636364,0.24,1.0,0.25,0.095781135,3,0.203988414,0.3125,0.242305407,0.019496434000000007,0.05113636399999999,0.2728009673000001
Top10_B12_minus_B11_MacroF1,8,CAND111,"8,12,13,16",0.666666667,0.595555556,0.601641414,0.666666667,0.909090909,0.333333333,0.5625,0.066956688,3,0.580996169,0.689655172,0.465148378,0.014559387000000035,-0.022988505000000048,0.32216436370999996
Top10_B12_minus_B11_MacroF1,9,CAND011,"6,10,11,16",0.37037037,0.250505051,0.282828283,0.0,0.0,0.181818182,0.666666667,0.061464679,3,0.250505051,0.0,0.273148148,0.0,0.0,0.13245656323000002
Top10_B12_minus_B11_MacroF1,10,CAND235,"2,8,9,10",0.703703704,0.645464305,0.696078431,0.5,0.5,1.0,0.588235294,0.14511976317209008,3,0.645464305,0.5,0.376068376,0.0,0.0,0.49779571079623275
Top10_B12_minus_B11_MF1,1,CAND124,"2,3,4,7",0.485714286,0.445000288,0.523504274,0.454545455,0.416666667,1.0,0.153846154,0.110173697,3,0.470609319,0.266666667,0.526002506,-0.025609031000000004,0.18787878799999996,0.16449134354
Top10_B12_minus_B11_MF1,2,CAND010,"2,3,6,10",0.5625,0.541666667,0.658730159,0.625,0.476190476,1.0,0.5,0.034991011,3,0.5,0.5,0.438095238,0.04166666699999999,0.125,0.49531579861999997
Top10_B12_minus_B11_MF1,3,CAND186,"3,4,7,9",0.461538462,0.478395062,0.574074074,0.25,0.222222222,1.0,0.5,0.024119966,3,0.438095238,0.142857143,0.341666667,0.040299823999999984,0.10714285700000001,0.36207833927
Top10_B12_minus_B11_MF1,4,CAND109,"8,11,15,16",0.441176471,0.394975395,0.40493167,0.424242424,0.411764706,0.166666667,0.636363636,0.225961738,3,0.347033055,0.322580645,0.484430082,0.04794234000000003,0.10166177900000001,0.31182507176
Top10_B12_minus_B11_MF1,5,CAND087,"3,5,10,12",0.594594595,0.622009804,0.663888889,0.48,0.666666667,0.875,0.45,0.13018916,3,0.595216875,0.416666667,0.43339117,0.026792929000000076,0.06333333299999999,0.4900380758
Top10_B12_minus_B11_MF1,6,CAND103,"2,6,11,15",0.375,0.385095034,0.421855922,0.588235294,0.714285714,0.384615385,0.166666667,0.113462988,3,0.359064327,0.533333333,0.483088599,0.026030706999999986,0.054901961,0.38135683415999994
Top10_B12_minus_B11_MF1,7,CAND175,"2,3,7,16",0.266666667,0.223484848,0.496666667,0.363636364,0.24,1.0,0.25,0.095781135,3,0.203988414,0.3125,0.242305407,0.019496434000000007,0.05113636399999999,0.2728009673000001
Top10_B12_minus_B11_MF1,8,CAND078,"2,3,7,15",0.571428571,0.53453997,0.564814815,0.588235294,0.555555556,0.888888889,0.25,0.175340217,3,0.506242985,0.5625,0.488095238,0.028296984999999997,0.025735293999999964,0.43347496649000006
Top10_B12_minus_B11_MF1,9,CAND017,"3,12,15,16",0.705882353,0.687301587,0.735247209,0.761904762,0.842105263,1.0,0.363636364,0.183372605,3,0.701851852,0.75,0.417924657,-0.014550265000000007,0.011904762000000013,0.37775538335
Top10_B12_minus_B11_MF1,10,CAND235,"2,8,9,10",0.703703704,0.645464305,0.696078431,0.5,0.5,1.0,0.588235294,0.14511976317209008,3,0.645464305,0.5,0.376068376,0.0,0.0,0.49779571079623275
