Metric,Mean,Std,Min,Max,N
Acc,0.8769736842105263,0.0094578327424771,0.8618421052631579,0.8881578947368421,10
Macro-F1,0.8827371679560093,0.00886277738605737,0.8685484123910162,0.8932117473449345,10
E-F1,0.8301894959734589,0.01173076810713909,0.8115942028985508,0.8442211055276382,10
M-F1,0.8347817844308818,0.014858569120146527,0.8108108108108109,0.8521739130434782,10
L-F1,0.9832402234636872,0.0,0.9832402234636872,0.9832402234636872,10
M-Precision,0.8182369020964579,0.004566162636066189,0.8108108108108109,0.8235294117647058,10
M-Recall,0.8522522522522523,0.02590253291633371,0.8108108108108109,0.8828828828828829,10
M_to_E,0.12072072072071957,0.025902532916333487,0.0900900900900892,0.1621621621621607,10
M_to_L,0.027027027027026702,3.657118196434064e-18,0.0270270270270267,0.0270270270270267,10
Rev,6.8,1.0327955589886446,5.0,9.0,10
Jump,0.0,0.0,0.0,0.0,10
Smooth,0.09771947194719469,0.0022007122661684814,0.0956435643564356,0.1015346534653465,10
q-MAE,,,,,0
q-RMSE,,,,,0
q-R2,,,,,0
Spearman,,,,,0
