Metric,Mean,Std,Min,Max,N
Acc,0.9211622807017543,0.006787822922661672,0.9057017543859649,0.9287280701754387,10
Macro-F1,0.9246949579599727,0.006337372440179087,0.9103119490161974,0.9317065621281233,10
E-F1,0.8917190331108115,0.008331056652361812,0.8734429530504352,0.9032689786307099,10
M-F1,0.8979941050152844,0.009445684739971184,0.8764180163401952,0.9088124263227239,10
L-F1,0.9843717357538229,0.002426809208046857,0.981074877657962,0.9869588017909109,10
M-Precision,0.9243237418336822,0.006341813456706383,0.915107929136567,0.9318517310503536,10
M-Recall,0.8766962522776478,0.013471946727522862,0.8471674634465333,0.8939965335314173,10
M_to_E,0.11171075938517705,0.01448270382551964,0.09182649880324219,0.1438235275444566,10
M_to_L,0.011592988337174249,0.0027237533679313948,0.0090090090090089,0.0141769676653396,10
Rev,4.9,0.629520687742902,4.0,6.0,10
Jump,0.0,0.0,0.0,0.0,10
Smooth,0.09446864686468642,0.001167307213128628,0.0928327832783278,0.09646864686468642,10
q-MAE,,,,,0
q-RMSE,,,,,0
q-R2,,,,,0
Spearman,,,,,0
