sequence_id,domain_id,n,theta_E,theta_L,theta_v,VB_min,VB_max,VB_first,early,middle,late
T1,M1,609,0.39194974406700533,0.6358957654723086,0.199999999978511,3.0,158.0,3.0,183,255,171
T2,M1,609,0.39713774597495244,0.5591822131356975,0.1999999999822143,3.0,145.0,3.0,191,247,171
T3,M1,638,0.38947368421052364,0.6450545719136508,0.1846666666490399,3.0,152.0,3.0,192,267,179
T4,M2,928,0.39482758620689384,0.6129950738916213,0.139999999985789,3.0,149.0,3.0,282,368,278
T5,M2,928,0.40381282495666965,0.6187175043327514,0.13999999998586327,3.0,148.0,3.0,286,381,261
T6,M2,928,0.3956664147140309,0.6031746031745989,0.10784615383792306,3.0,147.0,3.0,279,383,266
T7,M3,609,0.34969886774271025,0.639132739099008,0.16363636362092632,3.0,153.0,3.0,183,240,186
T8,M3,560,0.27945460179733256,0.6448466067554949,0.14999999998991553,34.0,150.0,34.0,168,184,208
T9,M3,609,0.36383712905451804,0.6409201748332142,0.23076923074511457,3.0,160.0,3.0,183,233,193
