Method,Dataset,Task,Seed,Acc,Macro-F1,E-F1,M-F1,L-F1,M-Precision,M-Recall,M_to_E,M_to_L,Rev,Jump,Smooth,q-MAE,q-RMSE,q-R2
B9_DC_PHSR,PHM2010,D1,42,0.986842105263158,0.9871020928241414,0.9824561403508772,0.984375,0.994475138121547,0.9921259842519684,0.9767441860465116,0.0232558139534881,0.0,0,0,0.0189142544935583,0.11311601588452662,0.13440095355290366,0.7480595428403949
B9_DC_PHSR,PHM2010,D1,52,0.6875,0.665944091947633,0.8316831683168316,0.4171779141104294,0.7489711934156379,1.0,0.2635658914728682,0.2635658914728662,0.4728682170542599,2,1,0.0397094184651734,0.16815049854167488,0.19105642395926262,0.4908842852107127
B9_DC_PHSR,PHM2010,D1,62,0.8651315789473685,0.8697800754833054,0.9438202247191012,0.8110599078341014,0.8544600938967136,1.0,0.6821705426356589,0.0775193798449606,0.240310077519378,2,0,0.0354206468162875,0.14960499155547588,0.18120600363973544,0.5420285783441066
B9_DC_PHSR,PHM2010,D1,72,0.7960526315789473,0.7955946776616406,0.8795811518324608,0.6836734693877551,0.8235294117647058,1.0,0.5193798449612403,0.1782945736434094,0.3023255813953465,2,0,0.030971248824002,0.1498734326718528,0.17229600864517725,0.585958715936378
B9_DC_PHSR,PHM2010,D1,82,0.9769736842105264,0.9775823518081984,0.9767441860465116,0.9727626459143968,0.9832402234636872,0.9765625,0.9689922480620154,0.0310077519379842,0.0,0,0,0.016573908783375,0.12658946134484825,0.14218624201693583,0.7180264545484114
