split,n_runs,n_windows,tools,stage_early,stage_middle,stage_late,S0,S1,S2,S3,S4,q_min,q_max,VB_min,VB_max
train,2465,2421,"T1,T3,T7,T9",741,995,729,156,683,790,628,208,0.0,0.9999999999999936,3.0,160.0
val,1169,1147,"T2,T8",359,431,379,78,365,243,395,88,0.0,0.9999999999999929,3.0,150.0
test,2784,2751,"T4,T5,T6",847,1132,805,119,759,692,1027,187,0.0,0.9999999999999931,3.0,149.0
