dataset,task,group,channel_set,seed,Acc,Macro_F1,E_F1,M_F1,L_F1,M_Pre,M_Rec,stages_present,M_to_E,M_to_L,n_middle_true,Rev,Jump,Smooth,q_MAE,q_RMSE,q_R2,Spearman,Pearson,q_Smooth,Method,kind,variant,oracle_wear_reference
mendeley,D2-M,cross_machine_dual,primary,62,0.821882951653944,0.8121788653168491,0.9111969111969112,0.828996282527881,0.6963434022257552,0.7156611039794608,0.984982332155477,"early,middle,late",0.0017667844522968,0.0132508833922261,1132,29,0,0.0285566593310219,0.0875433672202197,0.1342170787295212,0.5055408074115118,0.8366727144815975,0.7828026522217212,0.0069215673806885,A1,ablation,raw,
mendeley,D2-M,cross_machine_dual,primary,62,0.6357688113413305,0.5185122421909291,0.8623340321453529,0.6932026944274342,0.0,0.5304592314901593,1.0,"early,middle,late",0.0,0.0,1132,0,0,0.0176948729688399,0.0875433672202197,0.1342170787295212,0.5055408074115118,0.8366727144815975,0.7828026522217212,0.0069215673806885,A2,ablation,raw_fine,
mendeley,D2-M,cross_machine_dual,primary,62,0.7291893856779353,0.6809814894447811,0.9053606882859032,0.7556742323097463,0.3819095477386934,0.6072961373390557,1.0,"early,middle,late",0.0,0.0,1132,19,0,0.0250277353391732,0.0875433672202197,0.1342170787295212,0.5055408074115118,0.8366727144815975,0.7828026522217212,0.0069215673806885,A3,ablation,raw_prior,
mendeley,D2-M,cross_machine_dual,primary,62,0.7048346055979644,0.6419512916777257,0.8963210702341137,0.7386623164763458,0.2908704883227176,0.5856182100362132,1.0,"early,middle,late",0.0,0.0,1132,21,0,0.0227823304438202,0.0875433672202197,0.1342170787295212,0.5055408074115118,0.8366727144815975,0.7828026522217212,0.0069215673806885,A4,ablation,mix,
mendeley,D2-M,cross_machine_dual,primary,62,0.6921119592875318,0.6148150853413162,0.9095780308104487,0.7277402764384442,0.2071269487750557,0.5720060636685195,1.0,"early,middle,late",0.0,0.0,1132,7,0,0.0126885980222488,0.0875433672202197,0.1342170787295212,0.5055408074115118,0.8366727144815975,0.7828026522217212,0.0069215673806885,A5,ablation,ordered,
mendeley,D2-M,cross_machine_dual,primary,62,0.6924754634678298,0.6168114773948031,0.9073825503355704,0.7279742765273312,0.2150776053215077,0.5722952477249748,1.0,"early,middle,late",0.0,0.0,1132,8,0,0.0196477017047827,0.0875433672202197,0.1342170787295212,0.5055408074115118,0.8366727144815975,0.7828026522217212,0.0069215673806885,A6,ablation,final,
mendeley,D2-M,cross_machine_dual,primary,62,0.821882951653944,0.8121788653168491,0.9111969111969112,0.828996282527881,0.6963434022257552,0.7156611039794608,0.984982332155477,"early,middle,late",0.0017667844522968,0.0132508833922261,1132,29,0,0.0285566593310219,0.0875433672202197,0.1342170787295212,0.5055408074115118,0.8366727144815975,0.7828026522217212,0.0069215673806885,B11,baseline,raw,
mendeley,D2-M,cross_machine_dual,primary,62,0.6924754634678298,0.6168114773948031,0.9073825503355704,0.7279742765273312,0.2150776053215077,0.5722952477249748,1.0,"early,middle,late",0.0,0.0,1132,8,0,0.0196477017047827,0.0875433672202197,0.1342170787295212,0.5055408074115118,0.8366727144815975,0.7828026522217212,0.0069215673806885,B12,proposed,final,
mendeley,D2-M,cross_machine_dual,primary,62,0.8873137041075972,0.889728185335437,0.9233716475095786,0.8732638888888888,0.8725490196078431,0.8583617747440273,0.8886925795053003,"early,middle,late",0.009717314487632508,0.10159010600706714,1132,33,3,0.052179636445305266,,,,,,,B7,baseline,b7,
mendeley,D2-M,cross_machine_dual,primary,62,0.7742639040348964,0.7468008551587713,0.9211165048543689,0.7824817518248175,0.5368043087971275,0.6666666666666666,0.9469964664310954,"early,middle,late",0.044169611307420496,0.0088339222614841,1132,59,0,0.06752756556181454,,,,,,,B8,baseline,b8,
mendeley,D2-M,cross_machine_dual,primary,62,0.8327880770628863,0.8383747140791806,0.9027237354085603,0.7994467496542186,0.8129536571747628,0.8360655737704918,0.7659010600706714,"early,middle,late",0.006183745583038869,0.22791519434628976,1132,50,0,0.03341077662088666,,,,,,,B9,baseline,b9,
mendeley,D2-M,cross_machine_dual,primary,62,0.7535441657579062,0.7674041010425179,0.9103078982597055,0.6840633737185461,0.7078410311493019,0.7238658777120316,0.6484098939929329,"early,middle,late",0.0,0.35159010600706714,1132,37,0,0.02866880193263227,,,,,,,B10,baseline,b10,
mendeley,D2-M,cross_machine_dual,primary,62,0.9014903671392221,0.8989807112459443,0.9828009828009828,0.8919026725169525,0.8222384784198976,0.8130909090909091,0.9876325088339223,"early,middle,late",0.012367491166077738,0.0,1132,0,0,0.004366812227074236,,,,,,,B1,baseline,b1,True
mendeley,D2-M,cross_machine_dual,primary,62,0.5950563431479462,0.6157186191568452,0.793180133432172,0.5687748783724016,0.48520084566596194,0.5695305580159433,0.5680212014134276,"early,middle,late",0.0,0.43197879858657245,1132,203,43,0.3005822416302766,,,,,,,B2,baseline,b2,False
mendeley,D2-M,cross_machine_dual,primary,62,0.75281715739731,0.7430116209113073,0.8304597701149425,0.7655172413793103,0.6330578512396694,0.6278280542986425,0.980565371024735,"early,middle,late",0.0,0.019434628975265017,1132,55,0,0.07188258127122756,,,,,,,B3,baseline,b3,False
mendeley,D2-M,cross_machine_dual,primary,62,0.593965830607052,0.6067311954556497,0.5460620525059666,0.5306971904266389,0.7434343434343434,0.6455696202531646,0.450530035335689,"early,middle,late",0.4363957597173145,0.11307420494699646,1132,137,78,0.12133262362178884,,,,,,,B4,baseline,b4,False
mendeley,D2-M,cross_machine_dual,primary,62,0.777171937477281,0.7750925012513075,0.7985239852398524,0.7823926162584309,0.7443609022556391,0.6540059347181009,0.9734982332155477,"early,middle,late",0.0,0.026501766784452298,1132,65,0,0.07017103347889374,,,,,,,B5,baseline,b5,False
mendeley,D2-M,cross_machine_dual,primary,62,0.7611777535441657,0.7544709736165499,0.8202898550724638,0.7716371220020855,0.6714859437751004,0.6361031518624641,0.980565371024735,"early,middle,late",0.0,0.019434628975265017,1132,51,0,0.10549756103060258,,,,,,,B6,baseline,b6,False
