epoch,train_loss,val_loss,mono_valid_pairs,mono_violations,mono_violation_rate,mono_loss
0,1.4448103756512654,1.223425127988082,2344,1196,0.5102389078498294,0.006053616226416501
1,0.970817639432826,0.7587166831819723,2344,1143,0.4876279863481229,0.023494547965425886
2,0.7073521458231088,1.0407132135335528,2344,1155,0.4927474402730375,0.03168895956973604
3,0.5783226899202576,1.1374556585405844,2344,1172,0.5,0.03342410005730619
4,0.5064485388469814,1.1291543849676509,2344,1165,0.4970136518771331,0.031715173946708156
5,0.48916467253652696,1.2791098314674398,2344,1156,0.4931740614334471,0.02847195455542112
6,0.36298343968854274,1.1021731825319705,2344,1144,0.4880546075085324,0.02801259116680107
7,0.3625819838179975,1.0459492178512015,2344,1169,0.49872013651877134,0.0263699647477716
8,0.31493437861372053,1.7132191028195873,2344,1150,0.4906143344709898,0.02337538726467798
9,0.30416227502302906,0.9840203521037579,2344,1164,0.49658703071672355,0.021547293151239873
10,0.28618952799365327,1.08091670425435,2344,1169,0.49872013651877134,0.02035426511246525
11,0.30051421302992765,1.3057349404773197,2344,1155,0.4927474402730375,0.01896416196251078
12,0.28259775081925625,1.1817405456133063,2344,1179,0.5029863481228669,0.017335682402633036
13,0.299872461575607,1.1835203806316739,2344,1167,0.4978668941979522,0.01568617846452097
14,0.25798444915832147,1.3382213892059527,2344,1152,0.49146757679180886,0.01526188842593725
15,0.25029564041679725,1.1076163308144447,2344,1160,0.4948805460750853,0.01452058992621353
16,0.24502201385115946,1.0148803735673169,2344,1134,0.48378839590443684,0.01375619122025298
17,0.2541447217087271,1.5241608593187441,2344,1171,0.49957337883959047,0.012726182209228568
18,0.2670825571498808,1.3471311930479335,2344,1141,0.48677474402730375,0.01164260335752832
19,0.23400972573681342,1.3197285191017125,2344,1151,0.4910409556313993,0.01250446889624892
