Split_type,Method,Acc_mean,Acc_std,Macro-F1_mean,Macro-F1_std,Balanced-Acc_mean,Balanced-Acc_std,E-F1_mean,E-F1_std,M-F1_mean,M-F1_std,L-F1_mean,L-F1_std,E-Rec_mean,E-Rec_std,M-Rec_mean,M-Rec_std,L-Rec_mean,L-Rec_std,M-Pre_mean,M-Pre_std,M→E_mean,M→E_std,M→L_mean,M→L_std,E→M_mean,E→M_std,L→M_mean,L→M_std,Rev_mean,Rev_std,Jump_mean,Jump_std,Smooth_mean,Smooth_std,Predicted_class_count_mean,Predicted_class_count_std
original,B10,0.4178649237472767,0.08920657485242063,0.40969888489339285,0.09685456249167683,0.47101940457203617,0.12802112667125265,0.5575438596491228,0.1385160770492293,0.2702380952380952,0.22312881961685946,0.4013146997929607,0.1431818690603691,0.5545995670995671,0.13990124573336782,0.5166666666666666,0.42295258468165065,0.34179197994987465,0.1718311988324747,0.21253968253968253,0.19396825396825396,0.08571428571428572,0.10168645954315536,0.39761904761904765,0.3527989798474563,0.3262445887445887,0.18779226891518427,0.38677944862155383,0.3423307756909623,1.25,1.2583057392117916,1.25,1.2583057392117916,0.15595871054081833,0.11167515522423804,3.0,0.0
original,B11,0.5995098039215686,0.11771648278430694,0.48323116349432144,0.09526840237743817,0.4983918128654971,0.08026668040799757,0.5166666666666667,0.3626037527129049,0.256578947368421,0.29646657221265243,0.6764478764478764,0.14732280740081438,0.4630952380952381,0.3483114435071069,0.3035714285714286,0.36128549774984564,0.7285087719298247,0.20197737486389364,0.22916666666666669,0.2667968432263687,0.03571428571428571,0.07142857142857142,0.6607142857142857,0.41802499681141514,0.24523809523809523,0.3201119418715868,0.14649122807017545,0.07002176155605301,1.75,0.9574271077563381,2.5,1.0,0.34207155049676224,0.16062497511999363,3.0,0.0
original,B12,0.592156862745098,0.10408791717636863,0.49603043234622185,0.11955304649668497,0.5293024227234754,0.1057835543800306,0.5166666666666667,0.3626037527129049,0.3151515151515152,0.26940740328354995,0.6562731152204836,0.1583778852256516,0.4630952380952381,0.3483114435071069,0.4642857142857143,0.37771441378700926,0.6605263157894736,0.2032742144957275,0.2423611111111111,0.21463164684444952,0.0,0.0,0.5357142857142857,0.3777144137870093,0.3047619047619048,0.2971520145109085,0.23947368421052628,0.12169504932942704,1.5,1.0,1.25,1.2583057392117916,0.22247188435431953,0.10233512184328414,2.75,0.5
original,B9,0.5479023313463541,0.18509642161393836,0.47959262996616614,0.10690381508311046,0.5073412698412698,0.09992296817466333,0.5400043488615301,0.1679415805514327,0.3335561497326203,0.2299607735086636,0.5652173913043479,0.2699214569882489,0.5291666666666667,0.15418543429308795,0.4095238095238095,0.2944690444521963,0.5833333333333334,0.38836380660534237,0.2833333333333333,0.19148542155126763,0.12738095238095237,0.0880952380952381,0.4630952380952381,0.37039691892754784,0.21944444444444444,0.20495407495218573,0.17424242424242425,0.13636363636363635,1.25,0.9574271077563381,2.0,1.8257418583505538,0.09971327660087911,0.05678748342007442,2.75,0.5
stagebalanced,B10,0.5268084066471164,0.15381273087327604,0.39670584028463624,0.12217915410246687,0.4908802390420038,0.17613762558117224,0.35187969924812024,0.24737032550249213,0.2851662404092072,0.3473838771644808,0.5530715811965812,0.2513042683885127,0.5297202797202797,0.47185527359649776,0.24019607843137253,0.3163189373510133,0.7027243589743589,0.39679241227852957,0.39583333333333337,0.4583333333333333,0.29411764705882354,0.4778846120374094,0.4656862745098039,0.4179047350185709,0.09090909090909091,0.1818181818181818,0.09054487179487179,0.06694422619937636,1.0,1.4142135623730951,1.25,1.8929694486000912,0.11487375292980095,0.14110809179852607,3.0,0.0
stagebalanced,B11,0.5332010582010582,0.023758027791668763,0.4242675199196938,0.08674604581881164,0.49366883116883115,0.16458436752439173,0.39166666666666666,0.27146531203426355,0.3054347826086956,0.22289765552674498,0.5757011104837192,0.17229601718562051,0.5392156862745098,0.45690902736200173,0.24714795008912654,0.22762923351158643,0.6946428571428571,0.3438168611537332,0.575,0.43493294502332963,0.346078431372549,0.4493961945083653,0.4067736185383244,0.2948446694246731,0.125,0.25,0.09285714285714286,0.14214106244380284,2.5,1.9148542155126762,2.25,1.8929694486000912,0.15250837172088672,0.12179394289686682,2.75,0.5
stagebalanced,B12,0.5838624338624339,0.027558977022445332,0.49499016778428545,0.17335929607353856,0.524662327052033,0.17699033528207964,0.5340909090909091,0.41390267817114346,0.45292207792207795,0.32120986043707966,0.49795751633986934,0.14073409039172147,0.5392156862745098,0.45690902736200173,0.5280748663101604,0.4620513752822837,0.5066964285714286,0.3495757116080271,0.5212418300653594,0.40912370186293623,0.25,0.5,0.22192513368983957,0.3338286424601842,0.375,0.47871355387816905,0.3214285714285714,0.38905082472305214,2.0,1.4142135623730951,1.75,3.5,0.13496608597705845,0.08813317973625966,2.5,0.5773502691896257
stagebalanced,B9,0.4866557734204793,0.1348106150638273,0.4311926529823867,0.1865215270312116,0.49707782435143116,0.16988355602956925,0.48571428571428577,0.136027208162721,0.3326612903225806,0.24441555408480714,0.4752023829102936,0.27082089828693334,0.625,0.3435921354681384,0.260132282578103,0.1954370053200756,0.6061011904761905,0.38779761904761906,0.4732142857142857,0.34672299712406424,0.30572755417956654,0.4658482633223398,0.4341401632423304,0.31534160010990886,0.16666666666666666,0.19245008972987526,0.1595238095238095,0.17424928060506656,1.25,0.9574271077563381,0.5,0.5773502691896257,0.27053726038227427,0.21874880978032124,2.75,0.5
