Method,Output,Acc,Macro-F1,E-F1,M-F1,L-F1,M-Pre,M-Rec,M→E,M→L,Rev,Jump,Smooth
A1,raw,0.9901315789473685,0.9902304781561747,0.9824561403508771,0.9882352941176471,1.0,1.0,0.9767441860465116,0.02325581395348819,0.0,0,0,0.023676556527380994
A2,raw_fine,0.9901315789473685,0.9902304781561747,0.9824561403508771,0.9882352941176471,1.0,1.0,0.9767441860465116,0.02325581395348819,0.0,0,0,0.01996619172853688
A3,raw_prior,0.9901315789473685,0.9902304781561747,0.9824561403508771,0.9882352941176471,1.0,1.0,0.9767441860465116,0.02325581395348819,0.0,0,0,0.020910324053874375
A4,mix,0.9901315789473685,0.9902304781561747,0.9824561403508771,0.9882352941176471,1.0,1.0,0.9767441860465116,0.02325581395348819,0.0,0,0,0.020589316536001417
A5,ordered,0.9769736842105263,0.9775120581308953,0.9710982658959537,0.9725490196078431,0.9888888888888889,0.9841269841269841,0.9612403100775194,0.03875968992248032,0.0,0,0,0.013598929513192944
A6,final,0.9868421052631579,0.9871020928241414,0.9824561403508771,0.984375,0.994475138121547,0.9921259842519685,0.9767441860465116,0.02325581395348819,0.0,0,0,0.018804332947198826
