Setting,Task,Method,Stage,Precision,Recall,F1-score,Support
Dual-source,D3_C4C6_to_C1,B9,weighted avg,0.8919644428797747,0.881578947368421,0.8813572998635387,304.0
Dual-source,D3_C4C6_to_C1,B10,early,1.0,0.8095238095238095,0.8947368421052632,105.0
Dual-source,D3_C4C6_to_C1,B10,middle,0.8260869565217391,0.8558558558558559,0.8407079646017699,111.0
Dual-source,D3_C4C6_to_C1,B10,late,0.8461538461538461,1.0,0.9166666666666666,88.0
Dual-source,D3_C4C6_to_C1,B10,macro avg,0.8907469342251951,0.8884598884598884,0.8840371577912332,304.0
Dual-source,D3_C4C6_to_C1,B10,weighted avg,0.8919644428797747,0.881578947368421,0.8813572998635387,304.0
Dual-source,D3_C4C6_to_C1,B11,early,1.0,0.819047619047619,0.900523560209424,105.0
Dual-source,D3_C4C6_to_C1,B11,middle,0.819047619047619,0.7747747747747747,0.7962962962962963,111.0
Dual-source,D3_C4C6_to_C1,B11,late,0.7787610619469026,1.0,0.8756218905472637,88.0
Dual-source,D3_C4C6_to_C1,B11,macro avg,0.865936226998174,0.8646074646074645,0.8574805823509947,304.0
Dual-source,D3_C4C6_to_C1,B11,weighted avg,0.869885720939517,0.8552631578947368,0.8552585167073606,304.0
Dual-source,D3_C4C6_to_C1,B12,early,1.0,0.819047619047619,0.900523560209424,105.0
Dual-source,D3_C4C6_to_C1,B12,middle,0.8240740740740741,0.8018018018018018,0.8127853881278538,111.0
Dual-source,D3_C4C6_to_C1,B12,late,0.8,1.0,0.8888888888888888,88.0
Dual-source,D3_C4C6_to_C1,B12,macro avg,0.8746913580246914,0.8736164736164737,0.8673992790753889,304.0
Dual-source,D3_C4C6_to_C1,B12,weighted avg,0.8778691520467837,0.8651315789473685,0.8651196517315904,304.0
Single-source,S1_C1_to_C4,B8,early,0.7232142857142857,0.9642857142857143,0.826530612244898,84.0
Single-source,S1_C1_to_C4,B8,middle,0.8938053097345132,0.7651515151515151,0.8244897959183674,132.0
Single-source,S1_C1_to_C4,B8,late,1.0,0.8977272727272727,0.9461077844311377,88.0
Single-source,S1_C1_to_C4,B8,macro avg,0.8723398651495996,0.8757215007215008,0.8657093975314677,304.0
Single-source,S1_C1_to_C4,B8,weighted avg,0.877408884489986,0.8585526315789473,0.8602589128938686,304.0
Single-source,S1_C1_to_C4,B9,early,0.9852941176470589,0.7976190476190477,0.881578947368421,84.0
Single-source,S1_C1_to_C4,B9,middle,0.6875,1.0,0.8148148148148148,132.0
Single-source,S1_C1_to_C4,B9,late,1.0,0.5,0.6666666666666666,88.0
Single-source,S1_C1_to_C4,B9,macro avg,0.8909313725490197,0.7658730158730158,0.7876868096166341,304.0
Single-source,S1_C1_to_C4,B9,weighted avg,0.8602457430340557,0.7993421052631579,0.7903778085564789,304.0
Single-source,S1_C1_to_C4,B10,early,0.6885245901639344,1.0,0.8155339805825242,84.0
Single-source,S1_C1_to_C4,B10,middle,0.9690721649484536,0.7121212121212122,0.8209606986899564,132.0
Single-source,S1_C1_to_C4,B10,late,1.0,0.9659090909090909,0.9826589595375722,88.0
Single-source,S1_C1_to_C4,B10,macro avg,0.8858655850374627,0.8926767676767677,0.8730512129366842,304.0
Single-source,S1_C1_to_C4,B10,weighted avg,0.9005052346939683,0.8651315789473685,0.8662686020898441,304.0
Single-source,S1_C1_to_C4,B11,early,1.0,0.9166666666666666,0.9565217391304348,84.0
Single-source,S1_C1_to_C4,B11,middle,0.8301886792452831,1.0,0.9072164948453608,132.0
Single-source,S1_C1_to_C4,B11,late,1.0,0.7727272727272727,0.8717948717948718,88.0
Single-source,S1_C1_to_C4,B11,macro avg,0.9433962264150942,0.8964646464646465,0.9118443685902226,304.0
Single-source,S1_C1_to_C4,B11,weighted avg,0.9262661370407149,0.9111842105263158,0.9105866846200424,304.0
Single-source,S1_C1_to_C4,B12,early,1.0,0.7976190476190477,0.8874172185430463,84.0
Single-source,S1_C1_to_C4,B12,middle,0.6875,1.0,0.8148148148148148,132.0
Single-source,S1_C1_to_C4,B12,late,1.0,0.5113636363636364,0.6766917293233082,88.0
Single-source,S1_C1_to_C4,B12,macro avg,0.8958333333333334,0.7696608946608947,0.7929745875603897,304.0
Single-source,S1_C1_to_C4,B12,weighted avg,0.8643092105263158,0.8026315789473685,0.7948930068869163,304.0
Single-source,S2_C1_to_C6,B8,early,1.0,0.6904761904761905,0.8169014084507042,84.0
Single-source,S2_C1_to_C6,B8,middle,0.7166666666666667,1.0,0.8349514563106796,129.0
Single-source,S2_C1_to_C6,B8,late,1.0,0.7252747252747253,0.8407643312101911,91.0
Single-source,S2_C1_to_C6,B8,macro avg,0.9055555555555556,0.8052503052503052,0.8308723986571916,304.0
Single-source,S2_C1_to_C6,B8,weighted avg,0.8797697368421052,0.8322368421052632,0.8317039812962639,304.0
Single-source,S2_C1_to_C6,B9,early,1.0,0.8928571428571429,0.9433962264150944,84.0
Single-source,S2_C1_to_C6,B9,middle,0.7543859649122807,1.0,0.86,129.0
Single-source,S2_C1_to_C6,B9,late,1.0,0.6373626373626373,0.7785234899328859,91.0
Single-source,S2_C1_to_C6,B9,macro avg,0.9181286549707602,0.8434065934065934,0.8606399054493267,304.0
Single-source,S2_C1_to_C6,B9,weighted avg,0.8957756232686981,0.8618421052631579,0.8586543440880281,304.0
Single-source,S2_C1_to_C6,B10,early,1.0,0.8809523809523809,0.9367088607594937,84.0
Single-source,S2_C1_to_C6,B10,middle,0.832258064516129,1.0,0.9084507042253521,129.0
Single-source,S2_C1_to_C6,B10,late,1.0,0.8241758241758241,0.9036144578313253,91.0
Single-source,S2_C1_to_C6,B10,macro avg,0.9440860215053762,0.9017094017094017,0.9162580076053904,304.0
Single-source,S2_C1_to_C6,B10,weighted avg,0.9288200339558574,0.9144736842105263,0.914811186879995,304.0
Single-source,S2_C1_to_C6,B11,early,1.0,0.7261904761904762,0.8413793103448276,84.0
Single-source,S2_C1_to_C6,B11,middle,0.8402777777777778,0.937984496124031,0.8864468864468864,129.0
Single-source,S2_C1_to_C6,B11,late,0.9191919191919192,1.0,0.9578947368421052,91.0
Single-source,S2_C1_to_C6,B11,macro avg,0.9198232323232323,0.8880583241048358,0.895240311211273,304.0
Single-source,S2_C1_to_C6,B11,weighted avg,0.908033874933546,0.8980263157894737,0.8953813535304126,304.0
Single-source,S2_C1_to_C6,B12,early,1.0,0.6904761904761905,0.8169014084507042,84.0
Single-source,S2_C1_to_C6,B12,middle,0.7771084337349398,1.0,0.8745762711864407,129.0
Single-source,S2_C1_to_C6,B12,late,1.0,0.8791208791208791,0.935672514619883,91.0
Single-source,S2_C1_to_C6,B12,macro avg,0.9257028112449799,0.8565323565323565,0.8757167314190092,304.0
Single-source,S2_C1_to_C6,B12,weighted avg,0.9054177235256816,0.8782894736842105,0.8769284740898663,304.0
Single-source,S3_C4_to_C1,B8,early,1.0,0.8095238095238095,0.8947368421052632,105.0
Single-source,S3_C4_to_C1,B8,middle,0.84,0.9459459459459459,0.8898305084745762,111.0
Single-source,S3_C4_to_C1,B8,late,0.9361702127659575,1.0,0.967032967032967,88.0
Single-source,S3_C4_to_C1,B8,macro avg,0.9253900709219858,0.9184899184899185,0.9172001058709355,304.0
