Setting,Task,Method,True_stage,Pred_stage,Count,Row_norm
Dual-source,D2_C1C6_to_C4,B12,late,late,84,0.9545454545454437
Dual-source,D3_C4C6_to_C1,B8,early,early,87,0.8285714285714207
Dual-source,D3_C4C6_to_C1,B8,early,middle,18,0.1714285714285698
Dual-source,D3_C4C6_to_C1,B8,early,late,0,0.0
Dual-source,D3_C4C6_to_C1,B8,middle,early,0,0.0
Dual-source,D3_C4C6_to_C1,B8,middle,middle,91,0.8198198198198124
Dual-source,D3_C4C6_to_C1,B8,middle,late,20,0.18018018018017856
Dual-source,D3_C4C6_to_C1,B8,late,early,0,0.0
Dual-source,D3_C4C6_to_C1,B8,late,middle,0,0.0
Dual-source,D3_C4C6_to_C1,B8,late,late,88,0.9999999999999887
Dual-source,D3_C4C6_to_C1,B9,early,early,85,0.8095238095238019
Dual-source,D3_C4C6_to_C1,B9,early,middle,20,0.19047619047618866
Dual-source,D3_C4C6_to_C1,B9,early,late,0,0.0
Dual-source,D3_C4C6_to_C1,B9,middle,early,0,0.0
Dual-source,D3_C4C6_to_C1,B9,middle,middle,95,0.8558558558558482
Dual-source,D3_C4C6_to_C1,B9,middle,late,16,0.14414414414414287
Dual-source,D3_C4C6_to_C1,B9,late,early,0,0.0
Dual-source,D3_C4C6_to_C1,B9,late,middle,0,0.0
Dual-source,D3_C4C6_to_C1,B9,late,late,88,0.9999999999999887
Dual-source,D3_C4C6_to_C1,B10,early,early,85,0.8095238095238019
Dual-source,D3_C4C6_to_C1,B10,early,middle,20,0.19047619047618866
Dual-source,D3_C4C6_to_C1,B10,early,late,0,0.0
Dual-source,D3_C4C6_to_C1,B10,middle,early,0,0.0
Dual-source,D3_C4C6_to_C1,B10,middle,middle,95,0.8558558558558482
Dual-source,D3_C4C6_to_C1,B10,middle,late,16,0.14414414414414287
Dual-source,D3_C4C6_to_C1,B10,late,early,0,0.0
Dual-source,D3_C4C6_to_C1,B10,late,middle,0,0.0
Dual-source,D3_C4C6_to_C1,B10,late,late,88,0.9999999999999887
Dual-source,D3_C4C6_to_C1,B11,early,early,86,0.8190476190476113
Dual-source,D3_C4C6_to_C1,B11,early,middle,19,0.18095238095237923
Dual-source,D3_C4C6_to_C1,B11,early,late,0,0.0
Dual-source,D3_C4C6_to_C1,B11,middle,early,0,0.0
Dual-source,D3_C4C6_to_C1,B11,middle,middle,86,0.7747747747747679
Dual-source,D3_C4C6_to_C1,B11,middle,late,25,0.2252252252252232
Dual-source,D3_C4C6_to_C1,B11,late,early,0,0.0
Dual-source,D3_C4C6_to_C1,B11,late,middle,0,0.0
Dual-source,D3_C4C6_to_C1,B11,late,late,88,0.9999999999999887
Dual-source,D3_C4C6_to_C1,B12,early,early,86,0.8190476190476113
Dual-source,D3_C4C6_to_C1,B12,early,middle,19,0.18095238095237923
Dual-source,D3_C4C6_to_C1,B12,early,late,0,0.0
Dual-source,D3_C4C6_to_C1,B12,middle,early,0,0.0
Dual-source,D3_C4C6_to_C1,B12,middle,middle,89,0.8018018018017946
Dual-source,D3_C4C6_to_C1,B12,middle,late,22,0.19819819819819642
Dual-source,D3_C4C6_to_C1,B12,late,early,0,0.0
Dual-source,D3_C4C6_to_C1,B12,late,middle,0,0.0
Dual-source,D3_C4C6_to_C1,B12,late,late,88,0.9999999999999887
Single-source,S1_C1_to_C4,B8,early,early,81,0.9642857142857029
Single-source,S1_C1_to_C4,B8,early,middle,3,0.03571428571428529
Single-source,S1_C1_to_C4,B8,early,late,0,0.0
Single-source,S1_C1_to_C4,B8,middle,early,31,0.23484848484848309
Single-source,S1_C1_to_C4,B8,middle,middle,101,0.7651515151515094
Single-source,S1_C1_to_C4,B8,middle,late,0,0.0
Single-source,S1_C1_to_C4,B8,late,early,0,0.0
Single-source,S1_C1_to_C4,B8,late,middle,9,0.10227272727272611
Single-source,S1_C1_to_C4,B8,late,late,79,0.8977272727272626
Single-source,S1_C1_to_C4,B9,early,early,67,0.7976190476190381
Single-source,S1_C1_to_C4,B9,early,middle,17,0.20238095238095
Single-source,S1_C1_to_C4,B9,early,late,0,0.0
Single-source,S1_C1_to_C4,B9,middle,early,0,0.0
Single-source,S1_C1_to_C4,B9,middle,middle,132,0.9999999999999925
Single-source,S1_C1_to_C4,B9,middle,late,0,0.0
Single-source,S1_C1_to_C4,B9,late,early,1,0.011363636363636236
Single-source,S1_C1_to_C4,B9,late,middle,43,0.4886363636363581
Single-source,S1_C1_to_C4,B9,late,late,44,0.49999999999999434
Single-source,S1_C1_to_C4,B10,early,early,84,0.9999999999999881
Single-source,S1_C1_to_C4,B10,early,middle,0,0.0
Single-source,S1_C1_to_C4,B10,early,late,0,0.0
Single-source,S1_C1_to_C4,B10,middle,early,38,0.28787878787878574
Single-source,S1_C1_to_C4,B10,middle,middle,94,0.7121212121212067
Single-source,S1_C1_to_C4,B10,middle,late,0,0.0
Single-source,S1_C1_to_C4,B10,late,early,0,0.0
Single-source,S1_C1_to_C4,B10,late,middle,3,0.03409090909090871
Single-source,S1_C1_to_C4,B10,late,late,85,0.96590909090908
Single-source,S1_C1_to_C4,B11,early,early,77,0.9166666666666559
Single-source,S1_C1_to_C4,B11,early,middle,7,0.08333333333333234
Single-source,S1_C1_to_C4,B11,early,late,0,0.0
Single-source,S1_C1_to_C4,B11,middle,early,0,0.0
Single-source,S1_C1_to_C4,B11,middle,middle,132,0.9999999999999925
Single-source,S1_C1_to_C4,B11,middle,late,0,0.0
Single-source,S1_C1_to_C4,B11,late,early,0,0.0
Single-source,S1_C1_to_C4,B11,late,middle,20,0.2272727272727247
Single-source,S1_C1_to_C4,B11,late,late,68,0.772727272727264
Single-source,S1_C1_to_C4,B12,early,early,67,0.7976190476190381
Single-source,S1_C1_to_C4,B12,early,middle,17,0.20238095238095
Single-source,S1_C1_to_C4,B12,early,late,0,0.0
Single-source,S1_C1_to_C4,B12,middle,early,0,0.0
Single-source,S1_C1_to_C4,B12,middle,middle,132,0.9999999999999925
Single-source,S1_C1_to_C4,B12,middle,late,0,0.0
Single-source,S1_C1_to_C4,B12,late,early,0,0.0
Single-source,S1_C1_to_C4,B12,late,middle,43,0.4886363636363581
Single-source,S1_C1_to_C4,B12,late,late,45,0.5113636363636306
Single-source,S2_C1_to_C6,B8,early,early,58,0.6904761904761822
Single-source,S2_C1_to_C6,B8,early,middle,26,0.30952380952380587
Single-source,S2_C1_to_C6,B8,early,late,0,0.0
Single-source,S2_C1_to_C6,B8,middle,early,0,0.0
Single-source,S2_C1_to_C6,B8,middle,middle,129,0.9999999999999923
