method,train_windows,val_windows,test_windows,input_dim,selected_features,train_early,train_middle,train_late,best_epoch,best_val_acc,best_val_macro_f1,best_val_MRec,test_acc,test_macro_f1,test_MF1
B10,416,60,304,45,45,125,173,118,15,1.0,1.0,1.0,0.8684,0.8746,0.8261
B11,416,60,304,45,45,125,173,118,5,1.0,1.0,1.0,0.9901,0.9902,0.9882
