epoch,train_loss,val_loss,mono_valid_pairs,mono_violations,mono_violation_rate,mono_loss
0,1.263532254617173,0.8897261462195871,2962,1478,0.4989871708305199,0.013748599543477019
1,0.8315182555029695,0.8640251328056008,2962,1459,0.4925725860904794,0.03283848313126992
2,0.5126854267437773,0.5758722257176445,2962,1456,0.49155975692099935,0.03603313229466603
3,0.4619519534712915,0.5225183020539508,2962,1469,0.4959486833220797,0.03581142312524053
4,0.3222937394483377,0.6789997797065934,2962,1494,0.5043889264010804,0.031796467748366176
5,0.32786657595102764,0.6593680628741363,2962,1480,0.49966239027683995,0.030772234135693723
6,0.30931855005283065,0.5772655383526983,2962,1467,0.4952734638757596,0.026303221104741484
7,0.3101210657369568,0.6347008406707138,2962,1446,0.48818365968939903,0.024427914819045368
8,0.31894843000735956,0.46691333154483816,2962,1457,0.49189736664415934,0.021716833801470617
9,0.2640922450883379,0.825030035891942,2962,1459,0.4925725860904794,0.0196788753813663
10,0.3011576241231942,0.5689498396104712,2962,1476,0.49831195138419987,0.016557151722974756
11,0.25534629314345064,0.8631633141849546,2962,1468,0.49561107359891965,0.015257662244996006
12,0.2532417416087272,0.8685883402016026,2962,1467,0.4952734638757596,0.013333682231446738
13,0.2421646877535993,0.690414048080477,2962,1454,0.49088453747467925,0.012734159223805965
14,0.2589808985159829,0.7899287168277741,2962,1448,0.4888588791357191,0.011476635760601808
15,0.29649065186810897,0.820552552698592,2962,1467,0.4952734638757596,0.010973607231054519
16,0.2628882160452452,0.6618135606847003,2962,1395,0.4709655638082377,0.010762404537193133
17,0.24503485081734422,0.6907582519812626,2962,1442,0.48683322079675895,0.011134869477188872
18,0.20724666891202462,0.6897959964749443,2962,1442,0.48683322079675895,0.01079379391362364
19,0.22706045510841644,0.7380701773040759,2962,1456,0.49155975692099935,0.010087642464914639
20,0.20212951199265441,0.8224458536409801,2962,1449,0.4891964888588791,0.010506600822891702
21,0.2331301659858935,0.6803680918004253,2962,1432,0.4834571235651587,0.010310343968742577
22,0.17511997034501658,0.9644025895383406,2962,1464,0.49426063470627957,0.010367630769618297
23,0.18759335456642828,0.7731799195167107,2962,1467,0.4952734638757596,0.010621169981452015
24,0.15797898087202383,0.7390739544284016,2962,1468,0.49561107359891965,0.010687237376503672
25,0.1940122001413798,0.934925297990429,2962,1458,0.4922349763673194,0.010491106227459218
26,0.15989442698752807,0.7973264361064721,2962,1440,0.4861580013504389,0.010031002531958858
