Metric,Mean,Std,Min,Max,N
Acc,0.768092105263158,0.11967587693499492,0.4375,0.8355263157894737,10
Macro-F1,0.7455625592286201,0.19698974193647786,0.2101419878296146,0.8455218965977496,10
E-F1,0.6385484358639866,0.27813677236496837,0.0235294117647058,0.7887323943661971,10
M-F1,0.7305812908569103,0.04811823672536191,0.6068965517241379,0.7747747747747747,10
L-F1,0.8675579509649637,0.30495734340826197,0.0,0.9767441860465116,10
M-Precision,0.8514966427507105,0.17717694527943056,0.4356435643564356,0.9555555555555556,10
M-Recall,0.6931818181818181,0.16374271702845045,0.5757575757575758,1.0,10
M_to_E,0.30681818181817955,0.1637427170284492,0.0,0.424242424242421,10
M_to_L,0.0,0.0,0.0,0.0,10
Rev,0.0,0.0,0.0,0.0,10
Jump,0.0,0.0,0.0,0.0,10
Smooth,0.00982524459595757,0.002693371105640828,0.0031631326308668,0.012175856665895,10
q-MAE,0.1412308758350901,0.07837752138454886,0.0770182067295058,0.3339747139061553,10
q-RMSE,0.16791214474991592,0.07896035182791346,0.1051871704859336,0.3600490607329207,10
q-R2,0.27483210198564956,0.7780251046581415,-1.7808101272171064,0.7626585903557171,10
Spearman,0.7008566711326318,0.41848238559892526,-0.3626037013172708,0.9513716180974802,10
