Method,Dataset,Task,Seed,Acc,Macro-F1,E-F1,M-F1,L-F1,M-Precision,M-Recall,M_to_E,M_to_L,Rev,Jump,Smooth,q-MAE,q-RMSE,q-R2,Spearman
B9_DC_PHSR,PHM2010,D3,0,0.9276315789473684,0.9304422696277318,0.900523560209424,0.907563025210084,0.9832402234636872,0.8503937007874016,0.972972972972973,0.0,0.0270270270270267,0,0,0.0120964272167135,0.1073107151364604,0.1308351547917885,0.6251561364411915,0.9441832120330632
B9_DC_PHSR,PHM2010,D3,1,0.8585526315789473,0.8607889593939247,0.900523560209424,0.8018433179723502,0.88,0.8207547169811321,0.7837837837837838,0.0,0.2162162162162142,0,0,0.0152569343731068,0.1013159882431425,0.1119036686163684,0.7257856681397874,0.9648339876678133
B9_DC_PHSR,PHM2010,D3,2,0.9276315789473684,0.9304422696277318,0.900523560209424,0.907563025210084,0.9832402234636872,0.8503937007874016,0.972972972972973,0.0,0.0270270270270267,0,0,0.0190023984088429,0.1131563372383897,0.1347742574921544,0.6022452303503689,0.9331667713647784
B9_DC_PHSR,PHM2010,D3,3,0.9177631578947368,0.9203911828396624,0.900523560209424,0.8936170212765957,0.967032967032967,0.8467741935483871,0.945945945945946,0.0,0.0540540540540535,0,0,0.0128965985665633,0.1012170800809375,0.1246031161561231,0.6600153514740619,0.9452856898527512
B9_DC_PHSR,PHM2010,D3,4,0.8552631578947368,0.8574805823509947,0.900523560209424,0.7962962962962963,0.8756218905472637,0.819047619047619,0.7747747747747747,0.0,0.2252252252252232,0,0,0.0157917870079098,0.099490998092552,0.1162637540452843,0.7040010407614894,0.9429372859649728
B9_DC_PHSR,PHM2010,D3,5,0.8782894736842105,0.8806069241811914,0.900523560209424,0.8340807174887892,0.9072164948453608,0.8303571428571429,0.8378378378378378,0.0,0.1621621621621607,0,0,0.017516971287299,0.1214219430143979,0.1469333197723023,0.5272385211251951,0.9247345369955802
B9_DC_PHSR,PHM2010,D3,6,0.8782894736842105,0.8804644293614882,0.90625,0.832579185520362,0.9025641025641026,0.8363636363636363,0.8288288288288288,0.0,0.1711711711711696,0,0,0.0179646452642863,0.1115454686561085,0.129535753468118,0.6325647554796633,0.929694725161646
B9_DC_PHSR,PHM2010,D3,7,0.868421052631579,0.8708386151995174,0.8947368421052632,0.8198198198198198,0.8979591836734694,0.8198198198198198,0.8198198198198198,0.0,0.1801801801801785,0,0,0.0124861327570873,0.0907594897228657,0.1133829303623873,0.7184880373764606,0.9546458434473744
B9_DC_PHSR,PHM2010,D3,8,0.9013157894736842,0.903613755132512,0.90625,0.868421052631579,0.9361702127659576,0.8461538461538461,0.8918918918918919,0.0,0.1081081081081071,1,0,0.0199136306586893,0.1076599873516344,0.1279241396171377,0.6416507417510463,0.9484167525145996
B9_DC_PHSR,PHM2010,D3,9,0.8717105263157895,0.8740040518825332,0.900523560209424,0.8235294117647058,0.8979591836734694,0.8272727272727273,0.8198198198198198,0.0,0.1801801801801785,0,0,0.0158175263512476,0.1007583069133466,0.1162712814421506,0.7039627111241097,0.96331121289379
