arch_name,window_length,dropout,learning_rate,channels,gru_hidden,proxy_mean_score,proxy_worst_score,proxy_final_score,proxy_C1_to_C4_score,proxy_C1_to_C4_acc,proxy_C1_to_C4_f1,proxy_C1_to_C4_middle_recall,proxy_C1_to_C4_middle_to_late_rate,proxy_C4_to_C1_score,proxy_C4_to_C1_acc,proxy_C4_to_C1_f1,proxy_C4_to_C1_middle_recall,proxy_C4_to_C1_middle_to_late_rate
L15_drop0p2_lr0p001_ch32-64-64,15,0.2,0.001,"(32, 64, 64)",64,0.1122441476425376,0.18546094600685575,0.1525133867429126,0.03902734927821942,0.9534883720930233,0.9543708612208871,1.0,0.0,0.18546094600685575,0.6943521594684385,0.6027667428120359,1.0,0.0
L12_drop0p2_lr0p001_ch32-64-64,12,0.2,0.001,"(32, 64, 64)",64,0.11687774389926273,0.19411868736467813,0.1593602628052412,0.039636800433847305,0.9539473684210527,0.9539765654435485,1.0,0.0,0.19411868736467813,0.6875,0.5963262927548642,0.9823008849557522,0.0
L15_drop0p15_lr0p001_ch16-32-32,15,0.15,0.001,"(16, 32, 32)",48,0.11547558733616531,0.19662817121756296,0.16010950847093403,0.03432300345476766,0.9634551495016611,0.9623119980392913,1.0,0.0,0.19662817121756296,0.6777408637873754,0.5741282252193677,1.0,0.0
L12_drop0p1_lr0p001_ch16-32-32,12,0.1,0.001,"(16, 32, 32)",48,0.123144043759717,0.1983587116544615,0.16451211110182648,0.0479293758649725,0.9342105263157895,0.9349703078606032,1.0,0.0,0.1983587116544615,0.6875,0.5667631680527775,1.0,0.0
L10_drop0p15_lr0p001_ch32-64-64,10,0.15,0.001,"(32, 64, 64)",64,0.14972193067381404,0.22057353170487623,0.18869031124089825,0.07887032964275184,0.8823529411764706,0.8787858340489919,1.0,0.0,0.22057353170487623,0.6633986928104575,0.514007403078122,1.0,0.0
L10_drop0p1_lr0p001_ch16-32-32,10,0.1,0.001,"(16, 32, 32)",48,0.1403711891947822,0.252298432698187,0.20193117312165487,0.028443945691377398,0.9771241830065359,0.9760664543031004,1.0,0.0,0.252298432698187,0.545751633986928,0.41195629767058334,1.0,0.0
