eta,fine_weight,temperature,mid_floor,late_tau,order_blend,val_score,val_final_acc,val_final_f1,val_final_middle_precision,val_final_middle_recall,val_final_middle_f1,val_final_ratio_penalty,val_final_middle_to_late_rate,val_q_MAE,val_q_RMSE,val_q_R2,val_q_mono_violation
0.55,0.1,1.0,0.04,0.6,0.0,0.008966603374088966,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.07421058274450756,0.08966603374088966,0.807442644537396,0.192
0.55,0.1,1.0,0.04,0.6,0.25,0.008966603374088966,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.07421058274450756,0.08966603374088966,0.807442644537396,0.192
0.55,0.1,1.0,0.04,0.66,0.0,0.008966603374088966,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.07421058274450756,0.08966603374088966,0.807442644537396,0.192
0.55,0.1,1.0,0.04,0.72,0.0,0.008966603374088966,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.07421058274450756,0.08966603374088966,0.807442644537396,0.192
0.55,0.1,1.0,0.08,0.6,0.0,0.008966603374088966,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.07421058274450756,0.08966603374088966,0.807442644537396,0.192
0.55,0.1,1.0,0.08,0.6,0.25,0.008966603374088966,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.07421058274450756,0.08966603374088966,0.807442644537396,0.192
0.55,0.1,1.0,0.08,0.66,0.0,0.008966603374088966,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.07421058274450756,0.08966603374088966,0.807442644537396,0.192
0.55,0.1,1.0,0.08,0.72,0.0,0.008966603374088966,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.07421058274450756,0.08966603374088966,0.807442644537396,0.192
0.55,0.1,1.0,0.12,0.6,0.0,0.008966603374088966,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.07421058274450756,0.08966603374088966,0.807442644537396,0.192
0.55,0.1,1.0,0.12,0.6,0.25,0.008966603374088966,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.07421058274450756,0.08966603374088966,0.807442644537396,0.192
0.55,0.1,1.0,0.12,0.66,0.0,0.008966603374088966,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.07421058274450756,0.08966603374088966,0.807442644537396,0.192
0.55,0.1,1.0,0.12,0.72,0.0,0.008966603374088966,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.07421058274450756,0.08966603374088966,0.807442644537396,0.192
0.55,0.1,1.2,0.04,0.6,0.0,0.008966603374088966,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.07421058274450756,0.08966603374088966,0.807442644537396,0.192
0.55,0.1,1.2,0.04,0.6,0.25,0.008966603374088966,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.07421058274450756,0.08966603374088966,0.807442644537396,0.192
0.55,0.1,1.2,0.04,0.66,0.0,0.008966603374088966,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.07421058274450756,0.08966603374088966,0.807442644537396,0.192
0.55,0.1,1.2,0.04,0.72,0.0,0.008966603374088966,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.07421058274450756,0.08966603374088966,0.807442644537396,0.192
0.55,0.1,1.2,0.08,0.6,0.0,0.008966603374088966,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.07421058274450756,0.08966603374088966,0.807442644537396,0.192
0.55,0.1,1.2,0.08,0.6,0.25,0.008966603374088966,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.07421058274450756,0.08966603374088966,0.807442644537396,0.192
0.55,0.1,1.2,0.08,0.66,0.0,0.008966603374088966,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.07421058274450756,0.08966603374088966,0.807442644537396,0.192
0.55,0.1,1.2,0.08,0.72,0.0,0.008966603374088966,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.07421058274450756,0.08966603374088966,0.807442644537396,0.192
0.55,0.1,1.2,0.12,0.6,0.0,0.008966603374088966,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.07421058274450756,0.08966603374088966,0.807442644537396,0.192
0.55,0.1,1.2,0.12,0.6,0.25,0.008966603374088966,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.07421058274450756,0.08966603374088966,0.807442644537396,0.192
0.55,0.1,1.2,0.12,0.66,0.0,0.008966603374088966,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.07421058274450756,0.08966603374088966,0.807442644537396,0.192
0.55,0.1,1.2,0.12,0.72,0.0,0.008966603374088966,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.07421058274450756,0.08966603374088966,0.807442644537396,0.192
0.55,0.2,1.0,0.04,0.6,0.0,0.008966603374088966,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.07421058274450756,0.08966603374088966,0.807442644537396,0.192
0.55,0.2,1.0,0.04,0.6,0.25,0.008966603374088966,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.07421058274450756,0.08966603374088966,0.807442644537396,0.192
0.55,0.2,1.0,0.04,0.66,0.0,0.008966603374088966,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.07421058274450756,0.08966603374088966,0.807442644537396,0.192
0.55,0.2,1.0,0.04,0.72,0.0,0.008966603374088966,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.07421058274450756,0.08966603374088966,0.807442644537396,0.192
0.55,0.2,1.0,0.08,0.6,0.0,0.008966603374088966,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.07421058274450756,0.08966603374088966,0.807442644537396,0.192
0.55,0.2,1.0,0.08,0.6,0.25,0.008966603374088966,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.07421058274450756,0.08966603374088966,0.807442644537396,0.192
0.55,0.2,1.0,0.08,0.66,0.0,0.008966603374088966,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.07421058274450756,0.08966603374088966,0.807442644537396,0.192
0.55,0.2,1.0,0.08,0.72,0.0,0.008966603374088966,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.07421058274450756,0.08966603374088966,0.807442644537396,0.192
0.55,0.2,1.0,0.12,0.6,0.0,0.008966603374088966,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.07421058274450756,0.08966603374088966,0.807442644537396,0.192
0.55,0.2,1.0,0.12,0.6,0.25,0.008966603374088966,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.07421058274450756,0.08966603374088966,0.807442644537396,0.192
0.55,0.2,1.0,0.12,0.66,0.0,0.008966603374088966,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.07421058274450756,0.08966603374088966,0.807442644537396,0.192
0.55,0.2,1.0,0.12,0.72,0.0,0.008966603374088966,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.07421058274450756,0.08966603374088966,0.807442644537396,0.192
0.55,0.2,1.2,0.04,0.6,0.0,0.008966603374088966,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.07421058274450756,0.08966603374088966,0.807442644537396,0.192
0.55,0.2,1.2,0.04,0.6,0.25,0.008966603374088966,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.07421058274450756,0.08966603374088966,0.807442644537396,0.192
0.55,0.2,1.2,0.04,0.66,0.0,0.008966603374088966,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.07421058274450756,0.08966603374088966,0.807442644537396,0.192
0.55,0.2,1.2,0.04,0.72,0.0,0.008966603374088966,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.07421058274450756,0.08966603374088966,0.807442644537396,0.192
0.55,0.2,1.2,0.08,0.6,0.0,0.008966603374088966,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.07421058274450756,0.08966603374088966,0.807442644537396,0.192
0.55,0.2,1.2,0.08,0.6,0.25,0.008966603374088966,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.07421058274450756,0.08966603374088966,0.807442644537396,0.192
0.55,0.2,1.2,0.08,0.66,0.0,0.008966603374088966,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.07421058274450756,0.08966603374088966,0.807442644537396,0.192
0.55,0.2,1.2,0.08,0.72,0.0,0.008966603374088966,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.07421058274450756,0.08966603374088966,0.807442644537396,0.192
0.55,0.2,1.2,0.12,0.6,0.0,0.008966603374088966,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.07421058274450756,0.08966603374088966,0.807442644537396,0.192
0.55,0.2,1.2,0.12,0.6,0.25,0.008966603374088966,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.07421058274450756,0.08966603374088966,0.807442644537396,0.192
0.55,0.2,1.2,0.12,0.66,0.0,0.008966603374088966,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.07421058274450756,0.08966603374088966,0.807442644537396,0.192
0.55,0.2,1.2,0.12,0.72,0.0,0.008966603374088966,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.07421058274450756,0.08966603374088966,0.807442644537396,0.192
0.55,0.3,1.0,0.04,0.6,0.0,0.008966603374088966,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.07421058274450756,0.08966603374088966,0.807442644537396,0.192
0.55,0.3,1.0,0.04,0.6,0.25,0.008966603374088966,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.07421058274450756,0.08966603374088966,0.807442644537396,0.192
0.55,0.3,1.0,0.04,0.66,0.0,0.008966603374088966,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.07421058274450756,0.08966603374088966,0.807442644537396,0.192
0.55,0.3,1.0,0.04,0.66,0.25,0.008966603374088966,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.07421058274450756,0.08966603374088966,0.807442644537396,0.192
0.55,0.3,1.0,0.04,0.72,0.0,0.008966603374088966,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.07421058274450756,0.08966603374088966,0.807442644537396,0.192
0.55,0.3,1.0,0.08,0.6,0.0,0.008966603374088966,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.07421058274450756,0.08966603374088966,0.807442644537396,0.192
0.55,0.3,1.0,0.08,0.6,0.25,0.008966603374088966,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.07421058274450756,0.08966603374088966,0.807442644537396,0.192
0.55,0.3,1.0,0.08,0.66,0.0,0.008966603374088966,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.07421058274450756,0.08966603374088966,0.807442644537396,0.192
0.55,0.3,1.0,0.08,0.66,0.25,0.008966603374088966,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.07421058274450756,0.08966603374088966,0.807442644537396,0.192
0.55,0.3,1.0,0.08,0.72,0.0,0.008966603374088966,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.07421058274450756,0.08966603374088966,0.807442644537396,0.192
0.55,0.3,1.0,0.12,0.6,0.0,0.008966603374088966,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.07421058274450756,0.08966603374088966,0.807442644537396,0.192
0.55,0.3,1.0,0.12,0.6,0.25,0.008966603374088966,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.07421058274450756,0.08966603374088966,0.807442644537396,0.192
0.55,0.3,1.0,0.12,0.66,0.0,0.008966603374088966,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.07421058274450756,0.08966603374088966,0.807442644537396,0.192
0.55,0.3,1.0,0.12,0.66,0.25,0.008966603374088966,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.07421058274450756,0.08966603374088966,0.807442644537396,0.192
0.55,0.3,1.0,0.12,0.72,0.0,0.008966603374088966,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.07421058274450756,0.08966603374088966,0.807442644537396,0.192
0.55,0.3,1.2,0.04,0.6,0.0,0.008966603374088966,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.07421058274450756,0.08966603374088966,0.807442644537396,0.192
0.55,0.3,1.2,0.04,0.6,0.25,0.008966603374088966,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.07421058274450756,0.08966603374088966,0.807442644537396,0.192
0.55,0.3,1.2,0.04,0.66,0.0,0.008966603374088966,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.07421058274450756,0.08966603374088966,0.807442644537396,0.192
0.55,0.3,1.2,0.04,0.72,0.0,0.008966603374088966,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.07421058274450756,0.08966603374088966,0.807442644537396,0.192
0.55,0.3,1.2,0.08,0.6,0.0,0.008966603374088966,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.07421058274450756,0.08966603374088966,0.807442644537396,0.192
0.55,0.3,1.2,0.08,0.6,0.25,0.008966603374088966,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.07421058274450756,0.08966603374088966,0.807442644537396,0.192
0.55,0.3,1.2,0.08,0.66,0.0,0.008966603374088966,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.07421058274450756,0.08966603374088966,0.807442644537396,0.192
0.55,0.3,1.2,0.08,0.72,0.0,0.008966603374088966,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.07421058274450756,0.08966603374088966,0.807442644537396,0.192
0.55,0.3,1.2,0.12,0.6,0.0,0.008966603374088966,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.07421058274450756,0.08966603374088966,0.807442644537396,0.192
0.55,0.3,1.2,0.12,0.6,0.25,0.008966603374088966,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.07421058274450756,0.08966603374088966,0.807442644537396,0.192
0.55,0.3,1.2,0.12,0.66,0.0,0.008966603374088966,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.07421058274450756,0.08966603374088966,0.807442644537396,0.192
0.55,0.3,1.2,0.12,0.72,0.0,0.008966603374088966,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.07421058274450756,0.08966603374088966,0.807442644537396,0.192
0.65,0.1,1.0,0.04,0.6,0.0,0.008966603374088966,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.07421058274450756,0.08966603374088966,0.807442644537396,0.192
0.65,0.1,1.0,0.04,0.6,0.25,0.008966603374088966,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.07421058274450756,0.08966603374088966,0.807442644537396,0.192
0.65,0.1,1.0,0.04,0.66,0.0,0.008966603374088966,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.07421058274450756,0.08966603374088966,0.807442644537396,0.192
0.65,0.1,1.0,0.04,0.66,0.25,0.008966603374088966,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.07421058274450756,0.08966603374088966,0.807442644537396,0.192
0.65,0.1,1.0,0.04,0.72,0.0,0.008966603374088966,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.07421058274450756,0.08966603374088966,0.807442644537396,0.192
0.65,0.1,1.0,0.04,0.72,0.25,0.008966603374088966,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.07421058274450756,0.08966603374088966,0.807442644537396,0.192
0.65,0.1,1.0,0.08,0.6,0.0,0.008966603374088966,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.07421058274450756,0.08966603374088966,0.807442644537396,0.192
0.65,0.1,1.0,0.08,0.6,0.25,0.008966603374088966,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.07421058274450756,0.08966603374088966,0.807442644537396,0.192
0.65,0.1,1.0,0.08,0.66,0.0,0.008966603374088966,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.07421058274450756,0.08966603374088966,0.807442644537396,0.192
0.65,0.1,1.0,0.08,0.66,0.25,0.008966603374088966,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.07421058274450756,0.08966603374088966,0.807442644537396,0.192
0.65,0.1,1.0,0.08,0.72,0.0,0.008966603374088966,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.07421058274450756,0.08966603374088966,0.807442644537396,0.192
0.65,0.1,1.0,0.08,0.72,0.25,0.008966603374088966,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.07421058274450756,0.08966603374088966,0.807442644537396,0.192
0.65,0.1,1.0,0.12,0.6,0.0,0.008966603374088966,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.07421058274450756,0.08966603374088966,0.807442644537396,0.192
0.65,0.1,1.0,0.12,0.6,0.25,0.008966603374088966,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.07421058274450756,0.08966603374088966,0.807442644537396,0.192
0.65,0.1,1.0,0.12,0.66,0.0,0.008966603374088966,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.07421058274450756,0.08966603374088966,0.807442644537396,0.192
0.65,0.1,1.0,0.12,0.66,0.25,0.008966603374088966,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.07421058274450756,0.08966603374088966,0.807442644537396,0.192
0.65,0.1,1.0,0.12,0.72,0.0,0.008966603374088966,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.07421058274450756,0.08966603374088966,0.807442644537396,0.192
0.65,0.1,1.0,0.12,0.72,0.25,0.008966603374088966,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.07421058274450756,0.08966603374088966,0.807442644537396,0.192
0.65,0.1,1.2,0.04,0.6,0.0,0.008966603374088966,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.07421058274450756,0.08966603374088966,0.807442644537396,0.192
0.65,0.1,1.2,0.04,0.6,0.25,0.008966603374088966,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.07421058274450756,0.08966603374088966,0.807442644537396,0.192
0.65,0.1,1.2,0.04,0.66,0.0,0.008966603374088966,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.07421058274450756,0.08966603374088966,0.807442644537396,0.192
0.65,0.1,1.2,0.04,0.66,0.25,0.008966603374088966,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.07421058274450756,0.08966603374088966,0.807442644537396,0.192
0.65,0.1,1.2,0.04,0.72,0.0,0.008966603374088966,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.07421058274450756,0.08966603374088966,0.807442644537396,0.192
0.65,0.1,1.2,0.04,0.72,0.25,0.008966603374088966,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.07421058274450756,0.08966603374088966,0.807442644537396,0.192
