epoch,train_loss,val_loss,val_acc,val_macro_f1,val_middle_recall,val_q_RMSE,score
1,1.4545409404314482,1.358053207397461,0.75,0.773955773955774,0.4230769230769231,0.20385640082812984,1.728353967748298
2,1.229588128053225,1.0263435244560242,0.75,0.773955773955774,0.4230769230769231,0.18799066728258143,1.7251808210391884
3,0.9637734248087957,0.7378413081169128,1.0,1.0,1.0,0.15659477573418165,0.03131895514683633
4,0.6413192473925077,0.4523366093635559,1.0,1.0,1.0,0.13382484736033876,0.026764969472067753
5,0.43961909871834975,0.3947727233171463,1.0,1.0,1.0,0.11249024636998983,0.02249804927399797
6,0.36895084151854884,0.34039904177188873,1.0,1.0,1.0,0.08935408540973722,0.017870817081947443
7,0.3504970417572902,0.32354651391506195,1.0,1.0,1.0,0.08068552033916516,0.016137104067833034
8,0.3033793969796254,0.30820372700691223,1.0,1.0,1.0,0.08173656187500548,0.0163473123750011
9,0.27729427126737743,0.28440137952566147,1.0,1.0,1.0,0.0833912253545084,0.016678245070901678
10,0.2995119954531009,0.27971020340919495,1.0,1.0,1.0,0.08684752157203608,0.017369504314407216
11,0.2797859047467892,0.2899203896522522,1.0,1.0,1.0,0.08814470868221669,0.01762894173644334
12,0.2553315724317844,0.2851210758090019,1.0,1.0,1.0,0.08840604153527756,0.017681208307055513
13,0.2591683841668643,0.2576461732387543,1.0,1.0,1.0,0.09139893592318332,0.018279787184636666
14,0.2840493745528735,0.2683481127023697,1.0,1.0,1.0,0.09338031796383721,0.018676063592767442
15,0.23365361873920149,0.24662400782108307,1.0,1.0,1.0,0.09114019407457356,0.018228038814914714
16,0.22524447853748614,0.24602938443422318,1.0,1.0,1.0,0.09230989335718309,0.01846197867143662
17,0.2204557118507532,0.23966671526432037,1.0,1.0,1.0,0.09374860370478476,0.018749720740956953
18,0.2052812622143672,0.21914470568299294,1.0,1.0,1.0,0.09535945016568957,0.019071890033137917
19,0.21010456864650434,0.21358859911561012,1.0,1.0,1.0,0.09714291468629893,0.019428582937259787
20,0.20551561277646285,0.23653028905391693,1.0,1.0,1.0,0.10014788900837264,0.02002957780167453
21,0.19721220892209274,0.22888359427452087,1.0,1.0,1.0,0.10047967586078271,0.020095935172156545
22,0.18986153373351464,0.21662411466240883,1.0,1.0,1.0,0.10008066195623186,0.020016132391246375
23,0.18090139214809126,0.21797337755560875,1.0,1.0,1.0,0.1047525758153248,0.02095051516306496
24,0.19460917092286623,0.22591546177864075,1.0,1.0,1.0,0.10562233419250865,0.02112446683850173
25,0.17711446090386465,0.23221580684185028,1.0,1.0,1.0,0.10527501562937717,0.021055003125875438
