feature,selected,reason,feature_score,max_abs_spearman_with_selected
ch5_q75__rel,True,kept,0.557392860375743,0.9157638172161661
ch4_wp_energy_1__rel,False,redundant,0.5565103018062326,0.9742641488680076
ch5_ptp__rel,False,redundant,0.5561017720838044,0.9405448918648696
ch2_band_power_q4__rel,True,kept,0.5536763053103833,0.8660466184583273
ch6_wp_energy_7__rel,True,kept,0.5532610450780077,0.8165296531644939
ch3_spec_entropy__rel,True,kept,0.5513326488405941,0.8892069312393602
ch6_iqr__rel,False,redundant,0.5494201822923952,0.9709471880468754
ch2_wp_energy_ratio_5__rel,False,redundant,0.5491782588533344,0.9487466209458822
ch6_band_power_q2__rel,False,redundant,0.5442619316459731,0.9535867744972317
ch4_wp_energy_7__rel,False,redundant,0.542808956869286,0.9975783691059792
ch5_wp_energy_4__rel,False,redundant,0.5418694017771534,0.9542931216017306
ch1_wp_energy_ratio_2__rel,False,redundant,0.5405874161193044,0.9488578855434535
ch2_shape_factor__rel,True,kept,0.5368531927519061,0.8807417811522347
ch4_min__rel,False,redundant,0.528892726596815,0.9314841890782621
ch5_min__rel,False,redundant,0.527907743837556,0.9385241230829079
ch6_q75__rel,False,redundant,0.5268448169924129,0.9717625795984217
ch1_spec_entropy__rel,False,redundant,0.5257915082261383,0.9395634643181616
ch1_wp_entropy__rel,False,redundant,0.5245073640555169,0.9448873416664061
ch2_max__rel,False,redundant,0.5241360042598311,0.9733991443306582
ch5_wp_energy_5__rel,False,redundant,0.5217241201639119,0.9487457504585685
ch3_q75__rel,False,redundant,0.5216399381767305,0.9552148965912957
ch4_wp_energy_2__rel,False,redundant,0.5201963866220093,0.9385066615502015
ch1_wp_energy_ratio_8__rel,True,kept,0.512349497881448,0.9189275599130895
ch2_kurtosis__rel,True,kept,0.5094411892001343,0.9131042433394473
ch1_wp_energy_max_ratio__rel,False,redundant,0.5039432482256858,0.9562641124586083
ch1_wp_energy_ratio_1__rel,False,redundant,0.5039432482256858,0.9562641124586083
ch5_wp_energy_8__rel,True,kept,0.49569142993367155,0.870103738041158
ch5_max__rel,False,redundant,0.4947381994231507,0.9272779467780564
ch1_spec_centroid__rel,True,kept,0.49041541613497297,0.8259404563867205
ch6_min__rel,False,redundant,0.4861343702705576,0.9694661469940238
ch2_min__rel,False,redundant,0.4848071264222157,0.9464931453884903
ch3_kurtosis__rel,False,redundant,0.4827155367166002,0.9917060341657279
ch1_kurtosis__rel,True,kept,0.48255746873852257,0.7898798696100932
ch4_max__rel,False,redundant,0.4762274453602219,0.941268163465483
ch3_skew__rel,True,kept,0.4748167708665013,0.8033027186910027
ch2_wp_energy_ratio_6__rel,False,redundant,0.47405878482243613,0.9368206994640573
