epoch,train_loss,val_loss,val_score_raw,val_acc_raw,val_f1_raw,val_middle_recall_raw,val_ratio_penalty_raw,q_MAE,q_RMSE,q_R2,train_loss_stage,train_loss_q,train_loss_mono_q
1,0.9599173470985057,0.8973984429210523,2.709213499025369,0.5016611295681063,0.48418780610561435,0.015151515151515152,0.8637873754152824,0.19221865759537465,0.2151101373700025,-0.0010058201084026663,0.9337071359157563,0.021657600440084933,0.0004205763339996338
2,0.4585747612869225,0.6817488223066758,1.6471837599117511,0.6478405315614618,0.6617927285480477,0.44696969696969696,0.48504983388704326,0.10250547067865581,0.11154352046808319,0.7308443244618588,0.445212385058403,0.009419744811020791,0.05186386108398437
3,0.15290977193222094,1.042132373423311,1.5596509449674771,0.6976744186046512,0.7128893987626822,0.4166666666666667,0.5116279069767442,0.054075563320289816,0.06744574929097327,0.9015934480175608,0.1395182304084301,0.0038042416796088218,0.15020751953125
4,0.07113359644823396,2.2486773152708808,2.5854259796573458,0.5481727574750831,0.5127180038107007,0.007575757575757576,0.8704318936877076,0.08472387165920282,0.1066001760109626,0.7541723718575042,0.061617446783930066,0.0032392152352258563,0.121435546875
5,0.040524262340856945,2.7154185577292624,2.589355343598191,0.5548172757475083,0.5119343481412447,0.0,0.8903654485049834,0.0768297730985274,0.0937318602768982,0.8099406147090382,0.03312717811204493,0.00465559686999768,0.076605224609375
6,0.05515867244588378,2.4760697955308957,2.6922171077337347,0.5149501661129569,0.4798514242958687,0.0,0.9700996677740865,0.06702431061141119,0.0869081985616075,0.8366059102717655,0.047564749512821435,0.003222800267394632,0.094549560546875
7,0.041760930970954735,2.823342891082019,2.6621423667982027,0.5282392026578073,0.49088459099556125,0.0,0.9435215946843853,0.08016143432289263,0.09842104102229729,0.7904485086120163,0.03692598789930344,0.003049517469480634,0.0910552978515625
8,0.029307345421891968,3.0850607417585745,2.6961688929456264,0.5149501661129569,0.4798514242958687,0.0,0.9700996677740865,0.0743111647739759,0.09481176898539104,0.8055359408868981,0.02332284189760685,0.0032157916110008957,0.085333251953125
9,0.019957307890131823,3.6310921184025533,2.7363827613544442,0.4983388704318937,0.46551759223459027,0.0,1.0033222591362128,0.06675552514898421,0.08435990354034342,0.846047411157797,0.014541363687021658,0.0031137668527662756,0.083148193359375
10,0.01567232263803581,3.664647198433793,2.7424023011456873,0.4983388704318937,0.46551759223459027,0.0,1.0033222591362128,0.07899662253270513,0.09639898312282943,0.7989705183708283,0.010156629464472645,0.0030690634390339254,0.09847412109375
11,0.018741244920513954,3.815610032528639,2.7421137985466206,0.4983388704318937,0.46551759223459027,0.0,1.0033222591362128,0.07742950137073415,0.09582197792469543,0.8013698778342303,0.013456886605126783,0.0030377690680325033,0.0831756591796875
12,0.017527593305934702,4.081215832073031,2.771526486401548,0.4883720930232558,0.45660036166365275,0.0,1.0232558139534884,0.08145336064191355,0.09935895707493288,0.7864355823027739,0.01543598361313343,0.0031149095157161355,0.0948486328125
13,0.027904579805773357,4.120925230954919,2.7705381571551144,0.4883720930232558,0.45660036166365275,0.0,1.0232558139534884,0.08028948668427642,0.09738229858206521,0.7948484087359012,0.032116145640611646,0.002713599265553057,0.087249755859375
14,0.039052288867904496,3.425822659794773,2.7548982985307844,0.4950166112956811,0.46257281289128427,0.0,1.0099667774086378,0.08525660114232884,0.10302782640596707,0.7703724868545299,0.03712146133184433,0.0024115925538353623,0.0911865234375
15,0.029099068341411627,4.211357447829259,2.8134351702579194,0.4750830564784053,0.44430555555555556,0.0,1.0498338870431894,0.08995042771001988,0.1084860658757495,0.7453974389359079,0.0245005838572979,0.0033658604836091397,0.0797454833984375
16,0.020430651963672962,3.8164577696633297,2.774721755455572,0.4883720930232558,0.45660036166365275,0.0,1.0232558139534884,0.08856836827688438,0.10574949518297985,0.7580801786669515,0.015332327526994049,0.0026190403499640525,0.081475830078125
17,0.016335758493526333,3.5758395947645916,2.7624347130899074,0.49169435215946844,0.4596006144393241,0.0,1.0166112956810631,0.08256623995462525,0.09967169817638553,0.7850890406825682,0.011322866007685662,0.0027956397039815783,0.08544921875
18,0.017099392464217357,3.7449562984187637,2.7714853419436007,0.4883720930232558,0.45660036166365275,0.0,1.0232558139534884,0.0812586970206511,0.09927666815903757,0.7867891831768485,0.012129345210269094,0.002641067234799266,0.089434814453125
19,0.012630748540856118,3.8687949760436418,2.7823282901649704,0.4850498338870432,0.45357140402603385,0.0,1.0299003322259137,0.08387124503767768,0.1023973852083683,0.7731741323145965,0.010786019638180733,0.0026645646314136682,0.09488525390625
