raw_numeric_sensor_feature
ch1_mean
ch1_std
ch1_var
ch1_min
ch1_max
ch1_ptp
ch1_median
ch1_q25
ch1_q75
ch1_iqr
ch1_rms
ch1_mean_abs
ch1_skew
ch1_kurtosis
ch1_crest_factor
ch1_shape_factor
ch1_impulse_factor
ch1_margin_factor
ch1_dom_freq_norm
ch1_dom_power
ch1_spec_centroid
ch1_rms_freq
ch1_spec_entropy
ch1_band_power_q1
ch1_band_power_q2
ch1_band_power_q3
ch1_band_power_q4
ch1_band_ratio_q4_q1
ch1_total_power
ch1_wp_energy_1
ch1_wp_energy_2
ch1_wp_energy_3
ch1_wp_energy_4
ch1_wp_energy_5
ch1_wp_energy_6
ch1_wp_energy_7
ch1_wp_energy_8
ch1_wp_energy_ratio_1
ch1_wp_energy_ratio_2
ch1_wp_energy_ratio_3
ch1_wp_energy_ratio_4
ch1_wp_energy_ratio_5
ch1_wp_energy_ratio_6
ch1_wp_energy_ratio_7
ch1_wp_energy_ratio_8
ch1_wp_entropy
ch1_wp_energy_max_ratio
ch2_mean
ch2_std
ch2_var
ch2_min
ch2_max
ch2_ptp
ch2_median
ch2_q25
ch2_q75
ch2_iqr
ch2_rms
ch2_mean_abs
ch2_skew
ch2_kurtosis
ch2_crest_factor
ch2_shape_factor
ch2_impulse_factor
ch2_margin_factor
ch2_dom_freq_norm
ch2_dom_power
ch2_spec_centroid
ch2_rms_freq
ch2_spec_entropy
ch2_band_power_q1
ch2_band_power_q2
ch2_band_power_q3
ch2_band_power_q4
ch2_band_ratio_q4_q1
ch2_total_power
ch2_wp_energy_1
ch2_wp_energy_2
ch2_wp_energy_3
ch2_wp_energy_4
ch2_wp_energy_5
ch2_wp_energy_6
ch2_wp_energy_7
ch2_wp_energy_8
ch2_wp_energy_ratio_1
ch2_wp_energy_ratio_2
ch2_wp_energy_ratio_3
ch2_wp_energy_ratio_4
ch2_wp_energy_ratio_5
ch2_wp_energy_ratio_6
ch2_wp_energy_ratio_7
ch2_wp_energy_ratio_8
ch2_wp_entropy
ch2_wp_energy_max_ratio
ch3_mean
ch3_std
ch3_var
ch3_min
ch3_max
ch3_ptp
ch3_median
ch3_q25
ch3_q75
ch3_iqr
ch3_rms
ch3_mean_abs
ch3_skew
ch3_kurtosis
ch3_crest_factor
ch3_shape_factor
ch3_impulse_factor
ch3_margin_factor
ch3_dom_freq_norm
ch3_dom_power
ch3_spec_centroid
ch3_rms_freq
ch3_spec_entropy
ch3_band_power_q1
ch3_band_power_q2
ch3_band_power_q3
ch3_band_power_q4
ch3_band_ratio_q4_q1
ch3_total_power
ch3_wp_energy_1
ch3_wp_energy_2
ch3_wp_energy_3
ch3_wp_energy_4
ch3_wp_energy_5
ch3_wp_energy_6
ch3_wp_energy_7
ch3_wp_energy_8
ch3_wp_energy_ratio_1
ch3_wp_energy_ratio_2
ch3_wp_energy_ratio_3
ch3_wp_energy_ratio_4
ch3_wp_energy_ratio_5
ch3_wp_energy_ratio_6
ch3_wp_energy_ratio_7
ch3_wp_energy_ratio_8
ch3_wp_entropy
ch3_wp_energy_max_ratio
ch4_mean
ch4_std
ch4_var
ch4_min
ch4_max
ch4_ptp
ch4_median
ch4_q25
ch4_q75
ch4_iqr
ch4_rms
ch4_mean_abs
ch4_skew
ch4_kurtosis
ch4_crest_factor
ch4_shape_factor
ch4_impulse_factor
ch4_margin_factor
ch4_dom_freq_norm
ch4_dom_power
ch4_spec_centroid
ch4_rms_freq
ch4_spec_entropy
ch4_band_power_q1
ch4_band_power_q2
ch4_band_power_q3
ch4_band_power_q4
ch4_band_ratio_q4_q1
ch4_total_power
ch4_wp_energy_1
ch4_wp_energy_2
ch4_wp_energy_3
ch4_wp_energy_4
ch4_wp_energy_5
ch4_wp_energy_6
ch4_wp_energy_7
ch4_wp_energy_8
ch4_wp_energy_ratio_1
ch4_wp_energy_ratio_2
ch4_wp_energy_ratio_3
ch4_wp_energy_ratio_4
ch4_wp_energy_ratio_5
ch4_wp_energy_ratio_6
ch4_wp_energy_ratio_7
ch4_wp_energy_ratio_8
ch4_wp_entropy
ch4_wp_energy_max_ratio
ch5_mean
ch5_std
ch5_var
ch5_min
ch5_max
ch5_ptp
ch5_median
ch5_q25
ch5_q75
ch5_iqr
ch5_rms
ch5_mean_abs
ch5_skew
ch5_kurtosis
ch5_crest_factor
ch5_shape_factor
ch5_impulse_factor
ch5_margin_factor
ch5_dom_freq_norm
ch5_dom_power
ch5_spec_centroid
ch5_rms_freq
ch5_spec_entropy
ch5_band_power_q1
ch5_band_power_q2
ch5_band_power_q3
ch5_band_power_q4
ch5_band_ratio_q4_q1
ch5_total_power
ch5_wp_energy_1
ch5_wp_energy_2
ch5_wp_energy_3
ch5_wp_energy_4
ch5_wp_energy_5
ch5_wp_energy_6
ch5_wp_energy_7
ch5_wp_energy_8
ch5_wp_energy_ratio_1
ch5_wp_energy_ratio_2
ch5_wp_energy_ratio_3
ch5_wp_energy_ratio_4
ch5_wp_energy_ratio_5
ch5_wp_energy_ratio_6
ch5_wp_energy_ratio_7
ch5_wp_energy_ratio_8
ch5_wp_entropy
ch5_wp_energy_max_ratio
ch6_mean
ch6_std
ch6_var
ch6_min
ch6_max
ch6_ptp
ch6_median
ch6_q25
ch6_q75
ch6_iqr
ch6_rms
ch6_mean_abs
ch6_skew
ch6_kurtosis
ch6_crest_factor
ch6_shape_factor
ch6_impulse_factor
ch6_margin_factor
ch6_dom_freq_norm
ch6_dom_power
ch6_spec_centroid
ch6_rms_freq
ch6_spec_entropy
ch6_band_power_q1
ch6_band_power_q2
ch6_band_power_q3
ch6_band_power_q4
ch6_band_ratio_q4_q1
ch6_total_power
ch6_wp_energy_1
ch6_wp_energy_2
ch6_wp_energy_3
ch6_wp_energy_4
ch6_wp_energy_5
ch6_wp_energy_6
ch6_wp_energy_7
ch6_wp_energy_8
ch6_wp_energy_ratio_1
