method,output,n_stage_transitions,q_pred_boundary_jump,prob_boundary_jump,q-Smooth,probability Smooth
A1,raw,2,0.02658447320023212,0.0669144985,0.008188600580679892,0.023676556472277226
A4,mix,2,0.02658447320023212,0.043881905103342306,0.008188600580679892,0.020589316536001417
A5,ordered,2,0.025740703735227882,0.07908604042068917,0.008188600580679892,0.013598929513192944
A6,final,2,0.027060780907518865,0.06465139048875013,0.008188600580679892,0.018804332947198826
