method,output,"corr(p_early,q_true)","corr(p_early,q_pred)","corr(p_middle,q_true)","corr(p_middle,q_pred)","corr(p_late,q_true)","corr(p_late,q_pred)"
A1,raw,-0.6261489765038386,-0.7273673532296312,-0.33021189088627256,-0.2685017125717373,0.912719966277661,0.9476305103434561
A4,mix,-0.6557374300449268,-0.7558634787390971,-0.3490038236227722,-0.28613421586164817,0.9179089286659283,0.9504601546107623
A5,ordered,-0.5922784337295814,-0.6993025147528911,-0.3032599525577493,-0.22170189249004887,0.9072739327424324,0.9257090518854536
A6,final,-0.6376498017736361,-0.7401268727094351,-0.3356003468466856,-0.26649396245160606,0.9166135624775043,0.9451252381247639
