top_rank,arch_name,window_length,dropout,learning_rate,channels,eta,temperature,mid_floor,late_tau,order_blend,proxy_mean_score,proxy_worst_score,C1_to_C4_score,C1_to_C4_acc,C1_to_C4_f1,C1_to_C4_middle_recall,C1_to_C4_ratio_penalty,C1_to_C4_q_RMSE,C1_to_C4_q_R2,C4_to_C1_score,C4_to_C1_acc,C4_to_C1_f1,C4_to_C1_middle_recall,C4_to_C1_ratio_penalty,C4_to_C1_q_RMSE,C4_to_C1_q_R2
769,L12_drop0p1_lr0p001_ch16-32-32,12,0.1,0.001,"(16, 32, 32)",0.65,1.0,0.03,0.56,0.25,1.2670660975708645,1.4065125173381616,1.4065125173381616,0.6052631578947368,0.4767857142857143,1.0,0.7894736842105263,0.21520548580414336,0.006530245070965113,1.1276196778035676,0.6743421052631579,0.6036248331108144,1.0,0.6513157894736843,0.19670211296782647,0.15273444467259234
770,L12_drop0p1_lr0p001_ch16-32-32,12,0.1,0.001,"(16, 32, 32)",0.65,1.0,0.06,0.56,0.25,1.2670660975708645,1.4065125173381616,1.4065125173381616,0.6052631578947368,0.4767857142857143,1.0,0.7894736842105263,0.21520548580414336,0.006530245070965113,1.1276196778035676,0.6743421052631579,0.6036248331108144,1.0,0.6513157894736843,0.19670211296782647,0.15273444467259234
771,L10_drop0p2_lr0p001_ch32-64-64,10,0.2,0.001,"(32, 64, 64)",0.65,1.0,0.03,0.56,0.25,1.2687001947370544,1.5370659092341077,1.5370659092341077,0.6993464052287581,0.7142786981874535,0.4318181818181818,0.49019607843137253,0.08031988603729583,0.8625732670495798,1.0003344802400012,0.7679738562091504,0.7710843450581443,0.7117117117117117,0.25490196078431376,0.1168958365969376,0.7047932739808885
772,L10_drop0p2_lr0p001_ch32-64-64,10,0.2,0.001,"(32, 64, 64)",0.65,1.0,0.03,0.6,0.25,1.2687001947370544,1.5370659092341077,1.5370659092341077,0.6993464052287581,0.7142786981874535,0.4318181818181818,0.49019607843137253,0.08031988603729583,0.8625732670495798,1.0003344802400012,0.7679738562091504,0.7710843450581443,0.7117117117117117,0.25490196078431376,0.1168958365969376,0.7047932739808885
773,L10_drop0p2_lr0p001_ch32-64-64,10,0.2,0.001,"(32, 64, 64)",0.65,1.0,0.06,0.56,0.25,1.2687001947370544,1.5370659092341077,1.5370659092341077,0.6993464052287581,0.7142786981874535,0.4318181818181818,0.49019607843137253,0.08031988603729583,0.8625732670495798,1.0003344802400012,0.7679738562091504,0.7710843450581443,0.7117117117117117,0.25490196078431376,0.1168958365969376,0.7047932739808885
774,L10_drop0p2_lr0p001_ch32-64-64,10,0.2,0.001,"(32, 64, 64)",0.65,1.0,0.06,0.6,0.25,1.2687001947370544,1.5370659092341077,1.5370659092341077,0.6993464052287581,0.7142786981874535,0.4318181818181818,0.49019607843137253,0.08031988603729583,0.8625732670495798,1.0003344802400012,0.7679738562091504,0.7710843450581443,0.7117117117117117,0.25490196078431376,0.1168958365969376,0.7047932739808885
775,L10_drop0p2_lr0p001_ch32-64-64,10,0.2,0.001,"(32, 64, 64)",0.65,1.0,0.1,0.56,0.25,1.2687001947370544,1.5370659092341077,1.5370659092341077,0.6993464052287581,0.7142786981874535,0.4318181818181818,0.49019607843137253,0.08031988603729583,0.8625732670495798,1.0003344802400012,0.7679738562091504,0.7710843450581443,0.7117117117117117,0.25490196078431376,0.1168958365969376,0.7047932739808885
776,L10_drop0p2_lr0p001_ch32-64-64,10,0.2,0.001,"(32, 64, 64)",0.65,1.0,0.1,0.6,0.25,1.2687001947370544,1.5370659092341077,1.5370659092341077,0.6993464052287581,0.7142786981874535,0.4318181818181818,0.49019607843137253,0.08031988603729583,0.8625732670495798,1.0003344802400012,0.7679738562091504,0.7710843450581443,0.7117117117117117,0.25490196078431376,0.1168958365969376,0.7047932739808885
777,L10_drop0p2_lr0p001_ch16-32-32,10,0.2,0.001,"(16, 32, 32)",0.65,1.0,0.03,0.6,0.25,1.2690602997864975,1.6599429617977166,1.6599429617977166,0.5326797385620915,0.38988568400333107,1.0,0.934640522875817,0.22713340813337504,-0.09897317045291087,0.8781776377752781,0.7222222222222222,0.7107419358898004,1.0,0.5555555555555555,0.11769147724163269,0.7007610036126022
778,L10_drop0p2_lr0p001_ch16-32-32,10,0.2,0.001,"(16, 32, 32)",0.65,1.0,0.06,0.6,0.25,1.2690602997864975,1.6599429617977166,1.6599429617977166,0.5326797385620915,0.38988568400333107,1.0,0.934640522875817,0.22713340813337504,-0.09897317045291087,0.8781776377752781,0.7222222222222222,0.7107419358898004,1.0,0.5555555555555555,0.11769147724163269,0.7007610036126022
779,L10_drop0p1_lr0p001_ch16-32-32,10,0.1,0.001,"(16, 32, 32)",0.55,1.0,0.03,0.56,0.0,1.26927452731849,1.5042155687907637,1.5042155687907637,0.5751633986928104,0.44557247602932887,1.0,0.849673202614379,0.22019985214198945,-0.032901958663708486,1.0343334858462163,0.738562091503268,0.7220801198827008,0.9369369369369369,0.47712418300653603,0.25062946311356493,-0.3570392496198984
780,L10_drop0p1_lr0p001_ch16-32-32,10,0.1,0.001,"(16, 32, 32)",0.55,1.0,0.06,0.56,0.0,1.26927452731849,1.5042155687907637,1.5042155687907637,0.5751633986928104,0.44557247602932887,1.0,0.849673202614379,0.22019985214198945,-0.032901958663708486,1.0343334858462163,0.738562091503268,0.7220801198827008,0.9369369369369369,0.47712418300653603,0.25062946311356493,-0.3570392496198984
781,L10_drop0p1_lr0p001_ch16-32-32,10,0.1,0.001,"(16, 32, 32)",0.55,1.0,0.1,0.56,0.0,1.26927452731849,1.5042155687907637,1.5042155687907637,0.5751633986928104,0.44557247602932887,1.0,0.849673202614379,0.22019985214198945,-0.032901958663708486,1.0343334858462163,0.738562091503268,0.7220801198827008,0.9369369369369369,0.47712418300653603,0.25062946311356493,-0.3570392496198984
782,L15_drop0p2_lr0p001_ch16-32-32,15,0.2,0.001,"(16, 32, 32)",0.55,1.0,0.03,0.56,0.25,1.2693469917023115,1.646286624822773,1.646286624822773,0.5415282392026578,0.39257494042393076,1.0,0.9169435215946844,0.227620265735116,-0.12082213554225008,0.8924073585818498,0.7641196013289037,0.7484574240144575,1.0,0.47176079734219273,0.2451496838068659,-0.334923738774511
783,L15_drop0p2_lr0p001_ch16-32-32,15,0.2,0.001,"(16, 32, 32)",0.55,1.0,0.06,0.56,0.25,1.2693469917023115,1.646286624822773,1.646286624822773,0.5415282392026578,0.39257494042393076,1.0,0.9169435215946844,0.227620265735116,-0.12082213554225008,0.8924073585818498,0.7641196013289037,0.7484574240144575,1.0,0.47176079734219273,0.2451496838068659,-0.334923738774511
784,L15_drop0p2_lr0p001_ch16-32-32,15,0.2,0.001,"(16, 32, 32)",0.55,1.0,0.1,0.56,0.25,1.2693469917023115,1.646286624822773,1.646286624822773,0.5415282392026578,0.39257494042393076,1.0,0.9169435215946844,0.227620265735116,-0.12082213554225008,0.8924073585818498,0.7641196013289037,0.7484574240144575,1.0,0.47176079734219273,0.2451496838068659,-0.334923738774511
785,L10_drop0p1_lr0p001_ch16-32-32,10,0.1,0.001,"(16, 32, 32)",0.55,1.0,0.03,0.56,0.25,1.2704215079980035,1.5353106785845276,1.5353106785845276,0.565359477124183,0.43354877342341464,1.0,0.869281045751634,0.22019985214198945,-0.032901958663708486,1.005532337411479,0.7450980392156863,0.729719126726169,0.9459459459459459,0.47058823529411775,0.25062946311356493,-0.3570392496198984
786,L10_drop0p1_lr0p001_ch16-32-32,10,0.1,0.001,"(16, 32, 32)",0.55,1.0,0.06,0.56,0.25,1.2704215079980035,1.5353106785845276,1.5353106785845276,0.565359477124183,0.43354877342341464,1.0,0.869281045751634,0.22019985214198945,-0.032901958663708486,1.005532337411479,0.7450980392156863,0.729719126726169,0.9459459459459459,0.47058823529411775,0.25062946311356493,-0.3570392496198984
787,L10_drop0p1_lr0p001_ch16-32-32,10,0.1,0.001,"(16, 32, 32)",0.55,1.0,0.1,0.56,0.25,1.2704215079980035,1.5353106785845276,1.5353106785845276,0.565359477124183,0.43354877342341464,1.0,0.869281045751634,0.22019985214198945,-0.032901958663708486,1.005532337411479,0.7450980392156863,0.729719126726169,0.9459459459459459,0.47058823529411775,0.25062946311356493,-0.3570392496198984
788,L12_drop0p2_lr0p0005_ch16-32-32,12,0.2,0.0005,"(16, 32, 32)",0.65,1.2,0.03,0.56,0.0,1.2705539270690749,1.7402064471939398,1.7402064471939398,0.6513157894736842,0.6663523495206664,0.36363636363636365,0.5526315789473685,0.06817527964896171,0.9002984682295079,0.8009014069442099,0.7763157894736842,0.7652298850574711,1.0,0.4473684210526316,0.2268951856690817,-0.12733259141948783
789,L12_drop0p2_lr0p0005_ch16-32-32,12,0.2,0.0005,"(16, 32, 32)",0.65,1.2,0.06,0.56,0.0,1.2705539270690749,1.7402064471939398,1.7402064471939398,0.6513157894736842,0.6663523495206664,0.36363636363636365,0.5526315789473685,0.06817527964896171,0.9002984682295079,0.8009014069442099,0.7763157894736842,0.7652298850574711,1.0,0.4473684210526316,0.2268951856690817,-0.12733259141948783
790,L12_drop0p2_lr0p0005_ch16-32-32,12,0.2,0.0005,"(16, 32, 32)",0.65,1.2,0.1,0.56,0.0,1.2705539270690749,1.7402064471939398,1.7402064471939398,0.6513157894736842,0.6663523495206664,0.36363636363636365,0.5526315789473685,0.06817527964896171,0.9002984682295079,0.8009014069442099,0.7763157894736842,0.7652298850574711,1.0,0.4473684210526316,0.2268951856690817,-0.12733259141948783
791,L10_drop0p2_lr0p001_ch32-64-64,10,0.2,0.001,"(32, 64, 64)",0.65,1.0,0.03,0.56,0.0,1.2705821724332647,1.4856960106762007,1.4856960106762007,0.7124183006535948,0.727229549481253,0.44696969696969696,0.4771241830065359,0.08031988603729583,0.8625732670495798,1.0554683341903288,0.7549019607843137,0.7578633671371637,0.6936936936936937,0.2679738562091504,0.1168958365969376,0.7047932739808885
792,L10_drop0p2_lr0p001_ch32-64-64,10,0.2,0.001,"(32, 64, 64)",0.65,1.0,0.06,0.56,0.0,1.2705821724332647,1.4856960106762007,1.4856960106762007,0.7124183006535948,0.727229549481253,0.44696969696969696,0.4771241830065359,0.08031988603729583,0.8625732670495798,1.0554683341903288,0.7549019607843137,0.7578633671371637,0.6936936936936937,0.2679738562091504,0.1168958365969376,0.7047932739808885
793,L10_drop0p2_lr0p001_ch32-64-64,10,0.2,0.001,"(32, 64, 64)",0.65,1.0,0.1,0.56,0.0,1.2705821724332647,1.4856960106762007,1.4856960106762007,0.7124183006535948,0.727229549481253,0.44696969696969696,0.4771241830065359,0.08031988603729583,0.8625732670495798,1.0554683341903288,0.7549019607843137,0.7578633671371637,0.6936936936936937,0.2679738562091504,0.1168958365969376,0.7047932739808885
794,L10_drop0p2_lr0p001_ch32-64-64,10,0.2,0.001,"(32, 64, 64)",0.65,1.2,0.03,0.56,0.0,1.2705821724332647,1.4856960106762007,1.4856960106762007,0.7124183006535948,0.727229549481253,0.44696969696969696,0.4771241830065359,0.08031988603729583,0.8625732670495798,1.0554683341903288,0.7549019607843137,0.7578633671371637,0.6936936936936937,0.2679738562091504,0.1168958365969376,0.7047932739808885
795,L10_drop0p2_lr0p001_ch32-64-64,10,0.2,0.001,"(32, 64, 64)",0.65,1.2,0.06,0.56,0.0,1.2705821724332647,1.4856960106762007,1.4856960106762007,0.7124183006535948,0.727229549481253,0.44696969696969696,0.4771241830065359,0.08031988603729583,0.8625732670495798,1.0554683341903288,0.7549019607843137,0.7578633671371637,0.6936936936936937,0.2679738562091504,0.1168958365969376,0.7047932739808885
796,L10_drop0p2_lr0p001_ch32-64-64,10,0.2,0.001,"(32, 64, 64)",0.65,1.2,0.1,0.56,0.0,1.2705821724332647,1.4856960106762007,1.4856960106762007,0.7124183006535948,0.727229549481253,0.44696969696969696,0.4771241830065359,0.08031988603729583,0.8625732670495798,1.0554683341903288,0.7549019607843137,0.7578633671371637,0.6936936936936937,0.2679738562091504,0.1168958365969376,0.7047932739808885
797,L10_drop0p1_lr0p0005_ch16-32-32,10,0.1,0.0005,"(16, 32, 32)",0.55,1.2,0.03,0.64,0.25,1.2710844571277011,1.7682347368187936,1.7682347368187936,0.6274509803921569,0.6407442839115515,0.3787878787878788,0.5359477124183007,0.06308522620772343,0.9152225431925535,0.7739341774366084,0.7516339869281046,0.7411870713982834,1.0,0.49673202614379086,0.0822728817846526,0.8537682825438394
798,L10_drop0p1_lr0p0005_ch16-32-32,10,0.1,0.0005,"(16, 32, 32)",0.55,1.2,0.06,0.64,0.25,1.2710844571277011,1.7682347368187936,1.7682347368187936,0.6274509803921569,0.6407442839115515,0.3787878787878788,0.5359477124183007,0.06308522620772343,0.9152225431925535,0.7739341774366084,0.7516339869281046,0.7411870713982834,1.0,0.49673202614379086,0.0822728817846526,0.8537682825438394
799,L10_drop0p1_lr0p0005_ch16-32-32,10,0.1,0.0005,"(16, 32, 32)",0.55,1.2,0.1,0.64,0.25,1.2710844571277011,1.7682347368187936,1.7682347368187936,0.6274509803921569,0.6407442839115515,0.3787878787878788,0.5359477124183007,0.06308522620772343,0.9152225431925535,0.7739341774366084,0.7516339869281046,0.7411870713982834,1.0,0.49673202614379086,0.0822728817846526,0.8537682825438394
800,L12_drop0p1_lr0p001_ch32-64-64,12,0.1,0.001,"(32, 64, 64)",0.45,1.2,0.03,0.64,0.25,1.271230669144407,2.0377539451627236,2.0377539451627236,0.5756578947368421,0.5879595566493668,0.2803030303030303,0.625,0.07315388848488456,0.8852050438636386,0.5047073931260907,0.8388157894736842,0.8438637642190375,1.0,0.3223684210526316,0.08666150458839776,0.8355423991278444
801,L12_drop0p1_lr0p001_ch32-64-64,12,0.1,0.001,"(32, 64, 64)",0.45,1.2,0.06,0.64,0.25,1.271230669144407,2.0377539451627236,2.0377539451627236,0.5756578947368421,0.5879595566493668,0.2803030303030303,0.625,0.07315388848488456,0.8852050438636386,0.5047073931260907,0.8388157894736842,0.8438637642190375,1.0,0.3223684210526316,0.08666150458839776,0.8355423991278444
