top_rank,arch_name,window_length,dropout,learning_rate,channels,eta,temperature,mid_floor,late_tau,order_blend,proxy_mean_score,proxy_worst_score,C1_to_C4_score,C1_to_C4_acc,C1_to_C4_f1,C1_to_C4_middle_recall,C1_to_C4_ratio_penalty,C1_to_C4_q_RMSE,C1_to_C4_q_R2,C4_to_C1_score,C4_to_C1_acc,C4_to_C1_f1,C4_to_C1_middle_recall,C4_to_C1_ratio_penalty,C4_to_C1_q_RMSE,C4_to_C1_q_R2
1,L10_drop0p1_lr0p001_ch32-64-64,10,0.1,0.001,"(32, 64, 64)",0.45,1.0,0.03,0.56,0.0,0.9865968238103778,1.5183173504270964,1.5183173504270964,0.696078431372549,0.71102579809418,0.44696969696969696,0.477124183006536,0.07399382364802026,0.8833684639774493,0.45487629719365935,0.8562091503267973,0.8604818649135536,1.0,0.28758169934640515,0.08602018129095844,0.8401440269573174
2,L10_drop0p1_lr0p001_ch32-64-64,10,0.1,0.001,"(32, 64, 64)",0.45,1.0,0.06,0.56,0.0,0.9865968238103778,1.5183173504270964,1.5183173504270964,0.696078431372549,0.71102579809418,0.44696969696969696,0.477124183006536,0.07399382364802026,0.8833684639774493,0.45487629719365935,0.8562091503267973,0.8604818649135536,1.0,0.28758169934640515,0.08602018129095844,0.8401440269573174
3,L10_drop0p1_lr0p001_ch32-64-64,10,0.1,0.001,"(32, 64, 64)",0.45,1.0,0.1,0.56,0.0,0.9865968238103778,1.5183173504270964,1.5183173504270964,0.696078431372549,0.71102579809418,0.44696969696969696,0.477124183006536,0.07399382364802026,0.8833684639774493,0.45487629719365935,0.8562091503267973,0.8604818649135536,1.0,0.28758169934640515,0.08602018129095844,0.8401440269573174
4,L10_drop0p1_lr0p001_ch32-64-64,10,0.1,0.001,"(32, 64, 64)",0.55,1.2,0.03,0.56,0.0,0.9875927483536502,1.5111097463034882,1.5111097463034882,0.6993464052287581,0.7143088233170126,0.44696969696969696,0.47712418300653603,0.07399382364802026,0.8833684639774493,0.4640757504038121,0.8529411764705882,0.8574452835347226,1.0,0.2941176470588235,0.08602018129095844,0.8401440269573174
5,L10_drop0p1_lr0p001_ch32-64-64,10,0.1,0.001,"(32, 64, 64)",0.55,1.2,0.06,0.56,0.0,0.9875927483536502,1.5111097463034882,1.5111097463034882,0.6993464052287581,0.7143088233170126,0.44696969696969696,0.47712418300653603,0.07399382364802026,0.8833684639774493,0.4640757504038121,0.8529411764705882,0.8574452835347226,1.0,0.2941176470588235,0.08602018129095844,0.8401440269573174
6,L10_drop0p1_lr0p001_ch32-64-64,10,0.1,0.001,"(32, 64, 64)",0.55,1.2,0.1,0.56,0.0,0.9875927483536502,1.5111097463034882,1.5111097463034882,0.6993464052287581,0.7143088233170126,0.44696969696969696,0.47712418300653603,0.07399382364802026,0.8833684639774493,0.4640757504038121,0.8529411764705882,0.8574452835347226,1.0,0.2941176470588235,0.08602018129095844,0.8401440269573174
7,L10_drop0p1_lr0p001_ch32-64-64,10,0.1,0.001,"(32, 64, 64)",0.55,1.0,0.03,0.56,0.0,0.9886111831211791,1.5039283335760838,1.5039283335760838,0.7026143790849673,0.7175700223763419,0.44696969696969696,0.47712418300653603,0.07399382364802026,0.8833684639774493,0.47329403266627446,0.8496732026143791,0.8543930112789669,1.0,0.30065359477124176,0.08602018129095844,0.8401440269573174
8,L10_drop0p1_lr0p001_ch32-64-64,10,0.1,0.001,"(32, 64, 64)",0.55,1.0,0.06,0.56,0.0,0.9886111831211791,1.5039283335760838,1.5039283335760838,0.7026143790849673,0.7175700223763419,0.44696969696969696,0.47712418300653603,0.07399382364802026,0.8833684639774493,0.47329403266627446,0.8496732026143791,0.8543930112789669,1.0,0.30065359477124176,0.08602018129095844,0.8401440269573174
9,L10_drop0p1_lr0p001_ch32-64-64,10,0.1,0.001,"(32, 64, 64)",0.55,1.0,0.1,0.56,0.0,0.9886111831211791,1.5039283335760838,1.5039283335760838,0.7026143790849673,0.7175700223763419,0.44696969696969696,0.47712418300653603,0.07399382364802026,0.8833684639774493,0.47329403266627446,0.8496732026143791,0.8543930112789669,1.0,0.30065359477124176,0.08602018129095844,0.8401440269573174
10,L10_drop0p1_lr0p001_ch32-64-64,10,0.1,0.001,"(32, 64, 64)",0.55,1.2,0.03,0.6,0.0,0.9911965504154543,1.5183173504270964,1.5183173504270964,0.696078431372549,0.71102579809418,0.44696969696969696,0.477124183006536,0.07399382364802026,0.8833684639774493,0.4640757504038121,0.8529411764705882,0.8574452835347226,1.0,0.2941176470588235,0.08602018129095844,0.8401440269573174
11,L10_drop0p1_lr0p001_ch32-64-64,10,0.1,0.001,"(32, 64, 64)",0.55,1.2,0.06,0.6,0.0,0.9911965504154543,1.5183173504270964,1.5183173504270964,0.696078431372549,0.71102579809418,0.44696969696969696,0.477124183006536,0.07399382364802026,0.8833684639774493,0.4640757504038121,0.8529411764705882,0.8574452835347226,1.0,0.2941176470588235,0.08602018129095844,0.8401440269573174
12,L10_drop0p1_lr0p001_ch32-64-64,10,0.1,0.001,"(32, 64, 64)",0.55,1.2,0.1,0.6,0.0,0.9911965504154543,1.5183173504270964,1.5183173504270964,0.696078431372549,0.71102579809418,0.44696969696969696,0.477124183006536,0.07399382364802026,0.8833684639774493,0.4640757504038121,0.8529411764705882,0.8574452835347226,1.0,0.2941176470588235,0.08602018129095844,0.8401440269573174
13,L10_drop0p1_lr0p001_ch32-64-64,10,0.1,0.001,"(32, 64, 64)",0.55,1.0,0.03,0.6,0.0,0.9922018894848813,1.5111097463034882,1.5111097463034882,0.6993464052287581,0.7143088233170126,0.44696969696969696,0.47712418300653603,0.07399382364802026,0.8833684639774493,0.47329403266627446,0.8496732026143791,0.8543930112789669,1.0,0.30065359477124176,0.08602018129095844,0.8401440269573174
14,L10_drop0p1_lr0p001_ch32-64-64,10,0.1,0.001,"(32, 64, 64)",0.55,1.0,0.06,0.6,0.0,0.9922018894848813,1.5111097463034882,1.5111097463034882,0.6993464052287581,0.7143088233170126,0.44696969696969696,0.47712418300653603,0.07399382364802026,0.8833684639774493,0.47329403266627446,0.8496732026143791,0.8543930112789669,1.0,0.30065359477124176,0.08602018129095844,0.8401440269573174
15,L10_drop0p1_lr0p001_ch32-64-64,10,0.1,0.001,"(32, 64, 64)",0.55,1.0,0.1,0.6,0.0,0.9922018894848813,1.5111097463034882,1.5111097463034882,0.6993464052287581,0.7143088233170126,0.44696969696969696,0.47712418300653603,0.07399382364802026,0.8833684639774493,0.47329403266627446,0.8496732026143791,0.8543930112789669,1.0,0.30065359477124176,0.08602018129095844,0.8401440269573174
16,L10_drop0p1_lr0p001_ch32-64-64,10,0.1,0.001,"(32, 64, 64)",0.65,1.2,0.03,0.56,0.0,0.9932300407474446,1.5039283335760838,1.5039283335760838,0.7026143790849673,0.7175700223763419,0.44696969696969696,0.47712418300653603,0.07399382364802026,0.8833684639774493,0.48253174791880543,0.8464052287581699,0.8513245448648208,1.0,0.30718954248366015,0.08602018129095844,0.8401440269573174
17,L10_drop0p1_lr0p001_ch32-64-64,10,0.1,0.001,"(32, 64, 64)",0.65,1.2,0.03,0.6,0.0,0.9932300407474446,1.5039283335760838,1.5039283335760838,0.7026143790849673,0.7175700223763419,0.44696969696969696,0.47712418300653603,0.07399382364802026,0.8833684639774493,0.48253174791880543,0.8464052287581699,0.8513245448648208,1.0,0.30718954248366015,0.08602018129095844,0.8401440269573174
18,L10_drop0p1_lr0p001_ch32-64-64,10,0.1,0.001,"(32, 64, 64)",0.65,1.2,0.03,0.64,0.0,0.9932300407474446,1.5039283335760838,1.5039283335760838,0.7026143790849673,0.7175700223763419,0.44696969696969696,0.47712418300653603,0.07399382364802026,0.8833684639774493,0.48253174791880543,0.8464052287581699,0.8513245448648208,1.0,0.30718954248366015,0.08602018129095844,0.8401440269573174
19,L10_drop0p1_lr0p001_ch32-64-64,10,0.1,0.001,"(32, 64, 64)",0.65,1.2,0.06,0.56,0.0,0.9932300407474446,1.5039283335760838,1.5039283335760838,0.7026143790849673,0.7175700223763419,0.44696969696969696,0.47712418300653603,0.07399382364802026,0.8833684639774493,0.48253174791880543,0.8464052287581699,0.8513245448648208,1.0,0.30718954248366015,0.08602018129095844,0.8401440269573174
20,L10_drop0p1_lr0p001_ch32-64-64,10,0.1,0.001,"(32, 64, 64)",0.65,1.2,0.06,0.6,0.0,0.9932300407474446,1.5039283335760838,1.5039283335760838,0.7026143790849673,0.7175700223763419,0.44696969696969696,0.47712418300653603,0.07399382364802026,0.8833684639774493,0.48253174791880543,0.8464052287581699,0.8513245448648208,1.0,0.30718954248366015,0.08602018129095844,0.8401440269573174
21,L10_drop0p1_lr0p001_ch32-64-64,10,0.1,0.001,"(32, 64, 64)",0.65,1.2,0.06,0.64,0.0,0.9932300407474446,1.5039283335760838,1.5039283335760838,0.7026143790849673,0.7175700223763419,0.44696969696969696,0.47712418300653603,0.07399382364802026,0.8833684639774493,0.48253174791880543,0.8464052287581699,0.8513245448648208,1.0,0.30718954248366015,0.08602018129095844,0.8401440269573174
22,L10_drop0p1_lr0p001_ch32-64-64,10,0.1,0.001,"(32, 64, 64)",0.65,1.2,0.1,0.56,0.0,0.9932300407474446,1.5039283335760838,1.5039283335760838,0.7026143790849673,0.7175700223763419,0.44696969696969696,0.47712418300653603,0.07399382364802026,0.8833684639774493,0.48253174791880543,0.8464052287581699,0.8513245448648208,1.0,0.30718954248366015,0.08602018129095844,0.8401440269573174
23,L10_drop0p1_lr0p001_ch32-64-64,10,0.1,0.001,"(32, 64, 64)",0.65,1.2,0.1,0.6,0.0,0.9932300407474446,1.5039283335760838,1.5039283335760838,0.7026143790849673,0.7175700223763419,0.44696969696969696,0.47712418300653603,0.07399382364802026,0.8833684639774493,0.48253174791880543,0.8464052287581699,0.8513245448648208,1.0,0.30718954248366015,0.08602018129095844,0.8401440269573174
24,L10_drop0p1_lr0p001_ch32-64-64,10,0.1,0.001,"(32, 64, 64)",0.65,1.2,0.1,0.64,0.0,0.9932300407474446,1.5039283335760838,1.5039283335760838,0.7026143790849673,0.7175700223763419,0.44696969696969696,0.47712418300653603,0.07399382364802026,0.8833684639774493,0.48253174791880543,0.8464052287581699,0.8513245448648208,1.0,0.30718954248366015,0.08602018129095844,0.8401440269573174
25,L10_drop0p1_lr0p001_ch32-64-64,10,0.1,0.001,"(32, 64, 64)",0.45,1.0,0.03,0.6,0.0,0.9938454197634897,1.5328145423333202,1.5328145423333202,0.6895424836601307,0.7043914279326754,0.44696969696969696,0.477124183006536,0.07399382364802026,0.8833684639774493,0.45487629719365935,0.8562091503267973,0.8604818649135536,1.0,0.28758169934640515,0.08602018129095844,0.8401440269573174
26,L10_drop0p1_lr0p001_ch32-64-64,10,0.1,0.001,"(32, 64, 64)",0.45,1.0,0.03,0.64,0.0,0.9938454197634897,1.5328145423333202,1.5328145423333202,0.6895424836601307,0.7043914279326754,0.44696969696969696,0.477124183006536,0.07399382364802026,0.8833684639774493,0.45487629719365935,0.8562091503267973,0.8604818649135536,1.0,0.28758169934640515,0.08602018129095844,0.8401440269573174
27,L10_drop0p1_lr0p001_ch32-64-64,10,0.1,0.001,"(32, 64, 64)",0.45,1.0,0.06,0.6,0.0,0.9938454197634897,1.5328145423333202,1.5328145423333202,0.6895424836601307,0.7043914279326754,0.44696969696969696,0.477124183006536,0.07399382364802026,0.8833684639774493,0.45487629719365935,0.8562091503267973,0.8604818649135536,1.0,0.28758169934640515,0.08602018129095844,0.8401440269573174
28,L10_drop0p1_lr0p001_ch32-64-64,10,0.1,0.001,"(32, 64, 64)",0.45,1.0,0.06,0.64,0.0,0.9938454197634897,1.5328145423333202,1.5328145423333202,0.6895424836601307,0.7043914279326754,0.44696969696969696,0.477124183006536,0.07399382364802026,0.8833684639774493,0.45487629719365935,0.8562091503267973,0.8604818649135536,1.0,0.28758169934640515,0.08602018129095844,0.8401440269573174
29,L10_drop0p1_lr0p001_ch32-64-64,10,0.1,0.001,"(32, 64, 64)",0.45,1.0,0.1,0.6,0.0,0.9938454197634897,1.5328145423333202,1.5328145423333202,0.6895424836601307,0.7043914279326754,0.44696969696969696,0.477124183006536,0.07399382364802026,0.8833684639774493,0.45487629719365935,0.8562091503267973,0.8604818649135536,1.0,0.28758169934640515,0.08602018129095844,0.8401440269573174
30,L10_drop0p1_lr0p001_ch32-64-64,10,0.1,0.001,"(32, 64, 64)",0.45,1.0,0.1,0.64,0.0,0.9938454197634897,1.5328145423333202,1.5328145423333202,0.6895424836601307,0.7043914279326754,0.44696969696969696,0.477124183006536,0.07399382364802026,0.8833684639774493,0.45487629719365935,0.8562091503267973,0.8604818649135536,1.0,0.28758169934640515,0.08602018129095844,0.8401440269573174
31,L10_drop0p1_lr0p001_ch32-64-64,10,0.1,0.001,"(32, 64, 64)",0.65,1.0,0.03,0.56,0.0,0.9942808945873309,1.49677227871528,1.49677227871528,0.7058823529411765,0.7208100898801707,0.44696969696969696,0.477124183006536,0.07399382364802026,0.8833684639774493,0.49178951045938196,0.8431372549019608,0.8482393723773033,1.0,0.3137254901960784,0.08602018129095844,0.8401440269573174
32,L10_drop0p1_lr0p001_ch32-64-64,10,0.1,0.001,"(32, 64, 64)",0.65,1.0,0.03,0.6,0.0,0.9942808945873309,1.49677227871528,1.49677227871528,0.7058823529411765,0.7208100898801707,0.44696969696969696,0.477124183006536,0.07399382364802026,0.8833684639774493,0.49178951045938196,0.8431372549019608,0.8482393723773033,1.0,0.3137254901960784,0.08602018129095844,0.8401440269573174
33,L10_drop0p1_lr0p001_ch32-64-64,10,0.1,0.001,"(32, 64, 64)",0.65,1.0,0.06,0.56,0.0,0.9942808945873309,1.49677227871528,1.49677227871528,0.7058823529411765,0.7208100898801707,0.44696969696969696,0.477124183006536,0.07399382364802026,0.8833684639774493,0.49178951045938196,0.8431372549019608,0.8482393723773033,1.0,0.3137254901960784,0.08602018129095844,0.8401440269573174
34,L10_drop0p1_lr0p001_ch32-64-64,10,0.1,0.001,"(32, 64, 64)",0.65,1.0,0.06,0.6,0.0,0.9942808945873309,1.49677227871528,1.49677227871528,0.7058823529411765,0.7208100898801707,0.44696969696969696,0.477124183006536,0.07399382364802026,0.8833684639774493,0.49178951045938196,0.8431372549019608,0.8482393723773033,1.0,0.3137254901960784,0.08602018129095844,0.8401440269573174
35,L10_drop0p1_lr0p001_ch32-64-64,10,0.1,0.001,"(32, 64, 64)",0.65,1.0,0.1,0.56,0.0,0.9942808945873309,1.49677227871528,1.49677227871528,0.7058823529411765,0.7208100898801707,0.44696969696969696,0.477124183006536,0.07399382364802026,0.8833684639774493,0.49178951045938196,0.8431372549019608,0.8482393723773033,1.0,0.3137254901960784,0.08602018129095844,0.8401440269573174
36,L10_drop0p1_lr0p001_ch32-64-64,10,0.1,0.001,"(32, 64, 64)",0.65,1.0,0.1,0.6,0.0,0.9942808945873309,1.49677227871528,1.49677227871528,0.7058823529411765,0.7208100898801707,0.44696969696969696,0.477124183006536,0.07399382364802026,0.8833684639774493,0.49178951045938196,0.8431372549019608,0.8482393723773033,1.0,0.3137254901960784,0.08602018129095844,0.8401440269573174
37,L10_drop0p1_lr0p001_ch32-64-64,10,0.1,0.001,"(32, 64, 64)",0.45,1.2,0.03,0.56,0.0,0.9948856820484883,1.5440762850117733,1.5440762850117733,0.6895424836601307,0.704488718025844,0.4393939393939394,0.48366013071895425,0.07399382364802026,0.8833684639774493,0.4456950790852032,0.8594771241830066,0.863503250374304,1.0,0.2810457516339869,0.08602018129095844,0.8401440269573174
38,L10_drop0p1_lr0p001_ch32-64-64,10,0.1,0.001,"(32, 64, 64)",0.45,1.2,0.06,0.56,0.0,0.9948856820484883,1.5440762850117733,1.5440762850117733,0.6895424836601307,0.704488718025844,0.4393939393939394,0.48366013071895425,0.07399382364802026,0.8833684639774493,0.4456950790852032,0.8594771241830066,0.863503250374304,1.0,0.2810457516339869,0.08602018129095844,0.8401440269573174
39,L10_drop0p1_lr0p001_ch32-64-64,10,0.1,0.001,"(32, 64, 64)",0.45,1.2,0.1,0.56,0.0,0.9948856820484883,1.5440762850117733,1.5440762850117733,0.6895424836601307,0.704488718025844,0.4393939393939394,0.48366013071895425,0.07399382364802026,0.8833684639774493,0.4456950790852032,0.8594771241830066,0.863503250374304,1.0,0.2810457516339869,0.08602018129095844,0.8401440269573174
40,L10_drop0p1_lr0p001_ch32-64-64,10,0.1,0.001,"(32, 64, 64)",0.55,1.0,0.03,0.64,0.0,0.9958056915466854,1.5183173504270964,1.5183173504270964,0.696078431372549,0.71102579809418,0.44696969696969696,0.477124183006536,0.07399382364802026,0.8833684639774493,0.47329403266627446,0.8496732026143791,0.8543930112789669,1.0,0.30065359477124176,0.08602018129095844,0.8401440269573174
41,L10_drop0p1_lr0p001_ch32-64-64,10,0.1,0.001,"(32, 64, 64)",0.55,1.0,0.06,0.64,0.0,0.9958056915466854,1.5183173504270964,1.5183173504270964,0.696078431372549,0.71102579809418,0.44696969696969696,0.477124183006536,0.07399382364802026,0.8833684639774493,0.47329403266627446,0.8496732026143791,0.8543930112789669,1.0,0.30065359477124176,0.08602018129095844,0.8401440269573174
42,L10_drop0p1_lr0p001_ch32-64-64,10,0.1,0.001,"(32, 64, 64)",0.55,1.0,0.1,0.64,0.0,0.9958056915466854,1.5183173504270964,1.5183173504270964,0.696078431372549,0.71102579809418,0.44696969696969696,0.477124183006536,0.07399382364802026,0.8833684639774493,0.47329403266627446,0.8496732026143791,0.8543930112789669,1.0,0.30065359477124176,0.08602018129095844,0.8401440269573174
43,L10_drop0p1_lr0p001_ch32-64-64,10,0.1,0.001,"(32, 64, 64)",0.45,1.2,0.03,0.6,0.0,0.998512967725393,1.5513308563655828,1.5513308563655828,0.6862745098039216,0.7011665534445103,0.4393939393939394,0.48366013071895425,0.07399382364802026,0.8833684639774493,0.4456950790852032,0.8594771241830066,0.863503250374304,1.0,0.2810457516339869,0.08602018129095844,0.8401440269573174
44,L10_drop0p1_lr0p001_ch32-64-64,10,0.1,0.001,"(32, 64, 64)",0.45,1.2,0.03,0.64,0.0,0.998512967725393,1.5513308563655828,1.5513308563655828,0.6862745098039216,0.7011665534445103,0.4393939393939394,0.48366013071895425,0.07399382364802026,0.8833684639774493,0.4456950790852032,0.8594771241830066,0.863503250374304,1.0,0.2810457516339869,0.08602018129095844,0.8401440269573174
45,L10_drop0p1_lr0p001_ch32-64-64,10,0.1,0.001,"(32, 64, 64)",0.45,1.2,0.06,0.6,0.0,0.998512967725393,1.5513308563655828,1.5513308563655828,0.6862745098039216,0.7011665534445103,0.4393939393939394,0.48366013071895425,0.07399382364802026,0.8833684639774493,0.4456950790852032,0.8594771241830066,0.863503250374304,1.0,0.2810457516339869,0.08602018129095844,0.8401440269573174
46,L10_drop0p1_lr0p001_ch32-64-64,10,0.1,0.001,"(32, 64, 64)",0.45,1.2,0.06,0.64,0.0,0.998512967725393,1.5513308563655828,1.5513308563655828,0.6862745098039216,0.7011665534445103,0.4393939393939394,0.48366013071895425,0.07399382364802026,0.8833684639774493,0.4456950790852032,0.8594771241830066,0.863503250374304,1.0,0.2810457516339869,0.08602018129095844,0.8401440269573174
47,L10_drop0p1_lr0p001_ch32-64-64,10,0.1,0.001,"(32, 64, 64)",0.45,1.2,0.1,0.6,0.0,0.998512967725393,1.5513308563655828,1.5513308563655828,0.6862745098039216,0.7011665534445103,0.4393939393939394,0.48366013071895425,0.07399382364802026,0.8833684639774493,0.4456950790852032,0.8594771241830066,0.863503250374304,1.0,0.2810457516339869,0.08602018129095844,0.8401440269573174
48,L10_drop0p1_lr0p001_ch32-64-64,10,0.1,0.001,"(32, 64, 64)",0.45,1.2,0.1,0.64,0.0,0.998512967725393,1.5513308563655828,1.5513308563655828,0.6862745098039216,0.7011665534445103,0.4393939393939394,0.48366013071895425,0.07399382364802026,0.8833684639774493,0.4456950790852032,0.8594771241830066,0.863503250374304,1.0,0.2810457516339869,0.08602018129095844,0.8401440269573174
49,L10_drop0p1_lr0p001_ch32-64-64,10,0.1,0.001,"(32, 64, 64)",0.55,1.2,0.03,0.64,0.0,0.9994230135425591,1.5255519944188438,1.5255519944188438,0.6928104575163399,0.7077202396478981,0.44696969696969696,0.477124183006536,0.07399382364802026,0.8833684639774493,0.47329403266627446,0.8496732026143791,0.8543930112789669,1.0,0.30065359477124176,0.08602018129095844,0.8401440269573174
50,L10_drop0p1_lr0p001_ch32-64-64,10,0.1,0.001,"(32, 64, 64)",0.55,1.2,0.06,0.64,0.0,0.9994230135425591,1.5255519944188438,1.5255519944188438,0.6928104575163399,0.7077202396478981,0.44696969696969696,0.477124183006536,0.07399382364802026,0.8833684639774493,0.47329403266627446,0.8496732026143791,0.8543930112789669,1.0,0.30065359477124176,0.08602018129095844,0.8401440269573174
51,L10_drop0p1_lr0p001_ch32-64-64,10,0.1,0.001,"(32, 64, 64)",0.55,1.2,0.1,0.64,0.0,0.9994230135425591,1.5255519944188438,1.5255519944188438,0.6928104575163399,0.7077202396478981,0.44696969696969696,0.477124183006536,0.07399382364802026,0.8833684639774493,0.47329403266627446,0.8496732026143791,0.8543930112789669,1.0,0.30065359477124176,0.08602018129095844,0.8401440269573174
52,L10_drop0p1_lr0p001_ch32-64-64,10,0.1,0.001,"(32, 64, 64)",0.65,1.0,0.03,0.64,0.0,1.0024981394535342,1.5039283335760838,1.5039283335760838,0.7026143790849673,0.7175700223763419,0.44696969696969696,0.47712418300653603,0.07399382364802026,0.8833684639774493,0.5010679453309844,0.8398692810457516,0.8451369729472641,1.0,0.3202614379084967,0.08602018129095844,0.8401440269573174
53,L10_drop0p1_lr0p001_ch32-64-64,10,0.1,0.001,"(32, 64, 64)",0.65,1.0,0.06,0.64,0.0,1.0024981394535342,1.5039283335760838,1.5039283335760838,0.7026143790849673,0.7175700223763419,0.44696969696969696,0.47712418300653603,0.07399382364802026,0.8833684639774493,0.5010679453309844,0.8398692810457516,0.8451369729472641,1.0,0.3202614379084967,0.08602018129095844,0.8401440269573174
54,L10_drop0p1_lr0p001_ch32-64-64,10,0.1,0.001,"(32, 64, 64)",0.65,1.0,0.1,0.64,0.0,1.0024981394535342,1.5039283335760838,1.5039283335760838,0.7026143790849673,0.7175700223763419,0.44696969696969696,0.47712418300653603,0.07399382364802026,0.8833684639774493,0.5010679453309844,0.8398692810457516,0.8451369729472641,1.0,0.3202614379084967,0.08602018129095844,0.8401440269573174
55,L10_drop0p1_lr0p001_ch32-64-64,10,0.1,0.001,"(32, 64, 64)",0.65,1.0,0.03,0.56,0.25,1.0152231774582356,1.5296500761165117,1.5296500761165117,0.696078431372549,0.7110639356782134,0.4393939393939394,0.4836601307189543,0.07399382364802026,0.8833684639774493,0.5007962787999597,0.8398692810457516,0.8453633617231181,1.0,0.32026143790849676,0.08602018129095844,0.8401440269573174
56,L10_drop0p1_lr0p001_ch32-64-64,10,0.1,0.001,"(32, 64, 64)",0.65,1.0,0.06,0.56,0.25,1.0152231774582356,1.5296500761165117,1.5296500761165117,0.696078431372549,0.7110639356782134,0.4393939393939394,0.4836601307189543,0.07399382364802026,0.8833684639774493,0.5007962787999597,0.8398692810457516,0.8453633617231181,1.0,0.32026143790849676,0.08602018129095844,0.8401440269573174
57,L10_drop0p1_lr0p001_ch32-64-64,10,0.1,0.001,"(32, 64, 64)",0.65,1.0,0.1,0.56,0.25,1.0152231774582356,1.5296500761165117,1.5296500761165117,0.696078431372549,0.7110639356782134,0.4393939393939394,0.4836601307189543,0.07399382364802026,0.8833684639774493,0.5007962787999597,0.8398692810457516,0.8453633617231181,1.0,0.32026143790849676,0.08602018129095844,0.8401440269573174
58,L10_drop0p1_lr0p001_ch32-64-64,10,0.1,0.001,"(32, 64, 64)",0.65,1.0,0.03,0.6,0.25,1.0188229625841196,1.5368496463682795,1.5368496463682795,0.6928104575163399,0.7077876053485811,0.4393939393939394,0.4836601307189543,0.07399382364802026,0.8833684639774493,0.5007962787999597,0.8398692810457516,0.8453633617231181,1.0,0.32026143790849676,0.08602018129095844,0.8401440269573174
59,L10_drop0p1_lr0p001_ch32-64-64,10,0.1,0.001,"(32, 64, 64)",0.65,1.0,0.03,0.64,0.25,1.0188229625841196,1.5368496463682795,1.5368496463682795,0.6928104575163399,0.7077876053485811,0.4393939393939394,0.4836601307189543,0.07399382364802026,0.8833684639774493,0.5007962787999597,0.8398692810457516,0.8453633617231181,1.0,0.32026143790849676,0.08602018129095844,0.8401440269573174
60,L10_drop0p1_lr0p001_ch32-64-64,10,0.1,0.001,"(32, 64, 64)",0.65,1.0,0.06,0.6,0.25,1.0188229625841196,1.5368496463682795,1.5368496463682795,0.6928104575163399,0.7077876053485811,0.4393939393939394,0.4836601307189543,0.07399382364802026,0.8833684639774493,0.5007962787999597,0.8398692810457516,0.8453633617231181,1.0,0.32026143790849676,0.08602018129095844,0.8401440269573174
61,L10_drop0p1_lr0p001_ch32-64-64,10,0.1,0.001,"(32, 64, 64)",0.65,1.0,0.06,0.64,0.25,1.0188229625841196,1.5368496463682795,1.5368496463682795,0.6928104575163399,0.7077876053485811,0.4393939393939394,0.4836601307189543,0.07399382364802026,0.8833684639774493,0.5007962787999597,0.8398692810457516,0.8453633617231181,1.0,0.32026143790849676,0.08602018129095844,0.8401440269573174
62,L10_drop0p1_lr0p001_ch32-64-64,10,0.1,0.001,"(32, 64, 64)",0.65,1.0,0.1,0.6,0.25,1.0188229625841196,1.5368496463682795,1.5368496463682795,0.6928104575163399,0.7077876053485811,0.4393939393939394,0.4836601307189543,0.07399382364802026,0.8833684639774493,0.5007962787999597,0.8398692810457516,0.8453633617231181,1.0,0.32026143790849676,0.08602018129095844,0.8401440269573174
63,L10_drop0p1_lr0p001_ch32-64-64,10,0.1,0.001,"(32, 64, 64)",0.65,1.0,0.1,0.64,0.25,1.0188229625841196,1.5368496463682795,1.5368496463682795,0.6928104575163399,0.7077876053485811,0.4393939393939394,0.4836601307189543,0.07399382364802026,0.8833684639774493,0.5007962787999597,0.8398692810457516,0.8453633617231181,1.0,0.32026143790849676,0.08602018129095844,0.8401440269573174
64,L10_drop0p1_lr0p001_ch32-64-64,10,0.1,0.001,"(32, 64, 64)",0.45,1.0,0.03,0.56,0.25,1.0260500719734886,1.5884138187627386,1.5884138187627386,0.6797385620915033,0.6946748591909883,0.42424242424242425,0.49673202614379086,0.07399382364802026,0.8833684639774493,0.4636863251842385,0.8529411764705882,0.8577698045510339,1.0,0.2941176470588235,0.08602018129095844,0.8401440269573174
65,L10_drop0p1_lr0p001_ch32-64-64,10,0.1,0.001,"(32, 64, 64)",0.45,1.0,0.06,0.56,0.25,1.0260500719734886,1.5884138187627386,1.5884138187627386,0.6797385620915033,0.6946748591909883,0.42424242424242425,0.49673202614379086,0.07399382364802026,0.8833684639774493,0.4636863251842385,0.8529411764705882,0.8577698045510339,1.0,0.2941176470588235,0.08602018129095844,0.8401440269573174
66,L10_drop0p1_lr0p001_ch32-64-64,10,0.1,0.001,"(32, 64, 64)",0.45,1.0,0.1,0.56,0.25,1.0260500719734886,1.5884138187627386,1.5884138187627386,0.6797385620915033,0.6946748591909883,0.42424242424242425,0.49673202614379086,0.07399382364802026,0.8833684639774493,0.4636863251842385,0.8529411764705882,0.8577698045510339,1.0,0.2941176470588235,0.08602018129095844,0.8401440269573174
67,L10_drop0p1_lr0p001_ch32-64-64,10,0.1,0.001,"(32, 64, 64)",0.55,1.0,0.03,0.56,0.25,1.027052502102846,1.562617392412033,1.562617392412033,0.6862745098039216,0.7012431823976816,0.4318181818181818,0.4901960784313726,0.07399382364802026,0.8833684639774493,0.491487611793659,0.8431372549019608,0.848490954598739,1.0,0.3137254901960784,0.08602018129095844,0.8401440269573174
