selected_rank,feature,mi_stage,mi_q,spearman_abs_q,domain_instability_C1_C4,feature_score
1,ch1_rms__rel,1.0420629159701502,2.4323378620868166,0.8696247934982632,0.12346443841854327,0.8465986176407109
2,ch5_wp_energy_1__rel,0.8291915772905689,2.1306380651041974,0.7427951008657239,0.12794515549542937,0.7046682727265072
3,ch1_iqr__rel,0.7850476829156061,2.591521378145839,0.961263439010155,0.9926994138633907,0.6962632537702401
4,ch1_min__rel,0.9398677207739696,2.2183400882628423,0.7048349128205814,0.8415734028067765,0.6819395653375465
5,ch1_q25__rel,0.81600130469288,2.3929577158398536,0.6249543612091226,0.7568585456013739,0.6544654751046548
6,ch4_q25__rel,0.8318682791694041,1.6132954444755394,0.890379050288729,0.39353306454769804,0.6314044139981518
7,ch3_q25__rel,0.8455152149066552,2.4197598508836395,0.6450961669042768,1.2727582613530897,0.6208455902126852
8,ch2_wp_energy_2__rel,0.7612558566358616,1.7138581463954918,0.8466894398939675,0.6808644574672132,0.5825945499964079
9,ch2_spec_entropy__rel,0.7471010366852571,2.093693795366851,0.8865977327652251,1.205588505017349,0.5819740136414198
10,ch2_skew__rel,0.6577498513997753,1.745051253157449,0.6918871550618064,0.1315704950312543,0.5787852212967088
11,ch1_median__rel,0.6820990335387285,2.2766767350342767,0.546363612417943,0.7359870542360819,0.5776606707100249
12,ch5_q75__rel,0.69982058744514,1.6907255288440104,0.8840216822204493,0.7218160475737627,0.557392860375743
13,ch2_band_power_q4__rel,0.7019689590371905,1.7657704003798047,0.7432328367436578,0.6573973935760175,0.5536763053103833
14,ch6_wp_energy_7__rel,0.615773198982585,1.720900779299738,0.7590748723259811,0.2938481648862832,0.5532610450780077
15,ch3_spec_entropy__rel,0.7659519426095684,2.075553843110524,0.8425851050384937,1.49384410637364,0.5513326488405941
16,ch2_shape_factor__rel,0.708020308343517,1.4584703199838391,0.7267513213396586,0.4091080009961824,0.5368531927519061
17,ch1_wp_energy_ratio_8__rel,0.6822242780604828,1.7821663263536998,0.541365245036029,0.7142169855398071,0.512349497881448
18,ch2_kurtosis__rel,0.4985994616507452,1.9702098224742253,0.5809045620101784,0.35172153086963454,0.5094411892001343
19,ch5_wp_energy_8__rel,0.6146444195200391,1.7771378968523348,0.773623620268948,0.9629860638658995,0.49569142993367155
20,ch1_spec_centroid__rel,0.765934918007459,1.8985786224928676,0.658821788282345,1.5882908038561157,0.49041541613497297
21,ch1_kurtosis__rel,0.5716232967822532,1.5275482886555012,0.7050497593913103,0.48924134282019244,0.48255746873852257
22,ch3_skew__rel,0.7203634802760308,2.044415681506878,0.6693519533459252,1.7821061363769577,0.4748167708665013
23,ch2_wp_energy_ratio_3__rel,0.6300738100710344,1.7603745392766226,0.8569959730199094,1.3831477492732516,0.4698397585977977
24,ch3_spec_centroid__rel,0.683085721284248,1.8998584079885452,0.735164686993525,1.7113911961561963,0.4579276600846768
25,ch1_band_ratio_q4_q1__rel,0.7988190201753547,1.4806847409372752,0.7419305971067977,1.6218102577953273,0.4557134920063748
26,ch2_q25__rel,0.5496216878252012,1.6114584473872529,0.5263121845815117,0.5242896565822612,0.4551291497719914
27,ch5_band_power_q4__rel,0.4923213209558266,1.8158828751289557,0.394975437857982,0.39037928505081404,0.45443340609708216
28,ch5_band_power_q3__rel,0.5215673571953339,1.110172015990941,0.8499535829837355,0.25705510845488516,0.4519284064283054
29,ch4_dom_power__rel,0.5593724852712953,1.3388988450556645,0.7135235090283383,0.5300317586557028,0.4495687647781807
30,ch3_wp_energy_ratio_6__rel,0.49931868203891083,1.2474308365470024,0.648207263242289,0.126956064522941,0.4446737204938239
31,ch3_band_ratio_q4_q1__rel,0.4880210523721211,1.9617422451986286,0.5707299328474539,0.9600446620586022,0.4418785217337954
32,ch4_band_ratio_q4_q1__rel,0.4653016312923337,1.4812041227422124,0.5780047148188237,0.32550133836047307,0.4328036692770663
33,ch5_wp_energy_ratio_7__rel,0.5864452808877532,1.602377309879544,0.45490483714619606,0.8493221665985242,0.42482321917535104
34,ch1_total_power__slope,0.5943028089831972,1.4657504344463503,0.6193878175726524,0.9432868793431031,0.4246630860793628
35,ch1_wp_energy_1__slope,0.6643566393895288,1.1331506319614442,0.5109487639086551,0.6155039309677341,0.4231464313270543
