Metric,Mean,Std,Min,Max,N
Acc,0.5510478468899521,0.05414593982036274,0.43107655502392345,0.6037799043062201,10
Macro-F1,0.3084090126319027,0.04186807212774117,0.23760683760683757,0.35321223316912975,10
E-F1,0.0,0.0,0.0,0.0,10
M-F1,0.2922774649185939,0.2087748600814053,0.0,0.6213517665130569,10
L-F1,0.6329495729771141,0.12466175624468388,0.3814998726763432,0.7483630952380952,10
M-Precision,0.43209769214703425,0.2399030051910541,0.0,0.8333333333333333,10
M-Recall,0.3252272727272727,0.3123436349948625,0.0,0.8712121212121212,10
M_to_E,0.07484848484847642,0.11781801035027922,0.0,0.2916666666666264,10
M_to_L,0.5999242424241775,0.27626642334838736,0.12878787878786072,0.931818181818076,10
Rev,1.35,0.47434164902525694,0.75,2.25,10
Jump,0.55,0.8881941729649485,0.0,2.5,10
Smooth,0.11304326147565577,0.07956263954479716,0.018775230783614327,0.25482673796435096,10
q-MAE,,,,,0
q-RMSE,,,,,0
q-R2,,,,,0
Spearman,,,,,0
