Metric,Mean,Std,Min,Max,N
Acc,0.4909090909090909,0.10670798097975158,0.2727272727272727,0.5909090909090909,10
Macro-F1,0.26691407230121034,0.060734189277376484,0.1739130434782608,0.3392857142857142,10
E-F1,0.0,0.0,0.0,0.0,10
M-F1,0.22936404992856607,0.24875910535436316,0.0,0.6666666666666666,10
L-F1,0.5713781669750648,0.24739747351974017,0.0,0.8,10
M-Precision,0.4095238095238095,0.4015276949301485,0.0,1.0,10
M-Recall,0.26,0.37771241264574124,0.0,1.0,10
M_to_E,0.159999999999984,0.2170509412813077,0.0,0.49999999999995,10
M_to_L,0.579999999999942,0.33928028399995197,0.0,0.9999999999999,10
Rev,1.8,1.3165611772087666,0.0,4.0,10
Jump,1.4,2.2705848487901865,0.0,7.0,10
Smooth,0.0613538693991445,0.07894033729182631,0.011642670347577,0.2207084872892924,10
q-MAE,,,,,0
q-RMSE,,,,,0
q-R2,,,,,0
Spearman,,,,,0
