raw_component,fine_state,mean_q_train,macro_stage
2,0,0.11868058189768538,early
1,1,0.30998930082603016,middle
4,2,0.4839671881556404,middle
0,3,0.6946372588817296,middle
3,4,0.9436577999320782,late
