feature,MI_stage,MI_q,Spearman_q,distribution_instability,final_score,instability_group,selected,rank,max_abs_corr_with_selected
force_sensor_x__spectral_rolloff95__rank,0.4407704917444566,1.3937942795306615,0.5995003887205532,0.6775570240132656,2.037100675339082,domain_id,True,1,0.0
force_sensor_y__dominant_freq__rel,0.5321140744940698,1.8540687250172456,0.12788915522003377,0.3267599318738249,1.9733350194484964,domain_id,True,2,0.15846823958628828
torque_spindle__spectral_rolloff95__rel,0.524308233342951,2.0270554585749228,0.06865822143480084,0.5122873330368585,1.9688746076007884,domain_id,True,3,0.06763459863980183
force_sensor_y__spectral_rolloff95__rel,0.4539907260220697,2.142580993586167,0.11145267333592511,0.07674873177599559,1.9599622553839897,domain_id,True,4,0.015631959936139535
torque_spindle__dominant_freq__rank,0.30852507036251064,1.9155648164425125,0.3822895142870672,0.12740651309016623,1.8483867305360682,domain_id,True,5,0.06226594197570236
torque_axis_z__dominant_freq__rel,0.4649679325186846,1.700821707279165,0.12517607868377795,0.22528440943266306,1.7790892234303368,domain_id,True,6,0.20514541414938425
position_control_deviation_axis_y__dominant_freq__rel,0.4970304205684699,1.6610265667886726,0.07595463165773668,0.1278340011778215,1.7774833933189957,domain_id,True,7,0.29578463825696893
force_sensor_y__rms__rel,0.41844451019920736,1.2338637076324601,0.40663600959470003,0.8052113614867484,1.7198618712558,domain_id,True,8,0.32384203046763954
force_sensor_y__energy__rel,0.4156993039278791,1.1915656952243858,0.43219432660679336,0.8550038868557741,1.7174874413678625,domain_id,False,9,
torque_spindle__dominant_freq__rel,0.42860554373971316,1.8740812173849069,0.04564351952639913,0.2824666055902471,1.7086037591609413,domain_id,True,10,0.44119793044994793
force_sensor_y__abs_mean__rel,0.4058895409008527,1.2165723422182246,0.3708347520839366,0.9159787609936411,1.6456506741190076,domain_id,False,11,
force_sensor_x__spectral_rolloff95__rel,0.46289899490292585,1.3902136721665759,0.11670363429923881,0.5230758183664874,1.6036257736183968,domain_id,True,12,0.21450500532679936
force_sensor_y__spectral_rms__rel,0.39918777720103327,1.1154295554451576,0.37920471302364583,0.8974319213723229,1.5953493792615743,domain_id,False,13,
force_sensor_y__variance__rel,0.38883117062529604,1.170900517039958,0.37139229009384345,0.9452982749043447,1.5910488275010457,domain_id,False,14,
force_sensor_y__std__rel,0.3781854200624466,1.1759831079054455,0.37225548208586073,0.9114802532578306,1.5763370018168952,domain_id,False,15,
force_sensor_y__total_power__rel,0.3885332573453171,1.1085222160163437,0.3723914089335899,0.9230844259151081,1.5637271472063272,domain_id,False,16,
force_sensor_y__zero_crossing_rate__rel,0.2941552547943904,0.9552814039507997,0.5670825346115816,0.13906342822358486,1.5572747545298256,domain_id,True,17,0.3373894536463775
position_control_deviation_axis_y__dominant_freq__rank,0.4718837218251992,1.406355269603683,0.09068383805076961,1.5912677014932743,1.536978001315269,domain_id,True,18,0.6059061473837551
force_sensor_z__dominant_freq__rel,0.34994470949675693,1.6446804871062488,0.14657427640123064,0.5808657129454577,1.5364692656400427,domain_id,True,19,0.18944601716474577
force_sensor_x__variance__rel,0.3792734612843256,1.4290771951863017,0.3269003711789505,3.020407795290571,1.5227310510378378,domain_id,True,20,0.43880263475366615
force_sensor_x__std__rel,0.38800702835745593,1.3617585684240114,0.3223777644943786,3.029831853627322,1.502628126094693,domain_id,False,21,
force_sensor_x__abs_mean__rel,0.23615970357734506,0.9672940034278592,0.673733683928221,1.1299809204001634,1.5002005860469225,domain_id,True,22,0.5978078504809612
force_sensor_y__dominant_amp__rel,0.38975354128881423,1.1897859337008958,0.2761414799059028,1.174000030813398,1.492419152205015,domain_id,True,23,0.9142935037507803
force_sensor_x__energy__rel,0.27333075740551194,0.8867356549249723,0.6481137903678572,1.3912152015969437,1.4909297300394522,domain_id,False,24,
force_sensor_z__spectral_rolloff95__rel,0.22856480912222765,1.4524111734590255,0.3810818019150386,0.2804203955308272,1.4714261196813632,domain_id,True,25,0.26168610313640717
force_sensor_y__kurtosis__rel,0.3808378371421335,1.096235518715992,0.2690224625564821,0.46579082420054163,1.4680082087241908,domain_id,True,26,0.72817051965182
torque_axis_z__dominant_freq__rank,0.42206141474660286,1.4349920175570938,0.08557281894139838,1.383966093268544,1.464225103056004,domain_id,True,27,0.7482710514687412
force_sensor_z__mean__rel,0.28885535371226134,0.7383431378559475,0.5574603536352556,0.016965848802922238,1.443876614037199,domain_id,True,28,0.41827721157177566
torque_axis_x__spectral_rolloff95__rel,0.40238400376002326,1.2774303355713879,0.12805510981356885,0.6101833266304537,1.4433083048970756,domain_id,True,29,0.13497979356188203
force_sensor_y__rms__rank,0.3389436256046632,0.9155231488394708,0.40402988620682784,0.815604933351894,1.4186390487458485,domain_id,False,30,
force_sensor_x__rms__rel,0.24362889313229252,0.8473117126095464,0.6439501999005753,1.3646069462983024,1.414167613174498,domain_id,False,31,
position_control_deviation_axis_x__dominant_freq__rel,0.3131769395612216,1.4148897798910522,0.2067074786399455,0.7898247915612205,1.4075310608019924,domain_id,True,32,0.4053691385081353
force_sensor_y__energy__rank,0.33050339362234515,0.913604737755211,0.40398962723477677,0.8153773583113014,1.4018555773190329,domain_id,False,33,
force_sensor_y__spectral_rms__rank,0.36161318145849974,0.9264407780276667,0.3448156684491623,0.9944057336704238,1.3962352672061193,domain_id,False,34,
force_sensor_y__total_power__rank,0.35929585797211416,0.9255564959570566,0.3447859847615906,0.994043913537178,1.3914599606971643,domain_id,False,35,
force_sensor_y__zero_crossing_rate__rank,0.2374553535569348,0.7180864372120039,0.6052405782582465,0.04466805086305075,1.3839197617484238,domain_id,True,36,0.8858236749340324
force_sensor_y__dominant_amp__rank,0.39820224590463305,1.0148963883304538,0.24122566796164616,1.4457467508003798,1.3752075286728462,domain_id,False,37,
force_sensor_y__abs_mean__rank,0.33100321382516196,0.9364914169295173,0.3630911027639917,1.0018499542171293,1.3612230963096437,domain_id,False,38,
force_sensor_y__std__rank,0.3402883853789589,0.9385045913088907,0.3397492791558932,1.005561955048166,1.356044424309059,domain_id,False,39,
force_sensor_y__variance__rank,0.33848842073954755,0.9397357321362239,0.3397492791558932,1.005561955048166,1.3532363638959897,domain_id,False,40,
force_sensor_y__mean__rel,0.2611652727388698,0.5850483052420894,0.5667054250487845,0.03222396845961984,1.328607880051072,domain_id,True,41,0.5752302333335794
force_sensor_y__peak__rel,0.3156738528688203,0.6094085285147752,0.46694049013849054,0.4288763564264328,1.3184964690658025,domain_id,True,42,0.8159529693486129
force_sensor_y__spectral_rolloff95__rank,0.23949693817014728,1.538896528707348,0.16824970353208737,0.34183821591775604,1.315763777924357,domain_id,True,43,0.5410195755957613
torque_spindle__spectral_rolloff95__rank,0.3806776218662178,1.0955956484532474,0.10093452933299124,0.5029683798395773,1.2970566425915715,domain_id,True,44,0.6726210507384444
torque_axis_y__dominant_freq__rel,0.327568535807488,1.3812830707566106,0.06386331846971142,0.5191502279190172,1.2925303240525372,domain_id,True,45,0.29497051968358134
torque_spindle__mean__rank,0.2850981135110746,0.5533101367036952,0.5148407782226005,0.3028191919718159,1.2904294064835513,domain_id,True,46,0.6654112400443539
force_sensor_y__kurtosis__rank,0.2778892505664454,0.686810853674483,0.46143365299910805,0.467401830325586,1.2757609333270288,domain_id,True,47,0.9170961613804184
force_sensor_y__peak__rank,0.31164564230585956,0.5042868406122389,0.47011569535890124,0.3075690643537733,1.2724252693858766,domain_id,False,48,
force_sensor_x__shape_factor__rank,0.25780111202072153,0.8246446047994977,0.4213113285710742,0.5873919260934974,1.2549110552727367,domain_id,True,49,0.7224958277383602
force_sensor_y__skewness__rel,0.2559394078559889,1.047021803392401,0.3148479312230329,0.5789218778733911,1.249254142072295,domain_id,True,50,0.5632040934253295
