split,n_runs,n_windows,tools,stage_early,stage_middle,stage_late,S0,S1,S2,S3,S4,q_min,q_max,VB_min,VB_max
train,2416,2372,"T2,T3,T7,T8",734,938,744,114,787,662,670,183,0.0,0.9999999999999933,3.0,153.0
val,1218,1196,"T1,T9",366,488,364,88,358,316,364,92,0.0,0.9999999999999936,3.0,160.0
test,2784,2751,"T4,T5,T6",847,1132,805,119,756,674,1051,184,0.0,0.9999999999999931,3.0,149.0
