Metric,Mean,Std,Min,Max,N
Acc,0.8706140350877194,0.04192874385877189,0.8048245614035089,0.924342105263158,10
Macro-F1,0.871806939246985,0.04311051235533341,0.8099287311823127,0.9281076748206618,10
E-F1,0.8943693110080044,0.030366804367769257,0.8603407746784649,0.9564226964000732,10
M-F1,0.8137518832413212,0.06838012828596363,0.7220254161043634,0.8977565561638814,10
L-F1,0.9072996234916293,0.040064102489059665,0.8456985546569614,0.9604967072378617,10
M-Precision,0.9510405460947051,0.04517968414771558,0.8618373275236021,1.0,10
M-Recall,0.7296632255934582,0.08310050882317177,0.6369937590867824,0.8626872115244208,10
M_to_E,0.1407316407316396,0.054296053598890164,0.051460551460551035,0.2196477661593923,10
M_to_L,0.12960513367490006,0.059704618369377016,0.049589229821787505,0.23598016621272236,10
Rev,5.566666666666666,1.5638666862446042,3.3333333333333335,7.666666666666667,10
Jump,0.0,0.0,0.0,0.0,10
Smooth,0.09218963508804634,0.01646171203948951,0.07031471406420066,0.12227807690699889,10
q-MAE,,,,,0
q-RMSE,,,,,0
q-R2,,,,,0
Spearman,,,,,0
