Dataset,Method,Seed,Acc,Macro-F1,E-F1,M-F1,L-F1,M-Precision,M-Recall,M_to_E,M_to_L,Rev,Jump,Smooth,q-MAE,q-RMSE,q-R2,Spearman
MTW_CM,B5_MultiSource_Attention,3,0.8375255394248003,0.8423942837237174,0.9208522959138333,0.8048243026462026,0.8015062526111162,0.8166690395356814,0.8026961563503697,0.051435295395096836,0.1458685482545332,95.66666666666667,28.333333333333332,0.18641564249992368,,,,
MTW_CM,B5_MultiSource_Attention,13,0.8409392072065472,0.8461467608395585,0.9243096077080434,0.7983485786277633,0.8157820961828692,0.8461151167405325,0.7614336137723458,0.05356932809997363,0.1849970581276802,96.0,29.0,0.18945840497811636,,,,
MTW_CM,B5_MultiSource_Attention,23,0.8461789035758476,0.8504644328651371,0.9254229412561178,0.8099328151655931,0.8160375421737003,0.821323866740104,0.8025922205849643,0.05914878917298657,0.1382589902420488,98.66666666666667,25.0,0.19142990310986832,,,,
MTW_CM,B5_MultiSource_Attention,33,0.8379925459898656,0.842231132285545,0.9185335266083247,0.8094924121516609,0.7986674580966492,0.8067166996692693,0.8136307414841265,0.04490733609836847,0.1414619224175047,89.66666666666667,23.333333333333332,0.18400958180427548,,,,
MTW_CM,B5_MultiSource_Attention,43,0.8411151282979388,0.8457633291912008,0.9144202582227231,0.8135834769566687,0.8092862523942103,0.8208590505745778,0.8113419503886924,0.042045022751832105,0.1466130268594751,98.33333333333333,41.333333333333336,0.1883097936709722,,,,
MTW_CM,B5_MultiSource_Attention,53,0.8475364351154231,0.852430153229846,0.9285988338579653,0.811033178449467,0.8176584473821059,0.8421312696395101,0.7886437692695994,0.04553909163607691,0.16581713909432336,95.0,24.333333333333332,0.1915124803781509,,,,
MTW_CM,B5_MultiSource_Attention,63,0.8395937616775654,0.8442550265451034,0.9253331403797108,0.8071907148218465,0.8002412244337531,0.8087531776056367,0.8101363555413029,0.0463800592096171,0.14348358524907973,92.0,27.666666666666668,0.17994770904382065,,,,
MTW_CM,B5_MultiSource_Attention,73,0.8432893651329741,0.8482529685667045,0.9301052940651523,0.8033716001254717,0.8112820115094898,0.8304644465868051,0.7813770617354807,0.05256451118051934,0.16605842708399962,86.0,23.0,0.17535218596458427,,,,
MTW_CM,B5_MultiSource_Attention,83,0.8449977223209236,0.8489869908078229,0.9179714185888472,0.8141257648430645,0.8148637889915569,0.8297256258090342,0.8048557093567089,0.05446953900151206,0.14067475164177864,98.0,38.666666666666664,0.19013112286726627,,,,
MTW_CM,B5_MultiSource_Attention,93,0.8300173431461958,0.8355209479209117,0.9202781727665568,0.8042728953895906,0.7820117756065875,0.8086035184690666,0.8053089655771063,0.0341526764626996,0.1605383579601938,97.0,23.333333333333332,0.18686421215534207,,,,
