Metric,Mean,Std,Min,Max,N
Acc,0.8409185951888082,0.005103730653908506,0.8300173431461958,0.8475364351154231,10
Macro-F1,0.8456446025975548,0.004877972142908921,0.8355209479209117,0.852430153229846,10
E-F1,0.9225825489367274,0.00498873967598197,0.9144202582227231,0.9301052940651523,10
M-F1,0.8076175739177328,0.004962126309665902,0.7983485786277633,0.8141257648430645,10
L-F1,0.8067336849382037,0.011189292082154379,0.7820117756065875,0.8176584473821059,10
M-Precision,0.8231361811370219,0.013840083888287107,0.8067166996692693,0.8461151167405325,10
M-Recall,0.7982016544060697,0.016376602669945978,0.7614336137723458,0.8136307414841265,10
M_to_E,0.048421164900868265,0.007253237129828222,0.0341526764626996,0.05914878917298657,10
M_to_L,0.1533771806930617,0.015270039725496303,0.1382589902420488,0.1849970581276802,10
Rev,94.63333333333333,4.164666186436128,86.0,98.66666666666667,10
Jump,28.4,6.516455902625613,23.0,41.333333333333336,10
Smooth,0.186343103647232,0.0052487409071794704,0.17535218596458427,0.1915124803781509,10
q-MAE,,,,,0
q-RMSE,,,,,0
q-R2,,,,,0
Spearman,,,,,0
