feature,mi_stage,mi_q,spearman_abs_q,domain_instability,feature_score,selected_rank,max_abs_corr_with_selected
ch7_wp_energy_ratio_8__rel,0.9760487848503454,2.4585702994962664,0.9283490518109405,0.0,2.4447452466550903,1,
ch3_rms_freq__rel,0.8572306897958,1.5995991113635748,0.9233491651019549,0.0,2.0106554885587062,2,0.8926064582649855
ch6_wp_energy_8__rel,0.7281220581424519,2.0576774704827594,0.7161936429585517,0.0,1.9150278822528666,3,0.7142623611566762
ch1_wp_energy_ratio_8__rel,0.8083057736186403,1.8679534279202663,0.6582501614040118,0.0,1.904957639524804,4,0.677911608942213
ch2_skew__rel,0.7417137807696843,1.7887169207411375,0.7614885212252159,0.0,1.8607547677799197,5,0.7832827482776398
ch5_wp_energy_ratio_8__rel,0.7228357737752236,2.1436782410315254,0.5546367725767332,0.0,1.850456960430983,6,0.8682843886207058
ch1_q25__rel,0.6226306382193667,2.0322457103738043,0.8040231860071714,0.0,1.8383924529760791,7,0.8870244176782115
ch1_std__rel,0.6719521571065152,1.979917246344289,0.7322831373771616,0.0,1.8348741345951067,8,0.8837347330927496
ch2_wp_energy_max_ratio__rel,0.7703922245243384,1.4861843649190756,0.8340153807099702,0.0,1.8263044340889323,9,0.8863487838027839
ch5_wp_energy_8__rel,0.7113264444045828,1.6349363350052721,0.8122186948769183,0.0,1.8014070882791913,10,0.8998322163378171
ch1_q25__online_rank,0.8368562480349602,1.150553170483676,0.863939040831932,0.0,1.7984019549653054,11,0.9164308023419228
ch1_wp_energy_ratio_7__rel,0.7408099350066186,2.0419947458074863,0.4526937629425105,0.0,1.7785706591582815,12,0.5663337863804658
ch2_std__rel,0.6015139131272436,1.8290814577291998,0.8325932707189356,0.0,1.7597701135406025,13,0.8911502085579041
ch1_spec_centroid__rel,0.7356535893847771,2.36008569571088,0.21433170217463932,0.0,1.7531313780181144,14,0.756864038993298
ch6_q25__rel,0.706143033746701,1.396876413684439,0.8620709256254,0.0,1.7398030910048947,15,0.9078865819937197
ch3_spec_centroid__rel,0.6984791575440525,1.46700701069339,0.82308591038594,0.0,1.7344767777534114,16,0.9197592913717955
ch1_rms_freq__rel,0.6141575957718675,2.219887071799553,0.5083893206346397,0.0,1.7321479568279496,17,0.8809017200168721
ch3_wp_energy_2__rel,0.6891550912023021,1.3811728150487355,0.8870988613747903,0.0,1.7293854593457243,18,0.860267516520598
ch1_spec_entropy__rel,0.728099866311787,2.112118548373351,0.33777962507518794,0.0,1.725930138664992,19,0.8764999765665277
ch1_wp_energy_8__rel,0.735268853502596,1.1685941643858286,0.8706050856876323,0.0,1.6966364935160934,20,0.8967359985002578
ch5_band_power_q4__rel,0.6723789317329043,1.2879179000095213,0.8769006976126055,0.0,1.6726834735964604,21,0.881934292543469
