Metric,Mean,Std,Min,Max,N
Acc,0.9220394736842105,0.04058647135971611,0.8782894736842105,0.9835526315789472,10
Macro-F1,0.9238832747967161,0.0401344845671213,0.8795122332020101,0.9839037033360112,10
E-F1,0.9576622240303723,0.03697033310209542,0.8874172185430463,0.988095238095238,10
M-F1,0.9086593799375862,0.0461683441112171,0.8695652173913043,0.980544747081712,10
L-F1,0.9053282204221895,0.06874965373785558,0.8026315789473685,0.9891304347826086,10
M-Precision,0.9166954636300474,0.08856339817972009,0.7771084337349398,1.0,10
M-Recall,0.9131782945736434,0.08994326885552058,0.7829457364341085,1.0,10
M_to_E,0.0170542635658913,0.02276249668790187,0.0,0.0697674418604645,10
M_to_L,0.06976744186046455,0.09018050835459952,0.0,0.2093023255813937,10
Rev,6.2,2.485513584307633,2.0,10.0,10
Jump,0.0,0.0,0.0,0.0,10
Smooth,0.14237768799066539,0.013903086952243501,0.123710848391056,0.1684805750846862,10
q-MAE,,,,,0
q-RMSE,,,,,0
q-R2,,,,,0
Spearman,,,,,0
