Metric,Mean,Std,Min,Max,N
Acc,0.8782894736842104,0.04787035077399794,0.7993421052631579,0.9605263157894736,10
Macro-F1,0.8759034636605456,0.04911582420178601,0.7913313198359543,0.9613125576428329,10
E-F1,0.9398119483613782,0.05445585449035758,0.8068181818181818,0.985645933014354,10
M-F1,0.8404975648909273,0.0685323941762658,0.7214611872146118,0.9428571428571428,10
L-F1,0.8474008777293311,0.0862770029364143,0.7065868263473054,0.9777777777777776,10
M-Precision,0.8170445125290048,0.1066053603470506,0.7254901960784313,1.0,10
M-Recall,0.8864864864864865,0.13139296388241134,0.6936936936936937,1.0,10
M_to_E,0.0234234234234232,0.03779491344757268,0.0,0.1081081081081071,10
M_to_L,0.09009009009008925,0.11498011843289173,0.0,0.2882882882882857,10
Rev,6.4,3.1692971530679235,4.0,12.0,10
Jump,0.0,0.0,0.0,0.0,10
Smooth,0.11380509808659549,0.021776809796925877,0.0829352289438247,0.1600765734910965,10
q-MAE,,,,,0
q-RMSE,,,,,0
q-R2,,,,,0
Spearman,,,,,0
