Metric,Mean,Std,Min,Max,N
Acc,0.7079243911304979,0.11408360550950067,0.4827335514358415,0.8633224282079244,10
Macro-F1,0.6485002016419177,0.16780007206413924,0.3724409832736824,0.8661977926765938,10
E-F1,0.8828586593838661,0.101007921891651,0.6058801637513956,0.9455958549222798,10
M-F1,0.6821067752621526,0.12685450099058265,0.4315861130020422,0.8329809725158562,10
L-F1,0.3805351702797343,0.39562120450968774,0.0,0.8357457520453115,10
M-Precision,0.6997931772703648,0.1530025474323584,0.547953216374269,0.940652818991098,10
M-Recall,0.7469081272084805,0.2386188503847515,0.2800353356890459,1.0,10
M_to_E,0.11899293286219079,0.16560720858833797,0.0,0.5459363957597173,10
M_to_L,0.1340989399293286,0.1886748777446012,0.0,0.5106007067137809,10
Rev,26.3,14.00039681977304,2.0,52.0,10
Jump,0.2,0.6324555320336759,0.0,2.0,10
Smooth,0.01878613672924821,0.010799635733333875,0.0071672447774087,0.0397308888778041,10
q-MAE,,,,,0
q-RMSE,,,,,0
q-R2,,,,,0
Spearman,,,,,0
