metric,mean,std,n
Acc,0.9736842105263158,,1.0
MacroF1,0.9742517226528854,,1.0
E_F1,0.9651162790697674,,1.0
M_F1,0.9687500000000001,,1.0
L_F1,0.9888888888888888,,1.0
M_Precision,0.9763779527559056,,1.0
M_Recall,0.9612403100775194,,1.0
M_to_E,0.03875968992248032,,1.0
M_to_L,0.0,,1.0
Rev,6.0,,1.0
Jump,0.0,,1.0
Smooth,0.10985148514851484,,1.0
q_MAE,,,1.0
q_RMSE,,,1.0
q_R2,,,1.0
