task,seed,Acc,MacroF1,E_F1,M_F1,L_F1,M_Precision,M_Recall,M_to_E,M_to_L,Rev,Jump,Smooth,q_MAE,q_RMSE,q_R2
D1,0,0.9736842105263158,0.9742517226528854,0.9651162790697674,0.9687500000000001,0.9888888888888888,0.9763779527559056,0.9612403100775194,0.03875968992248032,0.0,6,0,0.10985148514851484,,,
D2,0,0.9243421052631579,0.9274508580780944,0.9032258064516129,0.9083665338645418,0.9707602339181286,0.957983193277311,0.8636363636363636,0.13636363636363533,0.0,4,0,0.06957095709570957,,,
D3,0,0.881578947368421,0.8870554607146567,0.8358208955223881,0.8421052631578947,0.9832402234636871,0.8205128205128205,0.8648648648648649,0.10810810810810714,0.027027027027026786,8,0,0.09580858085808582,,,
