metric,mean,std,n
Acc,0.9265350877192983,,1.0
MacroF1,0.9295860138152121,,1.0
E_F1,0.9013876603479228,,1.0
M_F1,0.9064072656741455,,1.0
L_F1,0.9809631154235682,,1.0
M_Precision,0.9182913221820123,,1.0
M_Recall,0.8965805128595826,,1.0
M_to_E,0.09441047813140761,,1.0
M_to_L,0.00900900900900893,,1.0
Rev,6.0,,1.0
Jump,0.0,,1.0
Smooth,0.09174367436743674,,1.0
q_MAE,,,1.0
q_RMSE,,,1.0
q_R2,,,1.0
