Method,Stage,n,MAE,RMSE,Bias,MaxAE,MedianAE,StdResidual
Baseline,early,106,12.20555360518868,12.524592875683908,-12.20555360518868,16.782802000000004,12.749427349999998,2.82223841692195
Baseline,middle,97,4.522274909278352,5.677599360168145,-2.746903962886597,11.261922300000009,3.1558446999999887,4.994680870671928
Baseline,late,93,12.346553835483869,13.211654814437773,12.344018151612904,20.634483899999992,13.520207200000016,4.734347906513087
Hard-stage correction,early,106,14.782783410101592,15.09387370710584,-14.782783410101592,18.884967830769227,15.345604030769223,3.0631447308516426
Hard-stage correction,middle,97,6.778624473161512,8.352800261019853,-6.714135766219931,15.229154103333343,5.403267203333343,4.994680870671928
Hard-stage correction,late,93,16.434180121666667,17.25682931370119,16.434180121666667,24.99322566249998,17.878948962500004,5.293122072503974
Probability-stage correction,early,106,14.703029385009463,14.991682097792733,-14.703029385009463,18.98664724206344,15.269580816541868,2.94161383732142
Probability-stage correction,middle,97,6.337079616070351,7.980219051875284,-6.175738717342558,14.551816638811403,4.369666525867416,5.080377178900623
Probability-stage correction,late,93,15.621722248817553,16.41856540860383,15.621722248817553,24.15397586315595,17.02102381204105,5.080216121449322
