Stage,n,MAE,RMSE,Bias,MaxAE,MedianAE,StdResidual
early,106,12.20555360518868,12.524592875683908,-12.20555360518868,16.782802000000004,12.749427349999998,2.82223841692195
middle,97,4.522274909278352,5.677599360168145,-2.746903962886597,11.261922300000009,3.1558446999999887,4.994680870671928
late,93,12.346553835483869,13.211654814437773,12.344018151612904,20.634483899999992,13.520207200000016,4.734347906513087
