Method,MAE,RMSE,R2,Bias,MaxAE,MedianAE,MeanNAPE
Baseline,9.732023158952705,11.026303135797926,0.9394518662362552,-1.392718508277028,20.634483899999992,10.96532475,7.225906478016045
Hard-stage correction,12.678649887440661,14.07176353546931,0.9013861390135393,-2.3306333090510205,24.99322566249998,14.227250396634624,9.337710061713093
Probability-stage correction,12.250128401046823,13.640019406494178,0.9073445686489231,-2.3809040582878347,24.15397586315595,14.071743133993266,9.0751369636521
