feature,channel,statistic
tool__spectral_rolloff95,tool,spectral_rolloff95
tool__total_power,tool,total_power
tool__band0_energy_ratio,tool,band0_energy_ratio
tool__band1_energy_ratio,tool,band1_energy_ratio
tool__band2_energy_ratio,tool,band2_energy_ratio
tool__band3_energy_ratio,tool,band3_energy_ratio
tool__band4_energy_ratio,tool,band4_energy_ratio
wear__mean,wear,mean
wear__std,wear,std
wear__rms,wear,rms
wear__abs_mean,wear,abs_mean
wear__peak,wear,peak
wear__p2p,wear,p2p
wear__skewness,wear,skewness
wear__kurtosis,wear,kurtosis
wear__crest_factor,wear,crest_factor
wear__shape_factor,wear,shape_factor
wear__impulse_factor,wear,impulse_factor
wear__clearance_factor,wear,clearance_factor
wear__energy,wear,energy
wear__variance,wear,variance
wear__zero_crossing_rate,wear,zero_crossing_rate
wear__dominant_freq,wear,dominant_freq
wear__dominant_amp,wear,dominant_amp
wear__spectral_centroid,wear,spectral_centroid
wear__spectral_spread,wear,spectral_spread
wear__spectral_variance,wear,spectral_variance
wear__spectral_entropy,wear,spectral_entropy
wear__spectral_rms,wear,spectral_rms
wear__spectral_skewness,wear,spectral_skewness
wear__spectral_kurtosis,wear,spectral_kurtosis
wear__spectral_rolloff95,wear,spectral_rolloff95
wear__total_power,wear,total_power
wear__band0_energy_ratio,wear,band0_energy_ratio
wear__band1_energy_ratio,wear,band1_energy_ratio
wear__band2_energy_ratio,wear,band2_energy_ratio
wear__band3_energy_ratio,wear,band3_energy_ratio
wear__band4_energy_ratio,wear,band4_energy_ratio
position_control_deviation_axis_x__mean,position_control_deviation_axis_x,mean
position_control_deviation_axis_x__std,position_control_deviation_axis_x,std
position_control_deviation_axis_x__rms,position_control_deviation_axis_x,rms
position_control_deviation_axis_x__abs_mean,position_control_deviation_axis_x,abs_mean
position_control_deviation_axis_x__peak,position_control_deviation_axis_x,peak
position_control_deviation_axis_x__p2p,position_control_deviation_axis_x,p2p
position_control_deviation_axis_x__skewness,position_control_deviation_axis_x,skewness
position_control_deviation_axis_x__kurtosis,position_control_deviation_axis_x,kurtosis
position_control_deviation_axis_x__crest_factor,position_control_deviation_axis_x,crest_factor
position_control_deviation_axis_x__shape_factor,position_control_deviation_axis_x,shape_factor
position_control_deviation_axis_x__impulse_factor,position_control_deviation_axis_x,impulse_factor
position_control_deviation_axis_x__clearance_factor,position_control_deviation_axis_x,clearance_factor
position_control_deviation_axis_x__energy,position_control_deviation_axis_x,energy
position_control_deviation_axis_x__variance,position_control_deviation_axis_x,variance
position_control_deviation_axis_x__zero_crossing_rate,position_control_deviation_axis_x,zero_crossing_rate
position_control_deviation_axis_x__dominant_freq,position_control_deviation_axis_x,dominant_freq
position_control_deviation_axis_x__dominant_amp,position_control_deviation_axis_x,dominant_amp
position_control_deviation_axis_x__spectral_centroid,position_control_deviation_axis_x,spectral_centroid
position_control_deviation_axis_x__spectral_spread,position_control_deviation_axis_x,spectral_spread
position_control_deviation_axis_x__spectral_variance,position_control_deviation_axis_x,spectral_variance
position_control_deviation_axis_x__spectral_entropy,position_control_deviation_axis_x,spectral_entropy
position_control_deviation_axis_x__spectral_rms,position_control_deviation_axis_x,spectral_rms
position_control_deviation_axis_x__spectral_skewness,position_control_deviation_axis_x,spectral_skewness
position_control_deviation_axis_x__spectral_kurtosis,position_control_deviation_axis_x,spectral_kurtosis
position_control_deviation_axis_x__spectral_rolloff95,position_control_deviation_axis_x,spectral_rolloff95
position_control_deviation_axis_x__total_power,position_control_deviation_axis_x,total_power
position_control_deviation_axis_x__band0_energy_ratio,position_control_deviation_axis_x,band0_energy_ratio
position_control_deviation_axis_x__band1_energy_ratio,position_control_deviation_axis_x,band1_energy_ratio
position_control_deviation_axis_x__band2_energy_ratio,position_control_deviation_axis_x,band2_energy_ratio
position_control_deviation_axis_x__band3_energy_ratio,position_control_deviation_axis_x,band3_energy_ratio
position_control_deviation_axis_x__band4_energy_ratio,position_control_deviation_axis_x,band4_energy_ratio
position_control_deviation_axis_y__mean,position_control_deviation_axis_y,mean
position_control_deviation_axis_y__std,position_control_deviation_axis_y,std
position_control_deviation_axis_y__rms,position_control_deviation_axis_y,rms
position_control_deviation_axis_y__abs_mean,position_control_deviation_axis_y,abs_mean
position_control_deviation_axis_y__peak,position_control_deviation_axis_y,peak
position_control_deviation_axis_y__p2p,position_control_deviation_axis_y,p2p
position_control_deviation_axis_y__skewness,position_control_deviation_axis_y,skewness
position_control_deviation_axis_y__kurtosis,position_control_deviation_axis_y,kurtosis
position_control_deviation_axis_y__crest_factor,position_control_deviation_axis_y,crest_factor
position_control_deviation_axis_y__shape_factor,position_control_deviation_axis_y,shape_factor
position_control_deviation_axis_y__impulse_factor,position_control_deviation_axis_y,impulse_factor
position_control_deviation_axis_y__clearance_factor,position_control_deviation_axis_y,clearance_factor
position_control_deviation_axis_y__energy,position_control_deviation_axis_y,energy
position_control_deviation_axis_y__variance,position_control_deviation_axis_y,variance
position_control_deviation_axis_y__zero_crossing_rate,position_control_deviation_axis_y,zero_crossing_rate
position_control_deviation_axis_y__dominant_freq,position_control_deviation_axis_y,dominant_freq
position_control_deviation_axis_y__dominant_amp,position_control_deviation_axis_y,dominant_amp
position_control_deviation_axis_y__spectral_centroid,position_control_deviation_axis_y,spectral_centroid
position_control_deviation_axis_y__spectral_spread,position_control_deviation_axis_y,spectral_spread
position_control_deviation_axis_y__spectral_variance,position_control_deviation_axis_y,spectral_variance
position_control_deviation_axis_y__spectral_entropy,position_control_deviation_axis_y,spectral_entropy
position_control_deviation_axis_y__spectral_rms,position_control_deviation_axis_y,spectral_rms
position_control_deviation_axis_y__spectral_skewness,position_control_deviation_axis_y,spectral_skewness
position_control_deviation_axis_y__spectral_kurtosis,position_control_deviation_axis_y,spectral_kurtosis
position_control_deviation_axis_y__spectral_rolloff95,position_control_deviation_axis_y,spectral_rolloff95
position_control_deviation_axis_y__total_power,position_control_deviation_axis_y,total_power
position_control_deviation_axis_y__band0_energy_ratio,position_control_deviation_axis_y,band0_energy_ratio
position_control_deviation_axis_y__band1_energy_ratio,position_control_deviation_axis_y,band1_energy_ratio
position_control_deviation_axis_y__band2_energy_ratio,position_control_deviation_axis_y,band2_energy_ratio
position_control_deviation_axis_y__band3_energy_ratio,position_control_deviation_axis_y,band3_energy_ratio
position_control_deviation_axis_y__band4_energy_ratio,position_control_deviation_axis_y,band4_energy_ratio
torque_axis_x__mean,torque_axis_x,mean
torque_axis_x__std,torque_axis_x,std
torque_axis_x__rms,torque_axis_x,rms
torque_axis_x__abs_mean,torque_axis_x,abs_mean
torque_axis_x__peak,torque_axis_x,peak
torque_axis_x__p2p,torque_axis_x,p2p
torque_axis_x__skewness,torque_axis_x,skewness
torque_axis_x__kurtosis,torque_axis_x,kurtosis
torque_axis_x__crest_factor,torque_axis_x,crest_factor
torque_axis_x__shape_factor,torque_axis_x,shape_factor
torque_axis_x__impulse_factor,torque_axis_x,impulse_factor
torque_axis_x__clearance_factor,torque_axis_x,clearance_factor
torque_axis_x__energy,torque_axis_x,energy
torque_axis_x__variance,torque_axis_x,variance
torque_axis_x__zero_crossing_rate,torque_axis_x,zero_crossing_rate
torque_axis_x__dominant_freq,torque_axis_x,dominant_freq
torque_axis_x__dominant_amp,torque_axis_x,dominant_amp
torque_axis_x__spectral_centroid,torque_axis_x,spectral_centroid
torque_axis_x__spectral_spread,torque_axis_x,spectral_spread
torque_axis_x__spectral_variance,torque_axis_x,spectral_variance
torque_axis_x__spectral_entropy,torque_axis_x,spectral_entropy
torque_axis_x__spectral_rms,torque_axis_x,spectral_rms
torque_axis_x__spectral_skewness,torque_axis_x,spectral_skewness
torque_axis_x__spectral_kurtosis,torque_axis_x,spectral_kurtosis
torque_axis_x__spectral_rolloff95,torque_axis_x,spectral_rolloff95
torque_axis_x__total_power,torque_axis_x,total_power
torque_axis_x__band0_energy_ratio,torque_axis_x,band0_energy_ratio
torque_axis_x__band1_energy_ratio,torque_axis_x,band1_energy_ratio
torque_axis_x__band2_energy_ratio,torque_axis_x,band2_energy_ratio
torque_axis_x__band3_energy_ratio,torque_axis_x,band3_energy_ratio
torque_axis_x__band4_energy_ratio,torque_axis_x,band4_energy_ratio
torque_axis_y__mean,torque_axis_y,mean
torque_axis_y__std,torque_axis_y,std
torque_axis_y__rms,torque_axis_y,rms
torque_axis_y__abs_mean,torque_axis_y,abs_mean
torque_axis_y__peak,torque_axis_y,peak
torque_axis_y__p2p,torque_axis_y,p2p
torque_axis_y__skewness,torque_axis_y,skewness
torque_axis_y__kurtosis,torque_axis_y,kurtosis
torque_axis_y__crest_factor,torque_axis_y,crest_factor
torque_axis_y__shape_factor,torque_axis_y,shape_factor
torque_axis_y__impulse_factor,torque_axis_y,impulse_factor
torque_axis_y__clearance_factor,torque_axis_y,clearance_factor
torque_axis_y__energy,torque_axis_y,energy
torque_axis_y__variance,torque_axis_y,variance
torque_axis_y__zero_crossing_rate,torque_axis_y,zero_crossing_rate
torque_axis_y__dominant_freq,torque_axis_y,dominant_freq
torque_axis_y__dominant_amp,torque_axis_y,dominant_amp
torque_axis_y__spectral_centroid,torque_axis_y,spectral_centroid
torque_axis_y__spectral_spread,torque_axis_y,spectral_spread
torque_axis_y__spectral_variance,torque_axis_y,spectral_variance
torque_axis_y__spectral_entropy,torque_axis_y,spectral_entropy
torque_axis_y__spectral_rms,torque_axis_y,spectral_rms
torque_axis_y__spectral_skewness,torque_axis_y,spectral_skewness
torque_axis_y__spectral_kurtosis,torque_axis_y,spectral_kurtosis
torque_axis_y__spectral_rolloff95,torque_axis_y,spectral_rolloff95
torque_axis_y__total_power,torque_axis_y,total_power
torque_axis_y__band0_energy_ratio,torque_axis_y,band0_energy_ratio
torque_axis_y__band1_energy_ratio,torque_axis_y,band1_energy_ratio
torque_axis_y__band2_energy_ratio,torque_axis_y,band2_energy_ratio
torque_axis_y__band3_energy_ratio,torque_axis_y,band3_energy_ratio
torque_axis_y__band4_energy_ratio,torque_axis_y,band4_energy_ratio
torque_axis_z__mean,torque_axis_z,mean
torque_axis_z__std,torque_axis_z,std
torque_axis_z__rms,torque_axis_z,rms
torque_axis_z__abs_mean,torque_axis_z,abs_mean
torque_axis_z__peak,torque_axis_z,peak
torque_axis_z__p2p,torque_axis_z,p2p
torque_axis_z__skewness,torque_axis_z,skewness
torque_axis_z__kurtosis,torque_axis_z,kurtosis
torque_axis_z__crest_factor,torque_axis_z,crest_factor
torque_axis_z__shape_factor,torque_axis_z,shape_factor
torque_axis_z__impulse_factor,torque_axis_z,impulse_factor
torque_axis_z__clearance_factor,torque_axis_z,clearance_factor
torque_axis_z__energy,torque_axis_z,energy
torque_axis_z__variance,torque_axis_z,variance
torque_axis_z__zero_crossing_rate,torque_axis_z,zero_crossing_rate
torque_axis_z__dominant_freq,torque_axis_z,dominant_freq
torque_axis_z__dominant_amp,torque_axis_z,dominant_amp
torque_axis_z__spectral_centroid,torque_axis_z,spectral_centroid
torque_axis_z__spectral_spread,torque_axis_z,spectral_spread
torque_axis_z__spectral_variance,torque_axis_z,spectral_variance
torque_axis_z__spectral_entropy,torque_axis_z,spectral_entropy
torque_axis_z__spectral_rms,torque_axis_z,spectral_rms
torque_axis_z__spectral_skewness,torque_axis_z,spectral_skewness
torque_axis_z__spectral_kurtosis,torque_axis_z,spectral_kurtosis
torque_axis_z__spectral_rolloff95,torque_axis_z,spectral_rolloff95
torque_axis_z__total_power,torque_axis_z,total_power
torque_axis_z__band0_energy_ratio,torque_axis_z,band0_energy_ratio
torque_axis_z__band1_energy_ratio,torque_axis_z,band1_energy_ratio
torque_axis_z__band2_energy_ratio,torque_axis_z,band2_energy_ratio
torque_axis_z__band3_energy_ratio,torque_axis_z,band3_energy_ratio
torque_axis_z__band4_energy_ratio,torque_axis_z,band4_energy_ratio
torque_spindle__mean,torque_spindle,mean
torque_spindle__std,torque_spindle,std
torque_spindle__rms,torque_spindle,rms
torque_spindle__abs_mean,torque_spindle,abs_mean
torque_spindle__peak,torque_spindle,peak
torque_spindle__p2p,torque_spindle,p2p
torque_spindle__skewness,torque_spindle,skewness
torque_spindle__kurtosis,torque_spindle,kurtosis
torque_spindle__crest_factor,torque_spindle,crest_factor
torque_spindle__shape_factor,torque_spindle,shape_factor
torque_spindle__impulse_factor,torque_spindle,impulse_factor
torque_spindle__clearance_factor,torque_spindle,clearance_factor
torque_spindle__energy,torque_spindle,energy
torque_spindle__variance,torque_spindle,variance
torque_spindle__zero_crossing_rate,torque_spindle,zero_crossing_rate
torque_spindle__dominant_freq,torque_spindle,dominant_freq
torque_spindle__dominant_amp,torque_spindle,dominant_amp
torque_spindle__spectral_centroid,torque_spindle,spectral_centroid
torque_spindle__spectral_spread,torque_spindle,spectral_spread
torque_spindle__spectral_variance,torque_spindle,spectral_variance
torque_spindle__spectral_entropy,torque_spindle,spectral_entropy
torque_spindle__spectral_rms,torque_spindle,spectral_rms
torque_spindle__spectral_skewness,torque_spindle,spectral_skewness
torque_spindle__spectral_kurtosis,torque_spindle,spectral_kurtosis
torque_spindle__spectral_rolloff95,torque_spindle,spectral_rolloff95
torque_spindle__total_power,torque_spindle,total_power
torque_spindle__band0_energy_ratio,torque_spindle,band0_energy_ratio
torque_spindle__band1_energy_ratio,torque_spindle,band1_energy_ratio
torque_spindle__band2_energy_ratio,torque_spindle,band2_energy_ratio
torque_spindle__band3_energy_ratio,torque_spindle,band3_energy_ratio
torque_spindle__band4_energy_ratio,torque_spindle,band4_energy_ratio
force_sensor_x__mean,force_sensor_x,mean
force_sensor_x__std,force_sensor_x,std
force_sensor_x__rms,force_sensor_x,rms
force_sensor_x__abs_mean,force_sensor_x,abs_mean
force_sensor_x__peak,force_sensor_x,peak
force_sensor_x__p2p,force_sensor_x,p2p
force_sensor_x__skewness,force_sensor_x,skewness
force_sensor_x__kurtosis,force_sensor_x,kurtosis
force_sensor_x__crest_factor,force_sensor_x,crest_factor
force_sensor_x__shape_factor,force_sensor_x,shape_factor
force_sensor_x__impulse_factor,force_sensor_x,impulse_factor
force_sensor_x__clearance_factor,force_sensor_x,clearance_factor
force_sensor_x__energy,force_sensor_x,energy
force_sensor_x__variance,force_sensor_x,variance
force_sensor_x__zero_crossing_rate,force_sensor_x,zero_crossing_rate
force_sensor_x__dominant_freq,force_sensor_x,dominant_freq
force_sensor_x__dominant_amp,force_sensor_x,dominant_amp
force_sensor_x__spectral_centroid,force_sensor_x,spectral_centroid
force_sensor_x__spectral_spread,force_sensor_x,spectral_spread
force_sensor_x__spectral_variance,force_sensor_x,spectral_variance
force_sensor_x__spectral_entropy,force_sensor_x,spectral_entropy
force_sensor_x__spectral_rms,force_sensor_x,spectral_rms
force_sensor_x__spectral_skewness,force_sensor_x,spectral_skewness
