Metric,Mean,Std,Min,Max,N
Acc,0.6489276626681206,0.10598760756697077,0.5358051617593602,0.8149763722282807,10
Macro-F1,0.6275057243793114,0.13207541171756304,0.4603400793526064,0.8175838887861898,10
E-F1,0.578968582335636,0.2799599307651432,0.1179190751445086,0.9095780308104487,10
M-F1,0.6149592741206047,0.11611031670275178,0.4694560669456067,0.8007827788649706,10
L-F1,0.6885893166816939,0.18255592763331754,0.212461695607763,0.845360824742268,10
M-Precision,0.5749178784856718,0.11289918157960105,0.4459459459459459,0.762582056892779,10
M-Recall,0.6876325088339222,0.19728134920390797,0.4938162544169611,1.0,10
M_to_E,0.07146643109540629,0.15614841589122436,0.0,0.4443462897526498,10
M_to_L,0.2409010600706712,0.18951962732201597,0.0,0.5044169611307416,10
Rev,36.0,11.065461781798554,20.0,49.0,10
Jump,6.9,13.9956342399256,0.0,45.0,10
Smooth,0.050644691288471176,0.013962638089699721,0.0319312699139118,0.069107785820961,10
q-MAE,,,,,0
q-RMSE,,,,,0
q-R2,,,,,0
Spearman,,,,,0
