Metric,Mean,Std,Min,Max,N
Acc,0.4170597915523861,0.07198905478736854,0.303894679100384,0.5408667032364235,10
Macro-F1,0.33456451602105697,0.08442965727992752,0.1772124024156724,0.4590723454290843,10
E-F1,0.6085061699028845,0.09454903885338513,0.4666372072470172,0.7608200455580866,10
M-F1,0.02765883210453534,0.02857977661392673,0.0,0.0675844806007509,10
L-F1,0.3675285460557512,0.1869241337017428,0.0,0.6284916201117319,10
M-Precision,0.7410138248847927,0.33788904771788686,0.0,1.0,10
M-Recall,0.01430429128738617,0.014915171681044838,0.0,0.0351105331599479,10
M_to_E,0.5321196358907665,0.19577175386016374,0.2080624187256174,0.8855656697009091,10
M_to_L,0.453576072821846,0.2067368553037994,0.0806241872561767,0.7906371911573461,10
Rev,34.4,9.879271228182775,18.0,50.0,10
Jump,62.3,19.322123186763,21.0,87.0,10
Smooth,0.07311054356396195,0.016777596153522884,0.0365274064242839,0.0913158953189849,10
q-MAE,,,,,0
q-RMSE,,,,,0
q-R2,,,,,0
Spearman,,,,,0
