Metric,Mean,Std,Min,Max,N
Acc,0.6332687479274244,0.018034252505758422,0.5888277511961723,0.6774401913875598,101
Macro-F1,0.3694648619454699,0.018156744848463257,0.32751989568627937,0.4115980204342273,101
E-F1,0.0,0.0,0.0,0.0,101
M-F1,0.37498123670513545,0.045305414829678176,0.27718334297281666,0.48680555555555555,101
L-F1,0.7334133491312742,0.011636615283517745,0.7053763440860215,0.7626436781609196,101
M-Precision,0.5964708077950651,0.05394536116224189,0.4895833333333333,0.7152777777777778,101
M-Recall,0.28739123912391235,0.0388349891698221,0.2068181818181818,0.3916666666666666,101
M_to_E,0.0,0.0,0.0,0.0,101
M_to_L,0.7126087608760036,0.03883498916981762,0.608333333333261,0.793181818181725,101
Rev,2.7896039603960396,0.28002828711428146,2.25,3.5,101
Jump,0.0,0.0,0.0,0.0,101
Smooth,0.2718166303237466,0.0064780125985893465,0.2557862103174603,0.2883878968253968,101
q-MAE,,,,,0
q-RMSE,,,,,0
q-R2,,,,,0
Spearman,,,,,0
