Metric,Mean,Std,Min,Max,N
Acc,0.5657065706570658,0.04238511332533325,0.5,0.6818181818181818,101
Macro-F1,0.32140451740598763,0.04247068117290356,0.2663358147229115,0.4306513409961686,101
E-F1,0.0,0.0,0.0,0.0,101
M-F1,0.27543974177637537,0.10751307474548658,0.1538461538461538,0.5333333333333333,101
L-F1,0.6887738104415877,0.026989578931378464,0.6451612903225806,0.7586206896551724,101
M-Precision,0.5521452145214522,0.1243798698954277,0.3333333333333333,0.8,101
M-Recall,0.1881188118811882,0.0863563879662313,0.1,0.4,101
M_to_E,0.0,0.0,0.0,0.0,101
M_to_L,0.8118811881187307,0.08635638796622265,0.59999999999994,0.89999999999991,101
Rev,2.4752475247524752,0.8437305186603195,1.0,5.0,101
Jump,0.0,0.0,0.0,0.0,101
Smooth,0.34006600660066005,0.013091173343692475,0.3135714285714285,0.3738095238095238,101
q-MAE,,,,,0
q-RMSE,,,,,0
q-R2,,,,,0
Spearman,,,,,0
