Metric,Mean,Std,Min,Max,N
Acc,0.887719298245614,0.03512272863579904,0.8289473684210527,0.9462719298245613,10
Macro-F1,0.8883656655995026,0.03531753243844944,0.8298468097658059,0.94784927001328,10
E-F1,0.8886442993627339,0.038147514731204826,0.81196975943199,0.9316107528891381,10
M-F1,0.8703561047952435,0.0386279969958855,0.8102598201174742,0.93523828582864,10
L-F1,0.90609659264053,0.050364119489914976,0.8413787714869576,0.9766987713220622,10
M-Precision,0.871308287122306,0.04124589191811861,0.8017622968744833,0.9326946826152923,10
M-Recall,0.8826165488956187,0.06110306932423821,0.7982194668241179,0.9682049914608054,10
M_to_E,0.05222701559910818,0.03767851085988166,0.005050505050505,0.14387273108203213,10
M_to_L,0.06515643550527216,0.05802465607223641,0.0090090090090089,0.16390174529709275,10
Rev,2.6333333333333337,0.8381343184731604,1.6666666666666667,4.0,10
Jump,0.13333333333333333,0.17213259316477408,0.0,0.3333333333333333,10
Smooth,0.05743098109960552,0.0064187311549660925,0.04810835048556323,0.06682447964946427,10
q-MAE,,,,,0
q-RMSE,,,,,0
q-R2,,,,,0
Spearman,,,,,0
