Method,Acc_mean,Acc_std,MacroF1_mean,MacroF1_std,MF1_mean,MF1_std,MRecall_mean,MRecall_std,Smooth_mean,Smooth_std,N_seeds
B1_RF,0.9211622807017544,0.0067878229226616,0.9246949579599728,0.006337372440179,0.8979941050152844,0.0094456847399711,0.8766962522776478,0.0134719467275228,0.0944686468646864,0.0011673072131286,10
B2_TCN_GRU,0.8435307017543859,0.0237772633256394,0.8473526138040075,0.0247260277710455,0.7724170161168168,0.0463807693200643,0.6959759442317582,0.0702027138076256,0.0264133006334304,0.0045307286035299,10
B3_Multitask_TCN_GRU,0.8503289473684212,0.0288638574018694,0.8541226037550697,0.0297292168077465,0.783894497653498,0.0496879817840106,0.7037843869239218,0.0722530275808169,0.0200962372977907,0.0024174194096297,10
B4_HTT_Net,0.8383771929824562,0.0281086024742053,0.8401646162127531,0.0272941475047987,0.8091623508734486,0.0424092491044848,0.7663723977677466,0.0818055590293119,0.0434500449647505,0.0135566115623913,10
B5_MultiSource_Attention,0.6015350877192983,0.0551190918972446,0.5820525969529704,0.060589721797159,0.4825355615640828,0.0234263236144391,0.5128218070078535,0.0406663050582251,0.4829275826613108,0.0573012161965762,10
B6_MTF_AViTK,0.8666666666666666,0.021149620236978,0.867606311563409,0.0206389550335335,0.8364656541630351,0.0304393173755777,0.8486256340907504,0.0649480350832348,0.1349889270961284,0.0148432469541313,10
B7_Dynamic_GIN_TGP,0.8706140350877194,0.0419287438587718,0.871806939246985,0.0431105123553334,0.8137518832413212,0.0683801282859636,0.7296632255934582,0.0831005088231717,0.0921896350880463,0.0164617120394895,10
B8_DP2Net,0.887719298245614,0.035122728635799,0.8883656655995026,0.0353175324384494,0.8703561047952435,0.0386279969958855,0.8826165488956187,0.0611030693242382,0.0574309810996055,0.006418731154966,10
B9_DC_PHSR,0.837171052631579,0.0477509026050804,0.830994901150224,0.0724155476858099,0.7888642544514782,0.0408125889082151,0.7417526934968797,0.0697231482955362,0.0173931569688923,0.0022998645151465,10
