epoch,train_loss,val_loss,val_acc,val_macro_f1,val_middle_recall,val_q_RMSE,score
1,1.4726235958246083,1.3575865030288696,0.5,0.48941798941798936,0.11538461538461539,0.20983191087871317,2.9102407004500366
2,1.256654638510484,1.0081829726696014,0.6166666666666667,0.6139390622149242,0.11538461538461539,0.2250419464397255,2.6720949680986377
3,0.9551657117330111,0.752435952425003,0.8,0.8230769230769232,0.5384615384615384,0.22444275206346992,1.3910423965665275
4,0.701052711560176,0.4808996468782425,1.0,1.0,1.0,0.2139072816798828,0.04278145633597656
5,0.4886691157634442,0.3600056916475296,1.0,1.0,1.0,0.18584290075348914,0.03716858015069783
6,0.3734110204073099,0.3168802931904793,1.0,1.0,1.0,0.1603817240775406,0.03207634481550812
7,0.3174636662006378,0.29953446984291077,1.0,1.0,1.0,0.1400682529084956,0.02801365058169912
8,0.2857491694963895,0.29162027686834335,1.0,1.0,1.0,0.12687219007472836,0.025374438014945672
9,0.2535625375234164,0.29042061418294907,1.0,1.0,1.0,0.11720249912462304,0.023440499824924608
10,0.26311566967230576,0.2643193155527115,1.0,1.0,1.0,0.10805897275986821,0.021611794551973644
11,0.2510079707090671,0.2617145851254463,1.0,1.0,1.0,0.10679883288763076,0.021359766577526154
12,0.2422845558478282,0.23586133122444153,1.0,1.0,1.0,0.10044862604892228,0.020089725209784456
13,0.24269292675531828,0.2332756258547306,1.0,1.0,1.0,0.09906975813755048,0.019813951627510096
14,0.22776031035643357,0.22859274223446846,1.0,1.0,1.0,0.09692090302974901,0.019384180605949805
15,0.21319653781560752,0.24391328170895576,1.0,1.0,1.0,0.09904483534167673,0.019808967068335348
16,0.22008703075922453,0.22187484428286552,1.0,1.0,1.0,0.09770877995944505,0.01954175599188901
17,0.19846041042071122,0.22095387056469917,1.0,1.0,1.0,0.0976344867674849,0.019526897353496983
18,0.19057838561443183,0.22673508152365685,1.0,1.0,1.0,0.09877944963744319,0.01975588992748864
19,0.17637333732384902,0.23284534364938736,1.0,1.0,1.0,0.10259359522248446,0.020518719044496894
20,0.1871651571530562,0.23203383013606071,1.0,1.0,1.0,0.10128698037018467,0.020257396074036937
21,0.19531141909269187,0.22219940274953842,1.0,1.0,1.0,0.10159664387402609,0.020319328774805218
22,0.16473468106526595,0.22280683740973473,1.0,1.0,1.0,0.09875485760926968,0.019750971521853938
23,0.15572297630401757,0.22131407633423805,1.0,1.0,1.0,0.09920632089582793,0.019841264179165586
24,0.15612768668394822,0.21169980242848396,1.0,1.0,1.0,0.09929672168689495,0.01985934433737899
25,0.15581222165089387,0.2253783456981182,1.0,1.0,1.0,0.1036920735807677,0.02073841471615354
26,0.15097494767262384,0.20954465307295322,1.0,1.0,1.0,0.10336108542770202,0.020672217085540404
27,0.14279800309584692,0.21268904581665993,1.0,1.0,1.0,0.10242131432565366,0.020484262865130734
28,0.13535214502077836,0.2046564593911171,1.0,1.0,1.0,0.1031552980762653,0.020631059615253064
29,0.13478014560846183,0.20516701228916645,1.0,1.0,1.0,0.1031373165991589,0.02062746331983178
30,0.13689912053254935,0.20864488556981087,1.0,1.0,1.0,0.10259318105177004,0.02051863621035401
31,0.129282228075541,0.217639047652483,1.0,1.0,1.0,0.10333672599251582,0.020667345198503165
32,0.1382404508498999,0.20741477608680725,1.0,1.0,1.0,0.10379582384719022,0.020759164769438045
